호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
1 ,가산디지털단지역,900 ,597 ,504 ,6646 ,0 ,4 ,66 ,51 ,33 ,1 ,0 ,31 ,0 ,0 
1 ,온수역,2339 ,1012 ,964 ,179 ,0 ,0 ,2 ,4 ,10 ,0 ,0 ,6 ,0 ,0 
1 ,창동역,2706 ,1173 ,1084 ,1035 ,2 ,4 ,31 ,62 ,9 ,0 ,1 ,15 ,0 ,0 
1 ,석계역,2146 ,1016 ,595 ,526 ,1 ,2 ,4 ,31 ,16 ,0 ,0 ,6 ,0 ,1 
1 ,제기동역,4453 ,2394 ,1999 ,1049 ,1 ,3 ,12 ,69 ,7 ,0 ,0 ,7 ,0 ,1 
1 ,청량리역,1346 ,684 ,465 ,1002 ,0 ,1 ,19 ,53 ,14 ,0 ,0 ,7 ,1 ,0 
1 ,노량진역,1758 ,1150 ,699 ,1590 ,0 ,3 ,9 ,15 ,13 ,2 ,0 ,7 ,0 ,0 
1 ,동묘앞역,3713 ,1963 ,1606 ,1334 ,5 ,3 ,15 ,43 ,11 ,1 ,0 ,10 ,0 ,0 
1 ,신설동역,1969 ,1138 ,686 ,1748 ,2 ,3 ,52 ,13 ,8 ,1 ,0 ,14 ,0 ,1 
1 ,신도림역,1272 ,667 ,669 ,998 ,2 ,0 ,37 ,20 ,6 ,0 ,1 ,11 ,2 ,0 
1 ,신길역,2212 ,1493 ,1301 ,113 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,3 ,0 ,0 
1 ,서울역,915 ,603 ,358 ,848 ,0 ,1 ,25 ,36 ,11 ,0 ,0 ,18 ,0 ,0 
1 ,동대문역,1488 ,752 ,453 ,964 ,0 ,0 ,11 ,10 ,6 ,0 ,0 ,6 ,0 ,0 
1 ,종로5가역,1204 ,726 ,510 ,7102 ,2 ,4 ,39 ,91 ,13 ,1 ,0 ,14 ,1 ,0 
1 ,종각역,739 ,474 ,413 ,4059 ,1 ,8 ,113 ,69 ,26 ,2 ,0 ,33 ,2 ,18 
1 ,종로3가역,739 ,474 ,413 ,4059 ,0 ,8 ,109 ,82 ,29 ,5 ,0 ,32 ,4 ,5 
1 ,시청역,796 ,422 ,398 ,4964 ,7 ,19 ,334 ,78 ,40 ,4 ,5 ,37 ,5 ,5 
1 ,도봉산역,429 ,179 ,92 ,121 ,0 ,0 ,0 ,5 ,4 ,0 ,0 ,2 ,0 ,0 
2 ,삼성역,1458 ,678 ,557 ,3520 ,1 ,6 ,160 ,91 ,27 ,3 ,2 ,27 ,3 ,1 
2 ,강남역,2442 ,1269 ,1083 ,3197 ,0 ,4 ,139 ,211 ,20 ,0 ,0 ,37 ,3 ,0 
2 ,역삼역,1952 ,1055 ,759 ,2562 ,0 ,0 ,167 ,49 ,8 ,0 ,0 ,23 ,0 ,1 
2 ,까치산역,4351 ,2055 ,1646 ,578 ,0 ,0 ,10 ,55 ,7 ,0 ,0 ,7 ,0 ,0 
2 ,낙성대역,2903 ,2007 ,542 ,401 ,0 ,0 ,6 ,27 ,5 ,0 ,0 ,7 ,0 ,0 
2 ,서울대입구역,3693 ,2515 ,2233 ,843 ,0 ,0 ,17 ,49 ,9 ,0 ,0 ,15 ,1 ,0 
2 ,사당역,2128 ,1095 ,742 ,1060 ,1 ,1 ,42 ,43 ,15 ,0 ,0 ,19 ,0 ,0 
2 ,봉천역,3062 ,1533 ,870 ,720 ,2 ,1 ,12 ,40 ,5 ,0 ,0 ,7 ,0 ,1 
2 ,신림역,3836 ,2668 ,1399 ,1575 ,0 ,1 ,16 ,61 ,11 ,1 ,1 ,20 ,1 ,0 
2 ,구로디지털단지역,1965 ,1010 ,706 ,462 ,3 ,0 ,17 ,18 ,9 ,0 ,0 ,6 ,0 ,0 
2 ,신대방역,3468 ,1722 ,737 ,404 ,1 ,1 ,3 ,17 ,4 ,1 ,0 ,6 ,0 ,0 
2 ,구의역,1915 ,933 ,374 ,645 ,0 ,3 ,11 ,19 ,5 ,0 ,0 ,6 ,0 ,0 
2 ,건대입구역,3154 ,2043 ,690 ,989 ,0 ,1 ,7 ,50 ,7 ,0 ,0 ,14 ,0 ,0 
2 ,대림역,2604 ,1193 ,836 ,283 ,1 ,0 ,5 ,7 ,5 ,0 ,0 ,4 ,0 ,0 
2 ,신답역,1376 ,521 ,372 ,103 ,0 ,0 ,0 ,2 ,9 ,0 ,0 ,0 ,0 ,0 
2 ,용두역,2286 ,1269 ,997 ,478 ,0 ,4 ,9 ,20 ,8 ,1 ,1 ,3 ,0 ,1 
2 ,신촌역,2816 ,1869 ,1125 ,1587 ,4 ,2 ,29 ,107 ,21 ,1 ,2 ,18 ,0 ,0 
2 ,이대역,3186 ,2237 ,1649 ,1032 ,4 ,2 ,8 ,42 ,11 ,0 ,0 ,11 ,0 ,0 
2 ,합정역,2647 ,1319 ,1080 ,1137 ,0 ,2 ,26 ,23 ,5 ,1 ,1 ,13 ,3 ,0 
2 ,홍대입구역,1496 ,845 ,487 ,1541 ,0 ,1 ,47 ,45 ,8 ,1 ,0 ,9 ,5 ,1 
2 ,아현역,2316 ,1222 ,548 ,871 ,7 ,1 ,13 ,37 ,18 ,0 ,0 ,5 ,0 ,0 
