,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
2,신도림역,9803 ,4096 ,3847 ,2956 ,2 ,2 ,76 ,54 ,13 ,0 ,3 ,21 ,2 ,0 
2,문래역,14024 ,5258 ,4729 ,3728 ,5 ,5 ,74 ,65 ,28 ,1 ,1 ,19 ,1 ,2 
2,을지로3가역,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4
2,을지로4가역,1892,1040,766,16458,0,3,75,40,24,1,0,17,2,0
2,을지로입구역,919,349,250,7938,0,22,573,177,47,4,4,58,9,3
2,동대문역사문화공원역,4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,0
2,시청역,804,428,410,5732,7,20,423,103,44,4,5,43,5,5
2,신천역,17816 ,6253 ,5448 ,1793 ,0 ,3 ,47 ,155 ,10 ,1 ,0 ,16 ,0 ,1 
3,대청역,10385 ,3792 ,3256 ,795 ,5 ,3 ,7 ,57 ,9 ,1 ,0 ,6 ,0 ,1 
3,대치역,13370 ,4050 ,4051 ,1211 ,2 ,5 ,24 ,88 ,10 ,1 ,0 ,7 ,1 ,1 
3,신사역,6854 ,3602 ,2256 ,3566 ,0 ,2 ,65 ,196 ,16 ,0 ,0 ,32 ,3 ,0 
3,도곡역,13739 ,4503 ,4522 ,700 ,5 ,4 ,38 ,58 ,14 ,1 ,0 ,8 ,0 ,0 
3,매봉역,9277 ,3513 ,3170 ,981 ,4 ,3 ,11 ,25 ,12 ,1 ,0 ,12 ,0 ,0 
3,학여울역,10829 ,3419 ,3420 ,184 ,0 ,0 ,3 ,8 ,7 ,0 ,0 ,6 ,0 ,0 
3,양재역,7286 ,3550 ,2342 ,2473 ,6 ,6 ,49 ,125 ,29 ,0 ,0 ,22 ,0 ,0 
3,수서역,9354 ,4341 ,4239 ,1363 ,6 ,3 ,14 ,44 ,17 ,1 ,0 ,9 ,0 ,1 
3,압구정역,6593 ,2418 ,2329 ,2204 ,0 ,2 ,57 ,374 ,9 ,0 ,0 ,19 ,3 ,0 
3,일원역,13122 ,4282 ,4188 ,287 ,7 ,3 ,5 ,24 ,19 ,1 ,0 ,4 ,0 ,1 
3,독립문역,12732 ,4703 ,4431 ,403 ,4 ,4 ,5 ,22 ,17 ,0 ,0 ,7 ,0 ,3 
3,무악재역,11680 ,4398 ,3958 ,410 ,3 ,0 ,1 ,20 ,11 ,0 ,0 ,3 ,0 ,0 
3,홍제역,12678 ,5314 ,3603 ,1477 ,5 ,4 ,18 ,90 ,15 ,1 ,0 ,8 ,0 ,0 
3,고속터미널역,7106 ,2378 ,2341 ,3146 ,3 ,5 ,36 ,106 ,22 ,1 ,2 ,19 ,1 ,0 
3,잠원역,13590 ,4981 ,4960 ,277 ,4 ,2 ,3 ,26 ,8 ,1 ,0 ,1 ,0 ,0 
3,교대역,6129 ,2589 ,1760 ,4561 ,3 ,9 ,112 ,173 ,22 ,1 ,0 ,24 ,1 ,0 
3,남부터미널역,11243 ,4982 ,4458 ,3724 ,3 ,3 ,76 ,67 ,24 ,1 ,0 ,28 ,2 ,2 
3,금호역,12808 ,5041 ,4264 ,454 ,3 ,2 ,3 ,30 ,24 ,1 ,0 ,5 ,0 ,0 
3,옥수역,10796 ,4120 ,3862 ,432 ,4 ,0 ,4 ,24 ,9 ,0 ,0 ,4 ,0 ,0 
3,가락시장역,6137 ,2451 ,2222 ,4706 ,0 ,2 ,45 ,61 ,12 ,1 ,1 ,9 ,0 ,0 
3,경찰병원역,17772 ,6856 ,5709 ,2129 ,0 ,5 ,40 ,47 ,12 ,1 ,0 ,14 ,0 ,0 
3,오금역,7408 ,2807 ,2152 ,794 ,4 ,5 ,6 ,22 ,11 ,2 ,0 ,7 ,0 ,1 
3,연신내역,13019 ,6249 ,3863 ,2158 ,3 ,3 ,55 ,123 ,18 ,1 ,0 ,22 ,2 ,0 
3,녹번역,8760 ,3712 ,2933 ,562 ,2 ,1 ,7 ,25 ,7 ,1 ,0 ,5 ,0 ,1 
3,불광역,12153,5824,4440,1824,1,6,34,110,21,2,1,11,2,0
3,구파발역,3941,1701,1718,153,8,4,2,19,22,2,0,3,0,0
3,안국역,3854,1920,1479,3610,12,12,81,60,31,3,0,27,2,31
3,경복궁역,5097,2319,2021,5087,1,24,160,120,37,4,1,34,2,23
3,을지로3가역,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4
3,종로3가역,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9
3,동대입구역,5811,2540,1755,988,12,3,11,9,12,1,1,10,2,1
3,약수역,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,1
3,충무로역,3343,1927,1259,9077,3,9,122,60,13,4,0,37,5,1
4,미아역,12852 ,5407 ,3009 ,1413 ,6 ,9 ,28 ,59 ,21 ,3 ,0 ,12 ,0 ,2 
4,미아사거리역,10155 ,4862 ,2257 ,1442 ,3 ,3 ,15 ,66 ,20 ,2 ,2 ,11 ,1 ,0 
4,사당역,9542 ,4754 ,3028 ,2065 ,3 ,4 ,79 ,73 ,21 ,0 ,1 ,30 ,0 ,1 
4,노원역,12095 ,4864 ,4271 ,2461 ,2 ,5 ,90 ,193 ,24 ,0 ,0 ,23 ,0 ,0 
4,상계역,12095 ,4864 ,4271 ,2461 ,0 ,1 ,13 ,80 ,10 ,0 ,0 ,12 ,0 ,2 
4,당고개역,13718 ,5715 ,4308 ,645 ,5 ,1 ,2 ,28 ,6 ,1 ,0 ,6 ,0 ,0 
4,창동역,10960 ,4067 ,3882 ,1418 ,3 ,7 ,39 ,84 ,16 ,1 ,2 ,17 ,0 ,1 
4,쌍문역,15442 ,7117 ,4070 ,1313 ,3 ,1 ,10 ,73 ,19 ,0 ,0 ,14 ,0 ,0 
4,동작역,2831 ,897 ,889 ,94 ,0 ,0 ,0 ,1 ,6 ,0 ,0 ,2 ,0 ,0 
4,길음역,13457 ,5246 ,4796 ,942 ,2 ,2 ,10 ,50 ,18 ,1 ,0 ,4 ,0 ,0 
4,성신여대입구역,9741 ,5122 ,3211 ,2083 ,2 ,6 ,26 ,109 ,18 ,2 ,0 ,15 ,2 ,0 
4,한성대입구역,11852 ,5499 ,2980 ,1188 ,9 ,4 ,12 ,60 ,29 ,2 ,0 ,16 ,3 ,2 
4,숙대입구역,7355 ,3851 ,2068 ,1786 ,5 ,4 ,33 ,50 ,23 ,1 ,0 ,24 ,0 ,1 
4,삼각지역,5967 ,3178 ,2833 ,3804 ,1 ,13 ,44 ,43 ,27 ,1 ,1 ,18 ,1 ,2 
4,이촌역,9194 ,3435 ,3495 ,792 ,4 ,9 ,15 ,34 ,20 ,1 ,0 ,10 ,0 ,2 
4,신용산역,3456 ,1866 ,1607 ,3594 ,1 ,14 ,41 ,39 ,26 ,3 ,3 ,16 ,2 ,1 
4,서울역,5119 ,2980 ,2147 ,1582 ,0 ,4 ,93 ,50 ,24 ,2 ,1 ,27 ,1 ,0 
4,동대문역,3910,2125,2057,10590,6,14,86,138,33,6,0,34,4,1
4,동대문역사문화공원역,4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,0
4,혜화역,7011,3434,1898,1664,9,7,16,41,23,1,0,15,55,8
4,명동역,2795,1308,827,7186,11,14,319,145,23,5,0,53,10,0
4,충무로역,3343,1927,1259,9077,3,9,122,60,13,4,0,37,5,1
4,회현역,4009,2056,1600,11434,0,8,229,79,34,3,5,31,0,0
4,수유역(강북구청)역,13359 ,6887 ,3589 ,2377 ,0 ,7 ,122 ,113 ,28 ,1 ,0 ,39 ,0 ,0 
4,총신대입구역,13862 ,6018 ,4108 ,2116 ,2 ,2 ,59 ,158 ,19 ,0 ,1 ,21 ,2 ,2 
5,고덕역,10696 ,3392 ,3280 ,1143 ,13 ,4 ,11 ,73 ,25 ,3 ,1 ,10 ,1 ,1 
5,상일동역,6725 ,2562 ,2228 ,445 ,6 ,1 ,5 ,38 ,21 ,0 ,0 ,4 ,1 ,2 
5,굽은다리역,17706 ,6887 ,4672 ,1324 ,3 ,1 ,9 ,71 ,8 ,0 ,1 ,17 ,0 ,0 
5,길동역,16640 ,6935 ,5237 ,1673 ,5 ,3 ,46 ,78 ,13 ,0 ,0 ,18 ,0 ,1 
5,둔촌동역,13947 ,5203 ,3728 ,1726 ,5 ,3 ,21 ,84 ,16 ,0 ,0 ,15 ,0 ,0 
5,강동역,19168 ,8905 ,6471 ,1526 ,1 ,2 ,42 ,58 ,13 ,1 ,0 ,18 ,0 ,0 
5,명일역,11754 ,4352 ,3098 ,1142 ,6 ,3 ,11 ,89 ,19 ,0 ,0 ,10 ,0 ,0 
5,천호역,13907 ,6938 ,3983 ,2734 ,0 ,2 ,64 ,150 ,20 ,0 ,2 ,22 ,1 ,0 
5,김포공항역,16 ,5 ,7 ,601 ,1 ,10 ,5 ,2 ,63 ,4 ,2 ,7 ,1 ,0 
5,송정역,9729 ,4711 ,2740 ,984 ,4 ,3 ,7 ,31 ,24 ,1 ,0 ,12 ,0 ,1 
5,발산역,5335 ,2019 ,1908 ,1308 ,4 ,2 ,30 ,58 ,42 ,1 ,1 ,12 ,0 ,1 
5,우장산역,20966 ,6846 ,6126 ,1119 ,8 ,1 ,18 ,86 ,11 ,0 ,0 ,9 ,0 ,0 
5,개화산역,11965 ,4871 ,4521 ,943 ,7 ,6 ,4 ,40 ,40 ,3 ,2 ,14 ,1 ,2 
5,방화역,16573 ,6845 ,6377 ,654 ,7 ,5 ,5 ,44 ,17 ,2 ,0 ,11 ,0 ,2 
5,까치산역,18312 ,8191 ,6226 ,1362 ,2 ,3 ,12 ,92 ,14 ,1 ,0 ,18 ,0 ,2 
5,화곡역,15206 ,6792 ,4767 ,1419 ,2 ,2 ,30 ,109 ,16 ,0 ,0 ,14 ,0 ,1 
5,광나루역,15499 ,9721 ,6324 ,2309 ,7 ,3 ,18 ,33 ,20 ,1 ,0 ,10 ,1 ,0 
5,군자역,12591 ,6259 ,2682 ,1634 ,1 ,5 ,27 ,59 ,17 ,1 ,0 ,18 ,2 ,0 
5,답십리역,14677 ,6961 ,3686 ,1635 ,2 ,3 ,29 ,51 ,18 ,2 ,0 ,12 ,0 ,1 
5,마장역,10750 ,4497 ,3298 ,905 ,4 ,1 ,6 ,22 ,12 ,0 ,0 ,7 ,0 ,0 
5,장한평역,6213 ,2667 ,2187 ,2850 ,1 ,1 ,174 ,46 ,11 ,0 ,0 ,12 ,0 ,0 
5,공덕역,8759 ,3984 ,3741 ,3076 ,5 ,13 ,101 ,136 ,28 ,3 ,1 ,22 ,0 ,0 
5,애오개역,12875 ,5160 ,4807 ,1132 ,5 ,2 ,27 ,47 ,17 ,1 ,0 ,6 ,0 ,0 
5,마포역,12058 ,5372 ,4803 ,3489 ,4 ,7 ,110 ,106 ,20 ,1 ,0 ,24 ,0 ,1 
5,서대문역,3991 ,2005 ,1579 ,2275 ,10 ,11 ,127 ,40 ,37 ,5 ,1 ,26 ,2 ,4 
5,충정로역,12499 ,5577 ,4794 ,1862 ,6 ,11 ,84 ,44 ,27 ,6 ,0 ,19 ,1 ,1 
5,신금호역,8175 ,3152 ,2164 ,527 ,2 ,5 ,6 ,30 ,29 ,2 ,0 ,5 ,0 ,0 
5,청구역,11508 ,4996 ,2937 ,1767 ,4 ,2 ,7 ,48 ,5 ,0 ,0 ,13 ,0 ,2 
5,행당역,19936 ,6988 ,5953 ,653 ,6 ,2 ,6 ,49 ,14 ,1 ,1 ,5 ,0 ,0 
5,왕십리역,11829 ,6219 ,3350 ,2071 ,2 ,8 ,37 ,77 ,15 ,3 ,1 ,23 ,1 ,2 
5,개롱역,16029 ,5446 ,4964 ,858 ,7 ,0 ,7 ,51 ,14 ,0 ,0 ,5 ,0 ,1 
5,오금역,7408 ,2807 ,2152 ,794 ,4 ,5 ,6 ,22 ,11 ,2 ,0 ,7 ,0 ,1 
5,거여역,15188 ,5595 ,4178 ,877 ,3 ,3 ,5 ,70 ,11 ,1 ,0 ,9 ,0 ,1 
