역명,호선명,인구300,가구300,주택300,사업체수300,교육시설300,공공기관300,금융시설300,의료시설300,대중교통300,방범/방재300,백화점/중대형마트300,편의점300,극장/영화관300,도서관/박물관300,인구500,가구500,주택500,사업체수500,교육시설500,공공기관500,금융시설500,의료시설500,대중교통500,방범/방재500,백화점/중대형마트500,편의점500,극장/영화관500,도서관/박물관500,전철역코드,호선,외부코드,사이버스테이션,주소,현장민원소,관광안내소,문화공간,항공권판매,장애인시설,만남의장소,주차장,자전거보관소,무인민원발급기,역무실,수유방,엘레베이터,에스컬레이터,휠체어리프트시설,스피드게이트,화장실,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
용답,2호선,11777,5276,2042,555,5,2,4,23,5,1,0,8,0,0,2312,10209,4482,1585,22,6,26,57,17,2,0,18,0,1,244,2,211-1,244,서울특별시 성동구 용답길 86,N,N,N,N,,,,,,,N,,,,,게이트 외부,511015,1127677,37.561904,127.050899
충정로(경기대입구),2호선,12499,5577,4794,1862,6,11,84,44,27,6,0,19,1,1,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1,243,2,243,243,서울특별시 서대문구 서소문로 지하 17,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,게이트 외부,491842,1127227,37.559973,126.963672
아현,2호선,9919,4371,3158,1137,7,3,16,50,25,0,0,5,0,1,27294,11391,8870,1798,15,4,25,75,34,1,0,10,0,1,242,2,242,242,서울특별시 마포구 신촌로 지하 270,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,게이트 외부,490052,1126335,37.557345,126.956141
이대,2호선,13865,8207,5040,2403,27,8,34,78,29,1,0,24,3,0,27448,14214,9397,3001,51,9,38,102,43,2,0,30,4,0,241,2,241,241,서울특별시 마포구 신촌로 지하 180,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,487955,1126182,37.556733,126.946013
신촌,2호선,8798,5407,2984,2868,17,4,59,138,29,1,2,39,4,1,18591,11285,6704,3957,18,5,62,176,54,1,2,57,6,2,240,2,240,240,서울특별시 마포구 신촌로 지하 90,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,게이트 외부,485922,1125867,37.555134,126.936893
홍대입구,2호선,6982,3993,2187,4651,1,2,90,95,25,1,0,38,11,7,20503,11194,6291,6702,9,5,100,122,42,3,0,62,15,9,239,2,239,239,서울특별시 마포구 양화로 지하 160,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,게이트 외부,483315,1126247,37.557192,126.925381
합정,2호선,8835,4185,3191,2574,2,4,47,56,13,3,1,29,5,0,19525,9115,6513,4544,3,5,73,79,27,4,1,51,9,1,238,2,238,238,서울특별시 마포구 양화로 지하 55,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,480875,1124362,37.549463,126.913739
당산,2호선,8936,24632,3864,1076,1,4,49,52,11,2,0,13,0,0,19053,8579,7260,2005,10,6,81,87,31,2,0,21,0,2,237,2,237,237,서울특별시 영등포구 당산로 229,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,게이트 내부,478290,1120184,37.53438,126.902281
영등포구청,2호선,13052,5738,4127,2634,6,6,82,59,17,1,0,19,0,2,24757,10533,7789,4078,6,8,101,78,34,1,1,24,0,2,236,2,236,236,서울특별시 영등포구 당산로 지하 121,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,게이트 내부,476875,1117441,37.52497,126.895951
문래,2호선,14024,5258,4729,3728,5,5,74,65,28,1,1,19,1,2,21597,8748,7171,6109,5,7,92,79,39,1,1,27,1,2,235,2,235,235,서울특별시 영등포구 당산로 지하 28,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,게이트 외부,476561,1115505,37.517933,126.89476
신도림,2호선,9803,2096,3847,2956,2,2,76,54,13,0,3,21,2,0,28319,11272,10223,3915,3,3,85,5,26,0,3,38,2,0,234,2,234,234,서울특별시 구로구 새말로 지하 117-21,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,게이트 외부,475755,1112937,37.508725,126.891295
대림(구로구청),2호선,11115,5140,3532,1414,3,3,27,51,10,1,0,14,0,0,31864,14728,10890,4628,9,10,79,138,29,3,0,31,0,2,233,2,233,233,서울특별시 구로구 도림천로 351,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,게이트 내부,476705,1108675,37.49297,126.895801
구로디지털단지,2호선,11199,6057,3947,2950,3,5,86,56,28,1,1,23,0,0,22986,11838,7597,4570,3,6,109,84,37,1,2,36,0,0,232,2,232,232,서울특별시 구로구 도림천로 477,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,게이트 내부,478070,1106435,37.485266,126.901401
신대방,2호선,11848,6092,2561,953,4,5,8,37,13,2,0,12,0,0,32218,15176,7565,2020,8,8,15,87,24,2,0,22,0,0,231,2,231,231,서울특별시 동작구 대림로 2,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,게이트 내부,480562,1107052,37.487462,126.913149
신림,2호선,13866,9184,4100,2370,0,2,26,95,16,1,1,32,1,0,37433,22352,9835,3404,3,9,31,128,29,3,1,48,1,1,230,2,230,230,서울특별시 관악구 남부순환로 지하 1614,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,Y,게이트 내부,484275,1105992,37.484201,126.929715
봉천,2호선,16822,7945,4540,1387,4,4,16,71,8,1,0,11,1,2,36099,17434,10578,2486,8,6,28,124,20,1,0,23,1,2,229,2,229,229,서울특별시 관악구 남부순환로 지하 1721,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,게이트 외부,486905,1105552,37.482362,126.941892
서울대입구(관악구청),2호선,15499,9721,6324,2309,2,4,34,121,16,0,0,28,1,1,38830,22596,12628,3355,12,11,42,163,26,5,0,41,1,2,228,2,228,228,서울특별시 관악구 남부순환로 지하 1822,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,게이트 외부,489440,1105242,37.481247,126.952739
낙성대,2호선,18136,11331,3628,1192,6,3,14,65,13,1,0,20,0,0,33991,18956,7484,1893,8,8,16,104,30,4,0,26,0,3,227,2,227,227,서울특별시 관악구 남부순환로 지하 1928,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,491805,1104272,37.47693,126.963693
