역명,호선명,인구300,가구300,주택300,사업체수300,교육시설300,공공기관300,금융시설300,의료시설300,대중교통300,방범/방재300,백화점/중대형마트300,편의점300,극장/영화관300,도서관/박물관300,인구500,가구500,주택500,사업체수500,교육시설500,공공기관500,금융시설500,의료시설500,대중교통500,방범/방재500,백화점/중대형마트500,편의점500,극장/영화관500,도서관/박물관500,전철역코드,호선,외부코드,사이버스테이션,주소,현장민원소,관광안내소,문화공간,항공권판매,장애인시설,만남의장소,주차장,자전거보관소,무인민원발급기,역무실,수유방,엘레베이터,에스컬레이터,휠체어리프트시설,스피드게이트,화장실,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
교대,3호선,6129,2589,1760,4561,3,9,112,173,22,1,0,24,1,0,18301,6875,5678,5948,4,10,158,197,30,1,0,35,1,0,330,3,340,330,서울특별시 서초구 서초대로 지하 294,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,환승역 이용,502900,1108655,37.493415,127.01408
고속터미널,3호선,7106,2378,2341,3146,3,5,36,106,22,1,2,19,1,0,22334,7271,7206,3504,5,7,57,130,29,1,2,27,1,1,329,3,339,329,서울특별시 서초구 신반포로 지하 188,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,Y,게이트 내부,500913,1111778,37.50481,127.004943
잠원,3호선,13590,4981,4960,277,4,2,3,26,8,1,0,1,0,0,28617,10585,9875,1756,7,3,19,126,18,1,1,10,0,0,328,3,338,328,서울특별시 서초구 잠원로4길 지하 46,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,게이트 내부,502340,1113995,37.512759,127.01122
신사,3호선,6854,3602,2256,3566,0,2,65,196,16,0,0,32,3,1,17893,8425,5438,6089,1,3,75,242,22,0,1,46,4,1,327,3,337,327,서울특별시 강남구 도산대로 지하 102,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,게이트 외부,504302,1115065,37.516334,127.020114
압구정,3호선,6593,2418,2329,2204,1,2,57,374,9,0,1,19,3,1,15954,6126,5422,3973,8,4,82,508,17,0,1,37,3,2,326,3,336,326,서울특별시 강남구 압구정로 지하 172,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,게이트 외부,506121,1117883,37.527072,127.028461
옥수,3호선,10796,4120,3862,432,4,0,4,24,9,0,0,4,0,0,24637,9743,9276,851,10,3,10,48,32,1,0,5,0,0,325,3,335,325,서울특별시 성동구 동호로 지하 21,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,"게이트 내부,외부",503850,1121910,37.540685,127.017965
금호,3호선,12808,5041,4264,454,3,2,3,30,24,1,0,5,0,0,35246,14124,11942,1812,11,6,16,118,46,3,0,17,0,0,324,3,334,324,서울특별시 성동구 동호로 지하 104,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,게이트 내부,503275,1123820,37.548034,127.015872
약수,3호선,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,1,30645,12924,10171,2522,13,7,22,105,26,2,1,20,1,3,323,3,333,323,서울특별시 중구 다산로 지하 122,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,N,Y,게이트 내부,502197,1125470,37.55434,127.010655
동대입구,3호선,5811,2540,1755,988,12,3,11,9,12,1,1,10,2,1,15735,7211,5023,2716,15,5,24,70,18,1,1,23,2,3,322,3,332,322,서울특별시 중구 동호로 지하 256,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,게이트 내부,501022,1127027,37.559052,127.005602
충무로,3호선,3343,1927,1259,9077,3,9,122,60,13,4,0,37,5,1,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,2,321,3,331,321,서울특별시 중구 퇴계로 지하 199,N,N,N,N,N,N,N,N,,,N,,,,,게이트 내부,498550,1127582,37.561243,126.99428
을지로3가,3호선,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4,4843,2798,1991,25600,6,25,560,258,64,10,0,105,14,10,320,3,330,203,서울특별시 중구 을지로 지하 129,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 내부,497895,1128945,37.566295,126.99191
종로3가,3호선,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25,319,3,329,153,서울특별시 종로구 돈화문로 지하 30,Y,N,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,Y,게이트 내부,498060,1130332,37.571607,126.991806
안국,3호선,3854,1920,1479,3610,12,12,81,60,31,3,0,27,2,31,7003,3633,2930,9378,14,25,164,120,48,7,0,46,6,37,318,3,328,318,서울특별시 종로구 율곡로 지하 62,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,게이트 외부,496540,1131750,37.576477,126.985443
경복궁,3호선,5097,2319,2021,5087,1,24,160,120,37,4,1,34,2,23,10491,4699,4158,7173,6,39,228,166,46,8,1,51,3,27,317,3,327,317,서울특별시 종로구 사직로 지하 130,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,게이트 내부,493895,1131520,37.575762,126.97353
독립문,3호선,12732,4703,441,403,4,4,5,22,17,0,0,7,0,3,22475,8757,7804,886,5,13,11,48,42,3,0,9,0,5,316,3,326,316,서울특별시 서대문구 통일로 지하 247,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,게이트 내부,490525,1131175,37.574571,126.957748
무악재,3호선,11680,4398,3985,410,3,0,1,20,11,0,0,3,0,0,19661,7517,6730,671,4,1,4,39,16,0,0,4,0,0,315,3,325,315,서울특별시 서대문구 통일로 지하 361,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,Y,게이트 내부,488910,1133372,37.582299,126.950291
홍제,3호선,12678,5314,3603,1477,5,4,18,90,15,1,0,8,0,0,28857,11505,8376,2281,9,5,23,132,35,1,0,13,0,0,314,3,324,314,서울특별시 서대문구 통일로 지하 440-1,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,게이트 외부,487507,1135130,37.589066,126.943736
녹번,3호선,8760,3712,2933,567,2,1,7,25,7,1,0,5,0,1,18899,7499,6025,823,6,4,7,45,19,2,0,7,0,1,313,3,323,313,서울특별시 은평구 통일로 지하 602-1,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,Y,게이트 외부,485672,1138467,37.600927,126.935756
불광,3호선,12153,5824,4440,1824,1,6,34,110,21,2,1,11,2,0,30854,13502,10240,2409,3,8,38,138,29,2,1,16,3,0,312,3,322,312,서울특별시 은평구 통일로 지하 723-1,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,게이트 외부,484337,1140982,37.610469,126.929887
연신내,3호선,13019,6249,3863,2158,3,3,55,123,18,1,0,22,2,0,35275,15280,10112,3065,11,5,59,165,37,1,0,33,2,1,311,3,321,311,서울특별시 은평구 통일로 지하 849,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,게이트 외부,482372,1143485,37.619001,126.921008
구파발,3호선,3941,1701,1718,153,8,4,2,19,22,2,0,3,0,0,12261,4261,4279,257,9,4,4,28,25,2,0,5,0,0,310,3,320,310,서울특별시 은평구 진관2로 지하 15-25,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,게이트 외부,481875,1148452,37.636763,126.918821
지축,3호선,244,114,69,34,0,1,0,0,10,0,0,0,0,0,2352,796,690,116,1,1,0,4,20,0,0,0,0,0,309,3,319,309,경기도 고양시 덕양구 삼송로 300,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,게이트 내부,480805,1151557,37.648048,126.913951
당고개,4호선,13718,5715,4308,645,5,1,2,28,6,1,0,6,0,0,23299,9372,7544,994,6,3,3,41,11,1,0,8,0,0,409,4,409,409,서울특별시 노원구 상계로 305,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,게이트 외부,517267,1157807,37.670272,127.079066
상계,4호선,19085,7202,5615,1412,3,1,13,80,10,0,0,12,0,2,44273,17244,12960,2419,7,6,17,114,20,2,0,20,0,2,410,4,410,410,서울특별시 노원구 상계로 182,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,게이트 내부,515995,1155000,37.660878,127.073572
노원(4),4호선,12095,4864,4271,2461,0,5,90,193,24,0,0,23,0,0,29133,11729,10191,3236,10,11,131,251,35,0,0,32,0,0,411,4,411,411,서울특별시 노원구 상계로 69-1,Y,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,게이트 내부,513622,1153612,37.655128,127.061368
창동,4호선,10960,2067,3882,1418,3,7,39,84,16,0,2,17,0,0,31842,11137,10889,1721,6,9,41,117,19,2,2,18,0,0,412,4,412,412,서울특별시 도봉구 마들로11길 77,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,게이트 내부,510370,1153032,37.653166,127.047731
쌍문,4호선,15442,7117,4070,1313,3,0,10,73,19,0,0,14,0,0,40154,16610,11460,2134,14,6,16,114,37,2,0,26,0,1,413,4,413,413,서울특별시 도봉구 도봉로 지하 486-1,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,게이트 외부,507572,1151735,37.648627,127.034709
수유,4호선,13359,6887,3589,2377,0,7,122,113,28,1,0,39,0,0,33224,16069,9146,3956,3,9,135,159,37,3,0,51,1,0,414,4,414,414,서울특별시 강북구 도봉로 지하 338,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,Y,게이트 외부,505477,1148677,37.638052,127.025732
미아,4호선,12852,5407,3009,1413,6,9,28,59,21,3,0,12,0,2,31354,13095,8241,2588,8,11,32,113,28,4,0,19,0,4,415,4,415,415,서울특별시 강북구 도봉로 지하 198,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,게이트 외부,505667,1145592,37.62667,127.025983
미아사거리,4호선,10155,4862,2257,1442,3,3,15,66,20,2,2,11,1,0,26917,11698,6789,2907,14,10,25,129,42,4,3,21,1,2,416,4,416,416,서울특별시 강북구 도봉로 지하 50,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,게이트 외부,506527,1141940,37.613292,127.030053
길음,4호선,13457,5246,2796,942,2,2,10,50,18,1,0,4,0,0,39753,15127,13287,2106,6,10,17,116,40,5,2,15,0,1,417,4,417,417,서울특별시 성북구 동소문로 지하 248,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,Y,게이트 외부,505320,1139202,37.603407,127.025053
성신여대입구,4호선,9741,5122,3211,2083,2,6,26,109,18,2,0,15,2,0,31939,14862,9632,3146,15,8,38,152,30,2,0,36,2,0,418,4,418,418,서울특별시 성북구 동소문로 지하 102,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,게이트 외부,503476,1136257,37.592624,127.016403
한성대입구,4호선,11852,5499,2980,1188,9,4,12,60,29,2,0,16,3,2,26147,11631,7292,2097,14,7,16,100,44,2,0,26,23,7,419,4,419,419,서울특별시 성북구 삼선교로 지하 1,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,게이트 외부,501130,1135052,37.588458,127.006221
혜화,4호선,7011,3434,1898,1664,9,7,16,41,23,1,0,15,55,8,15785,7485,4863,2347,12,12,20,64,39,3,0,25,62,10,420,4,420,420,서울특별시 종로구 대학로 지하 120,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,게이트 외부,500245,1133299,37.582336,127.001844
동대문(4),4호선,7802,3836,2467,23756,6,14,86,138,33,6,0,34,4,1,18314,8526,5923,25707,12,16,96,171,45,8,0,46,4,2,421,4,421,155,서울특별시 종로구 율곡로 지하 308,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,게이트 외부,502155,1130180,37.57142,127.009745
동대문역사문화공원(4),4호선,4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,0,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1,422,4,422,205,서울특별시 중구 장충단로 지하 230,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,게이트 내부,501555,1128600,37.565138,127.007896
충무로(4),4호선,3343,1927,1259,9077,3,9,122,60,13,4,0,37,5,0,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,2,423,4,423,321,서울특별시 중구 퇴계로 지하 199,N,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,Y,게이트 내부,498550,1127582,37.561243,126.99428
명동,4호선,2795,1308,827,7186,11,14,319,145,23,5,0,53,10,0,5093,2455,1779,17360,11,19,463,201,45,8,5,72,11,2,424,4,424,424,서울특별시 중구 퇴계로 지하 126,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,게이트 내부,496773,1127452,37.560989,126.986325
회현,4호선,8153,2056,1600,11434,0,8,229,79,34,3,5,31,1,0,8153,3997,3008,16896,4,18,632,238,63,5,5,76,7,3,425,4,425,425,서울특별시 중구 퇴계로 지하 54,N,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,게이트 내부,495072,1126787,37.558514,126.978246
서울역(4),4호선,5119,2980,2147,1582,0,4,93,50,24,2,0,27,1,0,17824,8943,6175,3850,2,12,205,102,37,3,0,47,0,2,426,4,426,150,서울특별시 용산구 한강대로 지하 392,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,게이트 외부,493365,1125595,37.554648,126.972559
숙대입구 ,4호선,7355,3851,2068,1786,5,4,33,50,23,1,0,24,0,1,16371,8106,4583,2432,10,6,61,67,32,2,0,39,0,1,427,4,427,427,서울특별시 용산구 한강대로 지하 306,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,게이트 내부,493747,1122832,37.54456,126.972106
삼각지(4),4호선,5967,3178,2833,3804,1,13,44,43,27,1,1,18,1,2,11084,5320,5031,4179,3,13,45,52,32,1,1,24,1,2,428,4,428,428,서울특별시 용산구 한강대로 지하 180,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 내부,493970,1120167,37.534777,126.97311
신용산,4호선,3456,1866,1607,3594,1,14,41,39,26,3,3,16,2,1,7538,3871,3565,4471,3,17,53,45,32,4,3,23,2,1,429,4,429,429,서울특별시 용산구 한강대로 지하 112,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,게이트 외부,492830,1118597,37.52917,126.967894
이촌,4호선,9194,3435,3495,792,4,9,15,34,20,1,0,10,0,2,20575,7575,7880,1142,9,10,34,62,25,2,0,15,0,2,430,4,430,430,서울특별시 용산구 서빙고로 지하 83,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,게이트 내부,494107,1116637,37.522272,126.974345
동작,4호선,2831,897,889,94,0,0,0,1,6,0,0,2,0,0,3883,1276,1196,109,2,0,0,1,9,0,0,2,0,0,431,4,431,431,서울특별시 동작구 현충로 257,N,N,N,N,N,Y,Y,Y,,,N,,,,,게이트 내부,495157,1111287,37.502971,126.979306
총신대입구,4호선,13862,6018,4108,2116,2,2,59,158,19,0,1,21,2,2,36068,14953,9818,3448,5,5,72,213,42,0,1,32,2,3,432,4,432,432,서울특별시 동작구 동작대로 지하 117,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 내부,495900,1106635,37.486263,126.981989
사당,4호선,9542,4754,3028,2065,3,4,79,73,21,0,0,30,0,0,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1,433,4,433,226,서울특별시 동작구 동작대로 지하 3,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,게이트 내부,495760,1104005,37.47653,126.981685
남태령,4호선,2737,1088,681,142,1,0,0,8,9,0,0,3,0,0,4124,1644,1115,339,2,1,1,10,15,0,1,3,0,0,434,4,434,434,서울특별시 서초구 과천대로 지하 816,N,N,N,N,N,N,N,Y,,,N,,,,,게이트 내부,497392,1100550,37.463873,126.989134
방화,5호선,16573,6845,6377,654,7,5,5,44,17,2,0,11,0,2,25404,10156,9356,1233,12,6,9,79,27,2,0,12,0,3,2511,5,510,2511,서울특별시 강서구 금낭화로 지하 132,,,,,,,Y,Y,,,N,,,,,게이트 외부,458487,1132005,37.577446,126.812741
개화산,5호선,11965,4871,4521,943,7,6,4,40,40,3,2,14,1,2,22249,8802,7345,1738,10,8,10,80,49,4,2,19,1,3,2512,5,511,2512,서울특별시 강서구 양천로 22,,,,,,,Y,Y,,,N,,,,,게이트 외부,457115,1130677,37.572399,126.806171
김포공항(5),5호선,16,5,7,601,1,10,5,2,63,4,2,7,1,0,16,5,7,601,1,10,5,2,63,4,2,7,1,0,2513,5,512,2513,서울특별시 강서구 하늘길 지하 77,N,Y,N,N,N,N,N,N,,,Y,,,,,게이트 외부,455957,1127820,37.562434,126.801058
송정,5호선,9729,4711,2740,984,4,3,7,31,24,1,0,12,0,1,21491,9994,5962,2267,7,13,14,63,92,5,2,24,1,2,2514,5,513,2514,서울특별시 강서구 공항대로 지하 33,,,,,,,,Y,,,N,,,,,게이트 외부,458327,1127585,37.561184,126.811973
마곡,5호선,4661,1832,1601,318,4,2,3,13,38,1,0,3,0,0,12858,4393,4175,910,6,3,5,17,50,1,0,5,0,0,2515,5,514,2515,서울특별시 강서구 공항대로 지하 163,,,,,,,,,,,N,,,,,게이트 외부,461137,1127285,37.560183,126.825448
발산,5호선,5335,2019,1908,1308,4,2,30,58,42,1,1,12,0,1,15835,5607,5220,1692,9,4,32,74,49,1,1,15,0,2,2516,5,515,2516,서울특별시 강서구 공항대로 지하 267,,,,,,,,Y,,,N,,,,,게이트 외부,463930,1126865,37.558598,126.837668
우장산,5호선,20996,6846,6126,1119,8,0,18,86,11,0,0,9,0,0,41564,14030,12281,1681,16,6,23,108,22,1,0,20,1,5,2517,5,516,2517,서울특별시 강서구 강서로 지하 262,,,,,,,,Y,,,Y,,,,,게이트 외부,463575,1124075,37.548768,126.836318
화곡,5호선,15206,6792,4767,1419,2,2,30,109,16,0,0,14,0,0,38023,15739,11563,2357,6,6,37,144,24,2,0,26,0,2,2518,5,517,2518,서울특별시 강서구 화곡로 지하 168,Y,N,N,N,N,N,N,Y,Y,,N,,,,,게이트 외부,464647,1121977,37.541513,126.840461
까치산(5),5호선,18312,8191,6226,1362,2,3,12,92,14,0,0,18,0,2,45413,19667,15471,2088,3,5,14,124,19,1,0,30,0,2,2519,5,518,2519,서울특별시 강서구 강서로 지하 54,,,,,,,,Y,,,Y,,,,,게이트 외부,466017,1119387,37.531768,126.846683
신정,5호선,19600,8248,5270,1102,3,1,3,40,7,0,0,12,0,0,33759,14094,9122,2551,8,3,10,100,20,0,0,23,0,1,2520,5,519,2520,서울특별시 양천구 오목로 지하 179,,,,,,,,Y,,,N,,,,,게이트 내부,467952,1117395,37.524997,126.856191
목동,5호선,13245,4977,3846,1374,6,0,20,88,10,0,0,14,0,0,32234,12006,9364,2640,11,6,29,132,22,1,1,25,1,0,2521,5,520,2521,서울특별시 양천구 오목로 지하 245,Y,,,,,,,Y,,,Y,,,,,게이트 외부,469885,1117862,37.526065,126.864931
오목교,5호선,14428,4855,4486,2452,3,2,51,100,16,0,3,19,2,2,32952,11213,10316,3435,8,2,74,129,24,0,4,30,2,2,2522,5,521,2522,서울특별시 양천구 오목로 지하 342,N,N,N,N,N,N,Y,Y,,,N,,,,,게이트 외부,472327,1117257,37.524496,126.875181
양평,5호선,9828,4438,3581,2825,4,4,32,56,17,1,3,18,2,0,16991,7373,6338,3622,6,5,45,66,27,1,4,21,2,0,2523,5,522,2523,서울특별시 영등포구 양산로 지하 21,N,N,N,N,N,N,N,Y,,,N,,,,,게이트 내부,474744,1117620,37.525648,126.885778
영등포구청(5),5호선,13052,5738,4127,2634,6,6,82,59,17,0,0,19,0,2,24757,10533,7789,4078,6,8,101,78,34,1,1,24,0,2,2524,5,523,236,서울특별시 영등포구 양산로 지하 116,,,,,,,Y,Y,,,Y,,,,,게이트 외부,476875,1117441,37.52497,126.895951
영등포시장,5호선,8317,4283,2664,2310,3,1,56,69,14,0,0,9,1,1,21487,11496,8581,6605,5,9,121,142,37,4,3,39,3,3,2525,5,524,2525,서울특별시 영등포구 양산로 지하 200,,,,,,,,Y,,,N,,,,,게이트 외부,478864,1116799,37.522669,126.905139
신길(5),5호선,8103,4578,3662,2710,4,4,66,37,16,3,1,26,2,0,16542,7946,6181,3499,9,7,87,57,23,4,1,36,2,0,2526,5,525,1032,서울특별시 영등포구 경인로114가길 지하 9,Y,,,,,,,Y,,,Y,,,,,게이트 외부,481420,1115205,37.517122,126.917169
여의도(5),5호선,5716,2047,2091,4197,0,0,481,109,23,0,0,22,0,0,8717,3370,3427,6959,4,13,599,145,37,1,1,46,2,1,2527,5,526,2527,서울특별시 영등포구 여의나루로 지하 40,Y,N,N,Y,N,N,N,Y,Y,,Y,,,,,게이트 외부,483100,1116530,37.521624,126.924191
여의나루,5호선,5059,1837,1904,3941,0,0,440,94,23,0,0,21,0,0,8752,3364,3444,6235,5,11,533,122,35,1,0,39,2,1,2528,5,527,2528,서울특별시 영등포구 여의동로 지하 343,,,,,,,,Y,,,Y,,,,,게이트 외부,485020,1118070,37.527098,126.932901
마포,5호선,12058,5372,4803,3489,4,7,110,106,20,0,0,24,0,0,2985,12007,11087,4123,8,8,117,123,37,2,0,30,0,1,2529,5,528,2529,서울특별시 마포구 마포대로 지하 33,,,,,,,,Y,,,N,,,,,게이트 외부,487855,1121387,37.539574,126.945932
공덕(5),5호선,8759,3984,3741,3076,5,13,101,136,28,3,1,22,0,0,33206,13699,12255,4396,14,16,127,180,45,3,1,33,0,3,2530,5,529,2530,서울특별시 마포구 마포대로 지하 100,Y,N,N,N,Y,N,N,Y,Y,,Y,,,,,게이트 외부,489187,1122797,37.544018,126.951592
에오개,5호선,12875,5160,4807,1132,5,2,27,47,17,1,0,6,0,0,29945,12051,10703,2023,12,8,35,81,35,2,0,12,3,1,2531,5,530,2531,서울특별시 마포구 마포대로 지하 210,N,N,N,N,Y,N,N,Y,,,N,,,,,게이트 외부,490233,1125313,37.553736,126.95682
충정로(5),5호선,12499,5577,5794,1862,6,11,84,44,27,6,0,19,0,0,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1,2532,5,531,243,서울특별시 서대문구 충정로 지하 28-1,N,N,N,N,Y,N,N,Y,,,Y,,,,,게이트 외부,491842,1127227,37.559973,126.963672
서대문,5호선,3991,2005,1579,2275,10,11,127,40,37,5,0,26,2,4,12454,5335,4271,5817,25,31,349,151,85,7,2,57,5,8,2533,5,532,2533,서울특별시 종로구 통일로 지하 126,N,N,N,N,Y,N,N,Y,,,N,,,,,게이트 외부,492467,1128777,37.565773,126.966641
광화문,5호선,3910,2125,2057,10590,9,50,504,212,61,9,2,87,9,29,5182,2664,2527,10994,9,53,510,223,66,11,2,89,9,31,2534,5,533,2534,서울특별시 종로구 세종대로 지하 172,N,Y,N,Y,Y,Y,N,N,,,Y,,,,,게이트 외부,494520,1130442,37.571026,126.976669
종로3가(5),5호선,2786,1836,1209,14115,0,10,150,103,35,5,0,44,4,9,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25,2535,5,534,153,서울특별시 종로구 돈화문로11길 지하 26,N,N,N,N,Y,N,N,N,Y,,N,,,,,게이트 외부,498060,1130332,37.571607,126.991806
을지로4가(5),5호선,1899,1294,912,14138,0,3,75,40,24,1,0,17,2,0,5224,3037,2343,27738,3,11,207,113,48,6,0,56,3,1,2536,5,535,204,서울특별시 중구 창경궁로 지하 51,N,N,N,N,Y,N,N,Y,,,N,,,,,게이트 외부,499460,1129122,37.566941,126.998079
동대문역사 문화공원(5),5호선,4704,2559,1784,9052,0,6,87,47,26,0,0,24,2,0,9928,5370,3703,22859,5,13,122,83,38,7,0,44,4,1,2537,5,536,205,서울특별시 중구 마른내로 지하 162,N,N,N,N,Y,N,N,N,,,Y,,,,,게이트 외부,501555,1128600,37.565138,127.007896
청구(5),5호선,11508,4996,2937,1767,4,2,7,48,5,0,0,13,0,2,28973,12418,8415,3967,9,8,25,102,19,2,0,27,0,5,2538,5,537,2538,서울특별시 중구 청구로 지하 77,N,N,N,N,Y,N,N,N,,,Y,,,,,게이트 외부,502872,1127150,37.560245,127.013828
신금호,5호선,8175,3152,2164,527,2,5,6,30,29,2,0,5,0,0,36701,14169,12341,1032,7,6,10,65,56,2,0,13,0,2,2539,5,538,2539,서울특별시 성동구 금호로 지하 154,N,N,N,N,Y,Y,N,Y,,,N,,,,,게이트 외부,504357,1125662,37.554548,127.020331
행당,5호선,19936,6998,5953,653,6,2,6,49,14,1,1,5,0,0,44588,16843,14179,1710,10,6,19,108,53,2,1,14,0,3,2540,5,539,2540,서울특별시 성동구 행당로 지하 89,N,N,N,N,N,Y,N,Y,,,N,,,,,게이트 외부,506397,1126405,37.557322,127.029476
왕십리,5호선,11829,6219,3350,2071,2,8,37,77,15,3,0,23,0,2,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3,2541,5,540,208,서울특별시 성동구 왕십리로 지하 300,Y,N,N,Y,Y,Y,Y,Y,,,Y,,,,,게이트 내부,508015,1127512,37.561533,127.037732
마장,5호선,10750,4497,3298,905,4,1,6,22,12,0,0,7,0,0,23648,10071,7030,2637,10,8,12,40,31,2,1,14,1,0,2542,5,541,2542,서울특별시 성동구 마장로 지하 296,N,N,N,N,N,Y,N,Y,,,N,,,,,게이트 외부,509362,1128847,37.5661,127.042973
답십리,5호선,14677,6961,3686,1635,2,3,29,51,18,2,0,12,0,1,33049,14250,8234,3369,5,6,40,88,29,2,0,18,0,1,2543,5,542,2543,서울특별시 성동구 천호대로 지하 300,N,N,N,N,N,Y,N,Y,,,Y,,,,,게이트 외부,511330,1129032,37.566747,127.052704
장한평,5호선,6213,2667,2187,2850,0,0,174,46,11,0,0,12,0,0,12254,4997,3892,3468,3,5,179,50,14,4,0,15,0,0,2544,5,543,2544,서울특별시 동대문구 천호대로 지하 405,N,N,N,N,N,Y,N,Y,,,N,,,,,게이트 외부,513985,1127595,37.56144,127.064623
군자,5호선,12591,6259,2682,1634,1,5,27,59,17,1,0,18,2,0,36479,17586,7533,2795,3,8,33,80,32,1,0,34,2,1,2545,5,544,2545,서울특별시 광진구 천호대로 지하 550,N,N,N,Y,Y,Y,N,Y,,,Y,,,,,게이트 외부,517395,1126285,37.557121,127.079542
아차산,5호선,12722,5405,3122,1065,7,3,12,56,18,3,0,16,2,1,34703,14185,8233,1984,8,5,17,95,31,3,0,29,2,1,2546,5,545,2546,서울특별시 광진구 천호대로 지하 657,N,N,N,N,Y,Y,N,Y,,,Y,,,,,게이트 외부,519537,1125055,37.551691,127.089761
광나루,5호선,14514,4864,4217,694,7,3,18,33,20,1,0,10,1,0,21888,6955,6300,821,12,3,18,42,22,1,0,11,1,0,2547,5,546,2547,서울특별시 광진구 아차산로 지하 571,N,N,N,N,Y,Y,N,Y,,,N,,,,,게이트 외부,522710,1123015,37.545303,127.10357
천호,5호선,13907,6938,3983,2734,0,0,64,150,20,0,0,22,0,0,34895,15964,8538,4201,0,7,69,184,26,2,3,33,1,1,2548,5,547,2548,서울특별시 강동구 천호대로 지하 997,N,Y,N,Y,Y,Y,Y,Y,,,Y,,,,,게이트 외부,527042,1121095,37.538397,127.123572
강동,5호선,19168,8905,6471,1526,1,2,42,58,13,1,0,18,0,0,43836,19724,13666,3502,2,5,92,123,21,1,0,41,1,1,2549,5,548,2549,서울특별시 강동구 천호대로 지하 1097,N,N,N,N,Y,Y,Y,Y,,,Y,,,,,게이트 외부,529040,1120490,37.535804,127.132481
