,numeric,lon,lat,address
고등학교학생,820,127.0535593,37.6827335,"143 dongil-ro 245-gil, nowon-gu, seoul, south korea"
고등학교학생,765,126.8242688,37.5497013,"15 sumyeong-ro 2-gil, gangseo-gu, seoul, south korea"
고등학교학생,882,126.9184283,37.6291368,"961 tongil-ro, eunpyeong-gu, seoul, south korea"
고등학교학생,931,126.8820338,37.5136678,"159 gyeongin-ro 67-gil, guro-gu, seoul, south korea"
고등학교학생,896,126.9173643,37.4786338,"119 munseong-ro, gwanak-gu, seoul, south korea"
고등학교학생,1669,126.8734611,37.5128286,"739 annyangcheon-ro, yangcheon-gu, seoul, south korea"
고등학교학생,821,126.860093,37.5237867,"42 eunhaengjeong-ro, yangcheon-gu, seoul, south korea"
고등학교학생,961,127.0929502,37.6052281,"174 bonghwasan-ro, jungnang-gu, seoul, south korea"
고등학교학생,1265,127.032687,37.531151,"470 apgujeong-dong, gangnam-gu, seoul, south korea"
고등학교학생,1248,127.0324921,37.4827746,"9 nambusunhwan-ro 346-gil, seocho-gu, seoul, south korea"
고등학교학생,973,127.042718,37.4725868,"35 dongsan-ro 13-gil, seocho-gu, seoul, south korea"
고등학교학생,1113,126.933669,37.5249,"30-1 yeoui-dong, yeongdeungpo-gu, seoul, south korea"
고등학교학생,1031,126.9349887,37.5229622,"13 gukjegeumyung-ro 7ga-gil, yeongdeungpo-gu, seoul, south korea"
고등학교학생,873,126.9337092,37.5083322,"5 deungyong-ro 8-gil, dongjak-gu, seoul, south korea"
고등학교학생,1030,126.9152716,37.5153771,"13 yeongdeungpo-ro 62-gil, yeongdeungpo-gu, seoul, south korea"
고등학교학생,1284,126.9095337,37.4974587,"4656-2 singil-dong, yeongdeungpo-gu, seoul, south korea"
고등학교학생,1348,127.1292797,37.504487,"247 jungdae-ro, songpa-gu, seoul, south korea"
고등학교학생,1403,126.979489,37.5453891,"60 duteopbawi-ro, yongsan-gu, seoul, south korea"
고등학교학생,932,127.0861243,37.6154197,"23 muk-dong, jungnang-gu, seoul, south korea"
고등학교학생,1077,127.0486867,37.6317394,"66 choansan-ro 5-gil, nowon-gu, seoul, south korea"
고등학교학생,653,126.9058482,37.6092227,"51 galhyeon-ro 15-gil, eunpyeong-gu, seoul, south korea"
고등학교학생,773,126.9702013,37.4715662,"74 inheon 9-gil, gwanak-gu, seoul, south korea"
고등학교학생,1420,127.0728365,37.535433,"28 ttukseom-ro 37-gil, gwangjin-gu, seoul, south korea"
고등학교학생,1309,127.0504663,37.6592612,"150 nohae-ro 69-gil, dobong-gu, seoul, south korea"
고등학교학생,1251,127.0889781,37.5150759,"24 jamsil-ro, songpa-gu, seoul, south korea"
고등학교학생,1183,127.1062814,37.522621,"south korea, seoul, songpa-gu, jamsil 4(sa)-dong, 올림픽로 33길 71"
고등학교학생,632,127.0814053,37.5140261,"21 baekjegobun-ro, songpa-gu, seoul, south korea"
고등학교학생,549,126.9757149,37.5176026,"34 ichon-ro 84-gil, yongsan-gu, seoul, south korea"
고등학교학생,991,127.0832703,37.6046784,"62 bonghwasan-ro 27-gil, jungnang-gu, seoul, south korea"
고등학교학생,1086,126.9244109,37.6433754,"26 jingwan4-ro, eunpyeong-gu, seoul, south korea"
고등학교학생,1465,127.1402281,37.5161314,"1240 yangjae-daero, oryun-dong, songpa-gu, seoul, south korea"
고등학교학생,1570,127.0383612,37.6509764,"7 nohae-ro 62-gil, dobong-gu, seoul, south korea"
고등학교학생,1066,127.043492,37.5280407,"526, apgujeong-dong, gangnam-gu, seoul, south korea"
고등학교학생,1099,127.0510593,37.588753,"303 choui-ro, dongdaemun-gu, seoul, south korea"
고등학교학생,1310,127.0852631,37.6190025,"6 muk-dong, jungnang-gu, seoul, south korea"
고등학교학생,306,126.9527945,37.5759104,"279-79 tongil-ro, seodaemun-gu, seoul, south korea"
고등학교학생,1192,127.0127157,37.6310519,"127 insubong-ro, gangbuk-gu, seoul, south korea"
고등학교학생,739,127.0183236,37.6520737,"432 uicheon-ro, dobong-gu, seoul, south korea"
고등학교학생,632,127.0684324,37.5864507,"hwigyeong-dong, dongdaemun-gu, seoul, south korea"
고등학교학생,877,127.1606809,37.5499155,"572 gucheonmyeon-ro, sangil-dong, gangdong-gu, seoul, south korea"
고등학교학생,1782,126.8663661,37.5364895,"27 mokdongjungangnam-ro, yangcheon-gu, seoul, south korea"
고등학교학생,1424,127.0804443,37.5401481,"120 neungdong-ro, jayang-dong, gwangjin-gu, seoul, south korea"
고등학교학생,770,126.9822717,37.4933383,"171 dongjak-daero, dongjak-gu, seoul, south korea"
고등학교학생,867,126.8514662,37.558054,"40 hwagok-ro 63-gil, gangseo-gu, seoul, south korea"
고등학교학생,911,126.9193893,37.5631085,"111 seongmisan-ro, mapo-gu, seoul, south korea"
고등학교학생,1158,127.0006702,37.5914502,"74 hyehwa-ro, jongno-gu, seoul, south korea"
고등학교학생,787,127.0527612,37.5953632,"26 kyungheedae-ro, dongdaemun-gu, seoul, south korea"
고등학교학생,812,127.0510727,37.5945605,"26 kyungheedae-ro, hoegi-dong, dongdaemun-gu, seoul, south korea"
고등학교학생,742,126.9869644,37.5624615,"74-1 myeongdong-gil, jung-gu, seoul, south korea"
고등학교학생,1104,127.0015493,37.6098077,"jeongneung-dong, seongbuk-gu, seoul, south korea"
고등학교학생,1388,127.1585555,37.5602563,"968 dongnam-ro, gangdong-gu, seoul, south korea"
고등학교학생,949,126.9363687,37.5486226,"20 sinsu-ro 8-gil, mapo-gu, seoul, south korea"
고등학교학생,1139,126.9256312,37.4651377,"141 gwangsin-gil, gwanak-gu, seoul, south korea"
고등학교학생,1335,126.8241074,37.53779,"17 nambusunhwan-ro 30-gil, yangcheon-gu, seoul, south korea"
고등학교학생,1450,126.8249328,37.5379189,"17 nambusunhwan-ro 30-gil, sinwol-dong, yangcheon-gu, seoul, south korea"
고등학교학생,1186,126.9247473,37.4719974,"80 nangok-ro 34-gil, gwanak-gu, seoul, south korea"
고등학교학생,1676,127.0566864,37.4956302,"21 dogok-ro 64-gil, daechi-dong, gangnam-gu, seoul, south korea"
고등학교학생,913,127.0247227,37.577861,"6 anam-ro, dongdaemun-gu, seoul, south korea"
고등학교학생,1255,126.9098086,37.6231185,"51-24 galhyeon-ro 29-gil, galhyeon-dong, eunpyeong-gu, seoul, south korea"
고등학교학생,992,126.9618971,37.5734256,"9 sajik-ro, jongno-gu, seoul, south korea"
고등학교학생,1306,127.0889497,37.563079,"26 yongmasan-ro 22-gil, gwangjin-gu, seoul, south korea"
고등학교학생,1334,127.0889497,37.563079,"26 yongmasan-ro 22-gil, gwangjin-gu, seoul, south korea"
고등학교학생,1091,127.0889497,37.563079,"26 yongmasan-ro 22-gil, gwangjin-gu, seoul, south korea"
고등학교학생,1605,126.8632842,37.5394531,"105 deungchon-ro, gangseo-gu, seoul, south korea"
고등학교학생,1085,127.013585,37.6136207,"116 seogyeong-ro, seongbuk-gu, seoul, south korea"
고등학교학생,1606,127.07504,37.6376011,"47 gongneung-ro 62ga-gil, nowon-gu, seoul, south korea"
고등학교학생,1614,127.0672803,37.6464458,"438 gongneung-ro, nowon-gu, seoul, south korea"
고등학교학생,904,126.9827378,37.5773697,"50 yulgok-ro 3-gil, jongno-gu, seoul, south korea"
고등학교학생,1538,126.8290111,37.5485816,"91-44 gangseo-ro 45-gil, gangseo-gu, seoul, south korea"
고등학교학생,645,126.8290111,37.5485816,"91-44 gangseo-ro 45-gil, gangseo-gu, seoul, south korea"
고등학교학생,1430,127.0752098,37.5777907,"201 janganbeotkkot-ro, dongdaemun-gu, seoul, south korea"
고등학교학생,1218,127.0867784,37.5425112,"47 gwangnaru-ro 36-gil, gwangjin-gu, seoul, south korea"
고등학교학생,1482,126.9927567,37.4759144,"123-5 hyoryeong-ro 2-gil, seocho-gu, seoul, south korea"
고등학교학생,1492,126.9250289,37.6143891,"793 tongil-ro, daejo-dong, eunpyeong-gu, seoul, south korea"
고등학교학생,1674,127.1406733,37.5200101,"305 gangdong-daero, gangdong-gu, seoul, south korea"
고등학교학생,981,127.0024292,37.5850524,"156 daehak-ro, jongno-gu, seoul, south korea"
고등학교학생,454,126.8470842,37.5687587,"50 heojun-ro, gangseo-gu, seoul, south korea"
고등학교학생,1360,126.916402,37.4513899,"45 tapgol-ro 10-gil, geumcheon-gu, seoul, south korea"
고등학교학생,1464,126.8984231,37.4493523,"45 siheung-daero 47-gil, geumcheon-gu, seoul, south korea"
고등학교학생,609,126.932908,37.4665516,"546 hoam-ro, gwanak-gu, seoul, south korea"
고등학교학생,1347,127.0955809,37.4984761,"11 samhaksa-ro, songpa-gu, seoul, south korea"
고등학교학생,928,126.9641933,37.5496855,"258 hyochangwon-ro, yongsan-gu, seoul, south korea"
고등학교학생,1204,127.1504916,37.5558123,"227 godeok-ro, gangdong-gu, seoul, south korea"
고등학교학생,816,126.9653816,37.5793895,"34 pirundae-ro 1-gil, jongno-gu, seoul, south korea"
고등학교학생,1291,126.8440539,37.5117371,"16 sinjeong-ro 13-gil, yangcheon-gu, seoul, south korea"
고등학교학생,1500,127.1351642,37.5195022,"1278 yangjae-daero, songpa-gu, seoul, south korea"
