역이름,인구(명),가구,주택,사업체
온수,16408,5932,5639,806
까치울,5355,1472,1258,296
부천종합운동장,2943,1040,1014,1525
춘의,17625,6899,4704,3730
신중동,32596,12511,11124,3776
부천시청,25186,9831,9876,4196
상동,23816,8100,7691,4706
삼산체육관,20828,6998,6888,1350
굴포천,29904,11444,9114,2320
부평구청,21063,8088,6899,1310
