Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
1	0.504	0.27	0.17	0.0689
2	0.508	0.257	0.178	0.0635
3	0.508	0.251	0.179	0.0592
4	0.509	0.249	0.18	0.0577
5	0.51	0.245	0.181	0.0557
6	0.511	0.243	0.182	0.0549
7	0.51	0.244	0.181	0.0547
8	0.509	0.244	0.181	0.0547
9	0.51	0.243	0.181	0.0544
10	0.508	0.243	0.181	0.0545
11	0.508	0.244	0.181	0.0543
12	0.508	0.244	0.181	0.0546
13	0.508	0.244	0.181	0.0544
14	0.507	0.244	0.181	0.0545
15	0.505	0.244	0.181	0.0545
16	0.504	0.244	0.181	0.0542
17	0.504	0.244	0.181	0.0542
18	0.503	0.243	0.181	0.0541
19	0.502	0.243	0.182	0.0541
20	0.502	0.243	0.182	0.0541
21	0.501	0.243	0.182	0.0542
22	0.501	0.243	0.182	0.0542
23	0.501	0.242	0.182	0.0542
24	0.499	0.242	0.182	0.054
25	0.498	0.242	0.183	0.054
26	0.497	0.242	0.183	0.0541
27	0.497	0.241	0.183	0.054
28	0.496	0.242	0.183	0.0541
29	0.495	0.242	0.183	0.0541
30	0.494	0.242	0.183	0.0542
31	0.494	0.242	0.183	0.0542
32	0.493	0.241	0.183	0.0543
33	0.493	0.241	0.183	0.0541
34	0.492	0.241	0.183	0.0539
35	0.492	0.241	0.183	0.0541
36	0.491	0.24	0.184	0.0539
37	0.49	0.241	0.184	0.0542
38	0.489	0.241	0.183	0.0545
39	0.488	0.24	0.184	0.054
40	0.488	0.24	0.184	0.054
41	0.486	0.24	0.184	0.0542
42	0.485	0.24	0.184	0.0541
43	0.485	0.24	0.184	0.0538
44	0.484	0.24	0.184	0.0538
45	0.484	0.24	0.184	0.0536
46	0.483	0.24	0.184	0.0536
47	0.481	0.24	0.184	0.0537
48	0.481	0.24	0.184	0.0536
49	0.48	0.24	0.184	0.0537
50	0.479	0.239	0.184	0.0536
51	0.478	0.239	0.184	0.0536
52	0.477	0.239	0.184	0.0535
53	0.477	0.239	0.184	0.0533
54	0.476	0.239	0.184	0.0535
55	0.475	0.239	0.184	0.0537
56	0.474	0.239	0.184	0.0536
57	0.474	0.239	0.184	0.0535
58	0.474	0.239	0.184	0.0534
59	0.472	0.239	0.184	0.0535
60	0.471	0.239	0.184	0.0537
61	0.471	0.239	0.184	0.0536
62	0.471	0.239	0.184	0.0533
