Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
3	0.5	0.278	0.161	0.0682
4	0.507	0.277	0.165	0.0657
5	0.514	0.269	0.165	0.061
6	0.526	0.265	0.166	0.0601
7	0.528	0.263	0.166	0.0585
8	0.529	0.263	0.166	0.0582
9	0.53	0.263	0.165	0.0579
10	0.529	0.262	0.165	0.0575
11	0.529	0.262	0.165	0.0573
12	0.531	0.262	0.165	0.057
13	0.531	0.262	0.165	0.0569
14	0.531	0.261	0.165	0.0567
15	0.531	0.261	0.165	0.0565
16	0.531	0.261	0.164	0.0563
17	0.531	0.261	0.164	0.056
18	0.531	0.26	0.164	0.0559
19	0.532	0.26	0.164	0.0557
20	0.531	0.26	0.164	0.0556
21	0.531	0.259	0.164	0.0555
22	0.531	0.259	0.164	0.0555
23	0.531	0.26	0.163	0.0554
24	0.531	0.259	0.164	0.0553
25	0.531	0.26	0.163	0.0551
26	0.53	0.259	0.163	0.0551
27	0.53	0.259	0.163	0.0547
28	0.53	0.259	0.163	0.0548
29	0.529	0.259	0.163	0.0548
30	0.529	0.259	0.163	0.0545
31	0.529	0.259	0.163	0.0545
32	0.528	0.258	0.163	0.0545
33	0.528	0.258	0.163	0.0543
34	0.527	0.258	0.163	0.0542
35	0.527	0.258	0.163	0.0541
36	0.526	0.257	0.163	0.054
37	0.526	0.257	0.163	0.054
38	0.526	0.257	0.163	0.0539
39	0.525	0.257	0.163	0.0538
40	0.525	0.256	0.163	0.0536
41	0.525	0.256	0.163	0.0536
42	0.524	0.256	0.163	0.0535
43	0.524	0.256	0.163	0.0534
44	0.523	0.256	0.163	0.0533
45	0.523	0.256	0.163	0.0532
46	0.522	0.256	0.163	0.0532
47	0.521	0.256	0.163	0.0531
48	0.521	0.256	0.163	0.0529
49	0.521	0.256	0.163	0.0529
50	0.52	0.255	0.163	0.0527
51	0.519	0.254	0.163	0.0525
52	0.519	0.255	0.163	0.0525
53	0.518	0.255	0.163	0.0525
54	0.518	0.254	0.163	0.0525
55	0.517	0.254	0.163	0.0523
56	0.516	0.254	0.163	0.0523
57	0.515	0.254	0.163	0.0523
58	0.515	0.254	0.163	0.0522
59	0.515	0.253	0.163	0.052
60	0.514	0.253	0.163	0.052
61	0.514	0.253	0.163	0.0519
62	0.513	0.252	0.163	0.0518
63	0.512	0.252	0.163	0.0516
64	0.511	0.252	0.163	0.0516
65	0.511	0.252	0.163	0.0517
66	0.511	0.252	0.163	0.0517
67	0.51	0.252	0.163	0.0517
68	0.51	0.252	0.163	0.0516
69	0.509	0.252	0.163	0.0514
70	0.509	0.252	0.163	0.0514
71	0.508	0.252	0.163	0.0514
72	0.507	0.252	0.163	0.0514
73	0.507	0.251	0.163	0.0513
74	0.507	0.251	0.163	0.0513
75	0.506	0.251	0.163	0.0511
76	0.505	0.251	0.163	0.0512
77	0.505	0.251	0.163	0.0512
78	0.504	0.251	0.163	0.0512
79	0.504	0.251	0.163	0.0511
80	0.503	0.251	0.163	0.051
81	0.502	0.251	0.163	0.051
82	0.502	0.251	0.163	0.051
83	0.502	0.251	0.163	0.051
84	0.501	0.25	0.163	0.0508
85	0.501	0.25	0.163	0.0508
86	0.5	0.25	0.163	0.0508
87	0.499	0.25	0.163	0.0508
88	0.499	0.25	0.163	0.0507
89	0.498	0.25	0.163	0.0507
90	0.498	0.25	0.163	0.0506
91	0.497	0.249	0.163	0.0506
92	0.497	0.25	0.163	0.0507
93	0.497	0.249	0.163	0.0506
94	0.496	0.249	0.163	0.0506
95	0.495	0.249	0.163	0.0506
96	0.495	0.249	0.163	0.0506
97	0.494	0.249	0.163	0.0505
98	0.494	0.249	0.163	0.0506
99	0.493	0.249	0.163	0.0505
100	0.492	0.249	0.163	0.0504
101	0.492	0.249	0.163	0.0504
102	0.491	0.249	0.163	0.0505
103	0.491	0.249	0.163	0.0504
104	0.49	0.249	0.163	0.0505
105	0.49	0.249	0.163	0.0504
106	0.489	0.249	0.163	0.0504
107	0.489	0.249	0.163	0.0504
108	0.488	0.249	0.163	0.0503
109	0.488	0.248	0.163	0.0502
110	0.487	0.249	0.162	0.0501
111	0.487	0.248	0.163	0.05
112	0.486	0.248	0.162	0.0501
113	0.485	0.248	0.163	0.0501
114	0.485	0.248	0.163	0.0501
115	0.484	0.248	0.163	0.0501
116	0.484	0.248	0.162	0.0501
117	0.483	0.248	0.163	0.0501
118	0.482	0.248	0.163	0.0501
119	0.482	0.248	0.162	0.0501
120	0.481	0.248	0.163	0.05
121	0.481	0.247	0.162	0.0499
122	0.48	0.247	0.162	0.05
123	0.48	0.247	0.162	0.05
124	0.479	0.247	0.162	0.05
125	0.479	0.247	0.162	0.05
126	0.479	0.247	0.162	0.05
127	0.478	0.247	0.162	0.0499
128	0.478	0.247	0.162	0.0499
129	0.477	0.247	0.162	0.0499
130	0.476	0.247	0.162	0.0499
131	0.476	0.247	0.162	0.0499
132	0.475	0.247	0.162	0.05
133	0.475	0.247	0.162	0.05
134	0.474	0.247	0.162	0.0499
135	0.474	0.247	0.162	0.05
136	0.473	0.247	0.162	0.0499
137	0.473	0.247	0.162	0.0498
138	0.473	0.247	0.162	0.0498
139	0.472	0.247	0.162	0.0497
140	0.472	0.247	0.162	0.0498
141	0.471	0.246	0.162	0.0497
142	0.471	0.246	0.162	0.0497
143	0.471	0.247	0.162	0.0499
144	0.47	0.246	0.162	0.0498
145	0.469	0.246	0.162	0.0497
146	0.469	0.246	0.162	0.0498
147	0.469	0.246	0.162	0.0498
148	0.468	0.246	0.162	0.0498
149	0.468	0.247	0.162	0.0497
150	0.467	0.247	0.162	0.0497
151	0.467	0.246	0.162	0.0497
152	0.466	0.246	0.162	0.0496
153	0.466	0.246	0.162	0.0495
154	0.466	0.246	0.162	0.0495
155	0.465	0.246	0.162	0.0495
156	0.465	0.246	0.161	0.0496
157	0.464	0.246	0.161	0.0497
158	0.463	0.246	0.161	0.0496
159	0.463	0.246	0.162	0.0497
160	0.463	0.246	0.161	0.0495
161	0.462	0.246	0.161	0.0495
162	0.462	0.246	0.161	0.0494
163	0.462	0.246	0.161	0.0495
164	0.461	0.246	0.161	0.0494
165	0.461	0.246	0.161	0.0495
166	0.46	0.246	0.161	0.0494
167	0.459	0.246	0.161	0.0495
168	0.459	0.246	0.161	0.0496
169	0.459	0.246	0.161	0.0497
170	0.458	0.246	0.161	0.0497
171	0.458	0.246	0.161	0.0496
172	0.457	0.246	0.161	0.0496
173	0.457	0.246	0.161	0.0495
174	0.456	0.246	0.161	0.0496
175	0.456	0.246	0.161	0.0495
176	0.455	0.246	0.161	0.0496
177	0.455	0.246	0.161	0.0495
178	0.455	0.246	0.161	0.0495
179	0.454	0.246	0.161	0.0496
180	0.454	0.246	0.16	0.0496
181	0.454	0.246	0.16	0.0495
182	0.453	0.246	0.16	0.0496
183	0.453	0.246	0.16	0.0497
184	0.452	0.246	0.16	0.0497
185	0.452	0.246	0.16	0.0497
186	0.451	0.246	0.16	0.0496
187	0.451	0.246	0.16	0.0495
188	0.451	0.246	0.16	0.0495
189	0.45	0.246	0.16	0.0495
190	0.45	0.246	0.16	0.0496
191	0.449	0.246	0.16	0.0495
192	0.449	0.246	0.16	0.0495
193	0.449	0.246	0.16	0.0495
194	0.448	0.246	0.16	0.0494
195	0.448	0.246	0.16	0.0494
196	0.447	0.246	0.16	0.0494
197	0.447	0.246	0.16	0.0494
198	0.446	0.246	0.16	0.0493
199	0.446	0.246	0.159	0.0494
200	0.446	0.246	0.159	0.0494
201	0.445	0.246	0.159	0.0494
202	0.445	0.246	0.159	0.0495
203	0.445	0.245	0.159	0.0494
204	0.444	0.245	0.159	0.0494
205	0.444	0.246	0.159	0.0494
206	0.443	0.245	0.159	0.0494
207	0.443	0.246	0.159	0.0494
208	0.443	0.246	0.159	0.0494
209	0.442	0.246	0.159	0.0494
210	0.442	0.245	0.159	0.0494
211	0.442	0.246	0.159	0.0493
212	0.441	0.245	0.159	0.0493
213	0.441	0.245	0.159	0.0492
214	0.44	0.245	0.159	0.0493
215	0.44	0.245	0.159	0.0492
216	0.439	0.245	0.159	0.0493
217	0.439	0.245	0.159	0.0494
218	0.439	0.245	0.158	0.0494
219	0.438	0.245	0.159	0.0494
220	0.438	0.245	0.158	0.0493
221	0.438	0.245	0.158	0.0493
222	0.437	0.245	0.158	0.0493
223	0.437	0.245	0.158	0.0491
224	0.436	0.245	0.158	0.0491
225	0.436	0.245	0.158	0.0492
226	0.436	0.245	0.158	0.0491
227	0.436	0.245	0.158	0.0491
228	0.435	0.245	0.158	0.0491
229	0.435	0.245	0.158	0.0492
230	0.435	0.245	0.158	0.0492
231	0.434	0.245	0.158	0.0491
232	0.434	0.245	0.158	0.0493
233	0.434	0.245	0.158	0.0493
234	0.433	0.245	0.158	0.0492
235	0.433	0.245	0.158	0.0491
236	0.433	0.245	0.158	0.0491
237	0.432	0.245	0.158	0.0492
238	0.432	0.245	0.158	0.0492
239	0.431	0.245	0.158	0.0492
240	0.431	0.245	0.158	0.0492
