Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
172	0.445	0.264	0.145	0.0497
173	0.444	0.265	0.145	0.0497
174	0.444	0.265	0.145	0.0497
175	0.444	0.265	0.145	0.0498
176	0.443	0.265	0.145	0.0498
177	0.443	0.265	0.145	0.0497
178	0.443	0.265	0.145	0.0497
179	0.443	0.265	0.144	0.0497
180	0.443	0.265	0.144	0.0497
181	0.442	0.265	0.144	0.0497
182	0.442	0.265	0.144	0.0497
183	0.441	0.265	0.144	0.0497
184	0.442	0.265	0.144	0.0496
185	0.441	0.265	0.144	0.0497
186	0.441	0.265	0.144	0.0498
187	0.441	0.265	0.144	0.0497
188	0.441	0.265	0.144	0.0497
189	0.44	0.266	0.144	0.0498
190	0.44	0.265	0.144	0.0497
191	0.44	0.265	0.144	0.0496
192	0.439	0.265	0.144	0.0498
193	0.439	0.265	0.144	0.0497
194	0.439	0.265	0.144	0.0497
195	0.438	0.266	0.144	0.0499
196	0.439	0.265	0.144	0.0498
197	0.438	0.266	0.143	0.0498
198	0.437	0.266	0.143	0.0498
199	0.438	0.266	0.143	0.0497
200	0.438	0.266	0.143	0.0497
201	0.437	0.266	0.143	0.0499
202	0.437	0.266	0.143	0.0498
203	0.437	0.266	0.143	0.0497
204	0.436	0.266	0.143	0.0499
205	0.436	0.266	0.143	0.0498
206	0.436	0.266	0.143	0.0498
207	0.435	0.266	0.143	0.05
208	0.436	0.266	0.143	0.0498
209	0.435	0.266	0.143	0.0498
210	0.434	0.266	0.143	0.0498
211	0.435	0.266	0.143	0.0497
212	0.435	0.266	0.143	0.0497
213	0.434	0.266	0.143	0.0499
214	0.435	0.266	0.143	0.0498
215	0.434	0.266	0.143	0.0497
216	0.433	0.266	0.143	0.0499
217	0.433	0.266	0.142	0.0497
218	0.432	0.266	0.143	0.0497
219	0.432	0.266	0.142	0.0499
220	0.432	0.266	0.142	0.0497
221	0.432	0.266	0.142	0.0498
222	0.431	0.266	0.142	0.0499
223	0.431	0.266	0.142	0.0498
224	0.431	0.266	0.142	0.0498
225	0.43	0.267	0.142	0.0499
226	0.431	0.266	0.142	0.0498
227	0.431	0.266	0.142	0.0498
228	0.429	0.267	0.142	0.0499
229	0.43	0.266	0.142	0.0498
230	0.429	0.266	0.142	0.0499
231	0.429	0.267	0.142	0.05
232	0.43	0.266	0.142	0.0499
233	0.429	0.266	0.142	0.0498
234	0.428	0.267	0.142	0.05
235	0.428	0.266	0.142	0.0497
236	0.428	0.267	0.142	0.0498
237	0.427	0.267	0.141	0.0499
238	0.427	0.267	0.141	0.0499
239	0.427	0.267	0.141	0.0498
240	0.426	0.267	0.141	0.05
241	0.427	0.267	0.141	0.0498
242	0.427	0.267	0.141	0.0499
243	0.426	0.267	0.141	0.05
244	0.426	0.267	0.141	0.0499
245	0.426	0.267	0.141	0.0499
246	0.425	0.267	0.141	0.05
247	0.426	0.267	0.141	0.0498
248	0.425	0.267	0.141	0.0499
249	0.425	0.267	0.141	0.05
250	0.425	0.267	0.141	0.05
251	0.424	0.267	0.141	0.05
252	0.424	0.268	0.141	0.0501
253	0.425	0.267	0.141	0.0499
254	0.424	0.267	0.141	0.05
255	0.423	0.267	0.141	0.05
256	0.423	0.267	0.141	0.0499
257	0.423	0.267	0.141	0.0499
258	0.422	0.268	0.141	0.05
259	0.423	0.267	0.14	0.0498
260	0.422	0.267	0.14	0.0498
261	0.422	0.267	0.14	0.0498
262	0.422	0.267	0.14	0.0497
263	0.422	0.267	0.14	0.0499
264	0.422	0.267	0.14	0.0498
265	0.422	0.267	0.14	0.0498
266	0.421	0.267	0.14	0.0498
267	0.42	0.268	0.14	0.0499
268	0.421	0.267	0.14	0.0498
269	0.42	0.268	0.14	0.0498
270	0.42	0.268	0.14	0.0499
271	0.42	0.268	0.14	0.0499
272	0.42	0.268	0.14	0.0498
273	0.419	0.268	0.14	0.0499
274	0.419	0.268	0.14	0.0498
275	0.419	0.268	0.14	0.0498
276	0.418	0.268	0.14	0.05
277	0.419	0.268	0.14	0.0499
278	0.418	0.268	0.14	0.0499
279	0.418	0.268	0.14	0.05
280	0.418	0.268	0.14	0.0499
281	0.418	0.268	0.14	0.0499
282	0.417	0.268	0.14	0.05
283	0.418	0.267	0.14	0.0498
284	0.417	0.268	0.14	0.0499
285	0.416	0.268	0.139	0.05
286	0.417	0.268	0.139	0.0499
287	0.416	0.268	0.139	0.0499
288	0.416	0.268	0.139	0.05
289	0.416	0.268	0.139	0.0499
290	0.416	0.268	0.139	0.0499
291	0.415	0.268	0.139	0.05
292	0.416	0.268	0.139	0.0499
293	0.415	0.268	0.139	0.0499
294	0.414	0.268	0.139	0.05
295	0.415	0.268	0.139	0.0499
296	0.414	0.268	0.139	0.0499
297	0.414	0.268	0.139	0.05
298	0.414	0.268	0.139	0.0499
299	0.413	0.268	0.139	0.0499
300	0.413	0.269	0.139	0.0501
301	0.413	0.268	0.139	0.0498
302	0.413	0.268	0.139	0.0499
303	0.412	0.269	0.139	0.05
304	0.413	0.268	0.138	0.0499
305	0.412	0.268	0.138	0.0499
306	0.411	0.269	0.138	0.0501
307	0.412	0.268	0.138	0.0499
308	0.412	0.268	0.138	0.05
309	0.411	0.268	0.138	0.05
310	0.411	0.268	0.138	0.0501
311	0.411	0.268	0.138	0.05
312	0.411	0.268	0.138	0.05
313	0.411	0.268	0.138	0.05
