Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
168	0.429	0.242	0.177	0.0562
169	0.428	0.242	0.177	0.0563
170	0.428	0.242	0.177	0.0562
171	0.427	0.242	0.177	0.0563
172	0.427	0.243	0.177	0.0564
173	0.427	0.242	0.177	0.0563
174	0.427	0.242	0.177	0.0563
175	0.426	0.243	0.177	0.0563
176	0.426	0.242	0.177	0.0563
177	0.426	0.243	0.177	0.0563
178	0.426	0.242	0.177	0.0563
179	0.426	0.242	0.177	0.0563
180	0.425	0.242	0.177	0.0563
181	0.424	0.242	0.177	0.0564
182	0.424	0.242	0.177	0.0564
183	0.424	0.242	0.177	0.0563
184	0.424	0.242	0.177	0.0564
185	0.424	0.242	0.177	0.0564
186	0.423	0.242	0.177	0.0563
187	0.423	0.242	0.177	0.0565
188	0.423	0.242	0.176	0.0565
189	0.423	0.242	0.176	0.0564
190	0.422	0.242	0.176	0.0565
191	0.422	0.242	0.176	0.0566
192	0.422	0.242	0.176	0.0565
193	0.422	0.243	0.176	0.0565
194	0.422	0.242	0.176	0.0565
195	0.421	0.242	0.176	0.0565
196	0.421	0.243	0.176	0.0566
197	0.421	0.243	0.176	0.0566
198	0.42	0.242	0.176	0.0565
199	0.42	0.242	0.176	0.0565
200	0.42	0.242	0.176	0.0565
201	0.42	0.242	0.176	0.0565
202	0.42	0.242	0.176	0.0565
203	0.42	0.242	0.176	0.0565
204	0.42	0.242	0.176	0.0565
205	0.419	0.243	0.176	0.0566
206	0.419	0.242	0.176	0.0565
207	0.419	0.242	0.176	0.0566
208	0.419	0.242	0.176	0.0565
209	0.418	0.242	0.176	0.0566
210	0.418	0.242	0.176	0.0566
211	0.418	0.243	0.175	0.0566
212	0.417	0.242	0.175	0.0567
213	0.417	0.242	0.175	0.0566
214	0.417	0.242	0.175	0.0567
215	0.417	0.242	0.175	0.0567
216	0.417	0.242	0.175	0.0566
217	0.417	0.242	0.175	0.0567
218	0.416	0.243	0.175	0.0568
219	0.416	0.242	0.175	0.0567
220	0.416	0.243	0.175	0.0567
221	0.416	0.242	0.175	0.0567
222	0.416	0.242	0.175	0.0567
223	0.415	0.243	0.175	0.0568
224	0.415	0.243	0.175	0.0568
225	0.415	0.243	0.175	0.0568
226	0.415	0.243	0.175	0.0568
227	0.415	0.243	0.175	0.0569
228	0.415	0.243	0.175	0.0568
229	0.414	0.243	0.175	0.0567
230	0.414	0.243	0.175	0.0568
231	0.414	0.243	0.174	0.0568
232	0.414	0.243	0.174	0.0569
233	0.414	0.243	0.174	0.0569
234	0.414	0.243	0.174	0.0569
235	0.414	0.243	0.174	0.0569
236	0.413	0.243	0.174	0.0569
237	0.413	0.243	0.174	0.0568
238	0.413	0.243	0.174	0.0569
239	0.412	0.243	0.174	0.0569
240	0.412	0.243	0.174	0.0568
241	0.412	0.243	0.174	0.0569
242	0.412	0.243	0.174	0.0569
243	0.412	0.243	0.174	0.0569
244	0.412	0.243	0.174	0.0569
245	0.411	0.243	0.174	0.057
246	0.411	0.243	0.174	0.0569
247	0.411	0.243	0.174	0.057
248	0.411	0.243	0.174	0.057
249	0.411	0.243	0.174	0.0569
250	0.411	0.243	0.174	0.057
251	0.41	0.243	0.174	0.057
252	0.41	0.243	0.173	0.057
253	0.41	0.243	0.173	0.057
254	0.41	0.243	0.173	0.0571
255	0.41	0.243	0.173	0.057
256	0.409	0.243	0.173	0.0571
257	0.409	0.243	0.173	0.0571
258	0.41	0.243	0.173	0.057
259	0.409	0.243	0.173	0.0572
260	0.409	0.243	0.173	0.0571
261	0.408	0.243	0.173	0.0571
262	0.408	0.243	0.173	0.0571
263	0.408	0.243	0.173	0.057
264	0.408	0.243	0.173	0.057
265	0.408	0.243	0.173	0.0571
266	0.408	0.243	0.173	0.0571
267	0.408	0.243	0.173	0.0569
268	0.407	0.243	0.173	0.057
269	0.407	0.243	0.173	0.057
270	0.407	0.243	0.173	0.0569
271	0.407	0.243	0.173	0.057
272	0.407	0.243	0.173	0.057
273	0.406	0.243	0.173	0.0571
274	0.406	0.243	0.173	0.0571
275	0.406	0.244	0.172	0.0571
276	0.406	0.243	0.173	0.057
277	0.406	0.244	0.172	0.0571
278	0.405	0.244	0.172	0.0571
279	0.405	0.243	0.172	0.0571
280	0.405	0.244	0.172	0.0571
281	0.405	0.244	0.172	0.0571
282	0.405	0.243	0.172	0.0571
283	0.404	0.243	0.172	0.0572
284	0.404	0.243	0.172	0.0572
285	0.404	0.243	0.172	0.0572
286	0.404	0.243	0.172	0.0571
287	0.403	0.243	0.172	0.0572
288	0.404	0.243	0.172	0.0571
289	0.404	0.243	0.172	0.0572
290	0.403	0.243	0.172	0.0572
291	0.403	0.243	0.172	0.0571
292	0.403	0.243	0.172	0.0572
293	0.403	0.244	0.172	0.0572
294	0.403	0.243	0.172	0.0571
295	0.402	0.243	0.172	0.0571
296	0.402	0.244	0.172	0.0572
297	0.402	0.244	0.172	0.0572
298	0.402	0.244	0.172	0.0573
299	0.401	0.244	0.172	0.0573
300	0.401	0.243	0.172	0.0572
301	0.401	0.244	0.172	0.0572
302	0.401	0.244	0.171	0.0573
303	0.401	0.244	0.171	0.0573
304	0.4	0.244	0.171	0.0573
305	0.401	0.244	0.171	0.0573
306	0.4	0.243	0.171	0.0573
307	0.4	0.244	0.171	0.0573
308	0.4	0.244	0.171	0.0574
309	0.4	0.244	0.171	0.0573
310	0.4	0.243	0.171	0.0572
311	0.399	0.243	0.171	0.0572
312	0.399	0.243	0.171	0.0573
313	0.399	0.243	0.171	0.0573
314	0.399	0.243	0.171	0.0572
315	0.399	0.243	0.171	0.0571
316	0.398	0.243	0.171	0.0572
317	0.399	0.243	0.171	0.0572
318	0.398	0.243	0.171	0.0572
319	0.398	0.243	0.171	0.0573
320	0.398	0.243	0.171	0.0573
321	0.398	0.243	0.171	0.0573
322	0.398	0.243	0.171	0.0573
323	0.398	0.244	0.171	0.0573
324	0.397	0.243	0.171	0.0572
325	0.397	0.243	0.171	0.0573
326	0.397	0.243	0.171	0.0573
327	0.397	0.243	0.171	0.0573
328	0.397	0.243	0.171	0.0573
329	0.397	0.244	0.17	0.0574
330	0.397	0.244	0.17	0.0574
331	0.397	0.243	0.171	0.0573
332	0.397	0.243	0.171	0.0573
333	0.396	0.244	0.17	0.0573
334	0.396	0.244	0.17	0.0574
335	0.396	0.243	0.17	0.0573
336	0.396	0.244	0.17	0.0573
337	0.396	0.244	0.17	0.0573
338	0.395	0.244	0.17	0.0574
339	0.395	0.244	0.17	0.0574
340	0.395	0.244	0.17	0.0574
341	0.395	0.243	0.17	0.0573
342	0.395	0.243	0.17	0.0574
343	0.394	0.243	0.17	0.0574
344	0.394	0.243	0.17	0.0574
345	0.394	0.243	0.17	0.0574
346	0.394	0.243	0.17	0.0573
347	0.394	0.243	0.17	0.0573
348	0.394	0.243	0.17	0.0573
349	0.393	0.243	0.17	0.0573
350	0.393	0.243	0.17	0.0573
351	0.393	0.243	0.17	0.0574
352	0.393	0.243	0.17	0.0574
353	0.393	0.243	0.17	0.0575
354	0.393	0.243	0.17	0.0575
355	0.393	0.243	0.17	0.0575
356	0.393	0.243	0.17	0.0574
357	0.393	0.243	0.17	0.0574
358	0.392	0.243	0.17	0.0574
359	0.392	0.243	0.17	0.0574
360	0.392	0.243	0.17	0.0574
361	0.392	0.243	0.17	0.0574
362	0.392	0.243	0.17	0.0574
363	0.392	0.243	0.17	0.0574
364	0.392	0.244	0.169	0.0575
365	0.392	0.244	0.169	0.0575
366	0.392	0.244	0.169	0.0576
367	0.392	0.244	0.169	0.0575
368	0.392	0.244	0.169	0.0575
369	0.391	0.243	0.169	0.0574
370	0.391	0.244	0.169	0.0575
371	0.391	0.243	0.169	0.0575
372	0.391	0.243	0.169	0.0575
373	0.39	0.243	0.169	0.0575
374	0.39	0.244	0.169	0.0575
375	0.391	0.243	0.169	0.0575
376	0.39	0.243	0.169	0.0575
