Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
3	0.515	0.279	0.159	0.0674
4	0.517	0.278	0.163	0.0663
5	0.525	0.271	0.163	0.0612
6	0.533	0.263	0.165	0.0586
7	0.536	0.262	0.164	0.0576
8	0.537	0.262	0.164	0.0577
9	0.537	0.262	0.164	0.0576
10	0.537	0.262	0.164	0.0573
11	0.537	0.261	0.164	0.057
12	0.538	0.261	0.164	0.0567
13	0.537	0.261	0.163	0.0567
14	0.536	0.261	0.163	0.0565
15	0.537	0.26	0.164	0.0564
16	0.536	0.26	0.163	0.0563
17	0.536	0.26	0.163	0.0562
18	0.535	0.26	0.163	0.0561
19	0.536	0.26	0.163	0.0561
20	0.535	0.26	0.163	0.0559
21	0.535	0.26	0.163	0.0557
22	0.534	0.26	0.163	0.0555
23	0.535	0.26	0.163	0.0555
24	0.534	0.26	0.163	0.0555
25	0.534	0.26	0.162	0.0555
26	0.534	0.26	0.162	0.0556
27	0.534	0.26	0.162	0.0554
28	0.533	0.26	0.162	0.0554
29	0.533	0.26	0.162	0.0553
30	0.533	0.259	0.162	0.0552
31	0.533	0.259	0.162	0.055
32	0.532	0.259	0.162	0.055
33	0.532	0.259	0.162	0.055
34	0.532	0.259	0.162	0.0547
35	0.531	0.258	0.163	0.0546
36	0.531	0.258	0.162	0.0545
37	0.53	0.258	0.162	0.0545
38	0.53	0.258	0.162	0.0544
39	0.529	0.258	0.162	0.0542
40	0.529	0.257	0.162	0.0541
41	0.528	0.257	0.162	0.054
42	0.528	0.257	0.162	0.054
43	0.528	0.257	0.162	0.054
44	0.527	0.257	0.162	0.054
45	0.527	0.257	0.162	0.054
46	0.527	0.257	0.162	0.0539
47	0.526	0.256	0.162	0.0538
48	0.526	0.256	0.162	0.0538
49	0.526	0.256	0.162	0.0536
50	0.525	0.256	0.162	0.0536
51	0.525	0.255	0.163	0.0536
52	0.524	0.256	0.162	0.0536
53	0.524	0.256	0.162	0.0537
54	0.524	0.256	0.162	0.0536
55	0.523	0.256	0.163	0.0536
56	0.522	0.256	0.163	0.0536
57	0.522	0.255	0.163	0.0535
58	0.522	0.255	0.163	0.0534
59	0.521	0.255	0.163	0.0534
60	0.52	0.255	0.163	0.0532
61	0.519	0.255	0.163	0.0532
62	0.519	0.254	0.163	0.0531
63	0.518	0.254	0.163	0.0529
64	0.518	0.254	0.163	0.053
65	0.517	0.254	0.163	0.0531
66	0.517	0.254	0.163	0.0529
67	0.516	0.254	0.163	0.0528
68	0.516	0.254	0.163	0.0529
69	0.515	0.254	0.163	0.0528
70	0.514	0.253	0.163	0.0527
71	0.514	0.253	0.163	0.0528
72	0.514	0.254	0.163	0.0529
73	0.514	0.253	0.163	0.0526
74	0.513	0.253	0.163	0.0526
75	0.512	0.253	0.163	0.0526
76	0.512	0.253	0.163	0.0524
77	0.512	0.253	0.163	0.0524
78	0.511	0.253	0.163	0.0526
79	0.511	0.253	0.163	0.0525
80	0.51	0.253	0.163	0.0525
81	0.51	0.253	0.163	0.0523
82	0.509	0.252	0.163	0.0522
83	0.508	0.252	0.163	0.0522
84	0.508	0.252	0.163	0.0522
85	0.507	0.252	0.163	0.0521
86	0.507	0.252	0.163	0.0521
87	0.506	0.252	0.163	0.0521
88	0.505	0.252	0.163	0.0521
89	0.505	0.253	0.163	0.0521
90	0.505	0.252	0.163	0.052
91	0.504	0.252	0.163	0.052
92	0.504	0.253	0.163	0.0521
93	0.503	0.252	0.163	0.052
94	0.502	0.252	0.163	0.0521
95	0.502	0.252	0.163	0.0521
96	0.501	0.253	0.163	0.0522
97	0.501	0.252	0.163	0.0521
98	0.5	0.253	0.162	0.0522
99	0.5	0.252	0.163	0.052
100	0.499	0.252	0.163	0.0519
