Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
1	-0.0422	0.563	0.65	0.314
2	-0.0366	0.547	0.675	0.298
3	-0.0289	0.524	0.681	0.273
4	-0.0234	0.512	0.689	0.259
5	-0.0197	0.492	0.701	0.244
6	-0.0156	0.483	0.708	0.241
7	-0.0166	0.483	0.704	0.241
8	-0.0154	0.482	0.705	0.241
9	-0.0142	0.48	0.707	0.24
10	-0.0122	0.481	0.705	0.24
11	-0.014	0.481	0.706	0.239
12	-0.0136	0.482	0.706	0.24
13	-0.0129	0.482	0.706	0.24
14	-0.0138	0.483	0.706	0.24
15	-0.0128	0.484	0.706	0.24
16	-0.0144	0.484	0.705	0.24
17	-0.0144	0.485	0.704	0.24
18	-0.0129	0.486	0.704	0.241
19	-0.0122	0.486	0.705	0.241
20	-0.0122	0.485	0.705	0.24
21	-0.0119	0.485	0.705	0.24
22	-0.0113	0.485	0.706	0.239
23	-0.0118	0.485	0.706	0.24
24	-0.0114	0.486	0.706	0.239
25	-0.0123	0.485	0.706	0.239
26	-0.0129	0.486	0.707	0.239
27	-0.0118	0.485	0.707	0.239
28	-0.0118	0.485	0.707	0.239
29	-0.0117	0.486	0.706	0.239
30	-0.0118	0.487	0.706	0.24
31	-0.0121	0.487	0.706	0.239
32	-0.0128	0.486	0.707	0.239
33	-0.0122	0.485	0.708	0.238
34	-0.0128	0.485	0.708	0.237
35	-0.0132	0.486	0.708	0.238
36	-0.0132	0.486	0.708	0.238
37	-0.0119	0.487	0.708	0.239
38	-0.0118	0.488	0.707	0.24
39	-0.0111	0.486	0.709	0.238
40	-0.011	0.486	0.709	0.238
41	-0.0123	0.487	0.708	0.238
42	-0.0111	0.486	0.709	0.238
43	-0.0103	0.485	0.71	0.237
44	-0.0119	0.486	0.71	0.237
45	-0.0113	0.485	0.71	0.236
46	-0.0114	0.485	0.71	0.236
47	-0.0116	0.486	0.71	0.236
48	-0.0119	0.485	0.71	0.235
49	-0.0117	0.485	0.711	0.236
50	-0.0116	0.484	0.711	0.235
51	-0.0113	0.485	0.711	0.235
52	-0.0123	0.485	0.711	0.236
53	-0.0127	0.484	0.712	0.234
54	-0.0132	0.484	0.712	0.235
55	-0.0123	0.484	0.713	0.235
56	-0.0118	0.483	0.713	0.235
57	-0.012	0.483	0.714	0.234
58	-0.0108	0.483	0.713	0.235
59	-0.00955	0.484	0.712	0.235
60	-0.00973	0.484	0.713	0.235
61	-0.0106	0.484	0.714	0.235
62	-0.0111	0.482	0.715	0.234
63	-0.0108	0.481	0.716	0.233
64	-0.0108	0.482	0.716	0.233
65	-0.0112	0.482	0.716	0.234
66	-0.0114	0.482	0.716	0.234
67	-0.0114	0.481	0.717	0.234
68	-0.0115	0.481	0.717	0.233
69	-0.0114	0.482	0.716	0.234
70	-0.0101	0.481	0.716	0.234
71	-0.0103	0.482	0.716	0.234
72	-0.00954	0.483	0.715	0.235
73	-0.00955	0.482	0.716	0.234
