Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
172	0.442	0.244	0.161	0.0507
173	0.442	0.245	0.161	0.0507
174	0.443	0.245	0.161	0.0506
175	0.442	0.245	0.161	0.0508
176	0.443	0.245	0.161	0.0508
177	0.443	0.245	0.161	0.0507
178	0.442	0.245	0.161	0.0507
179	0.443	0.245	0.161	0.0506
180	0.443	0.245	0.161	0.0505
181	0.441	0.245	0.161	0.0506
182	0.442	0.245	0.161	0.0505
183	0.442	0.245	0.161	0.0505
184	0.441	0.245	0.161	0.0505
185	0.442	0.245	0.161	0.0506
186	0.442	0.245	0.161	0.0505
187	0.443	0.245	0.161	0.0505
188	0.442	0.245	0.161	0.0505
189	0.442	0.245	0.161	0.0504
190	0.443	0.245	0.161	0.0504
191	0.442	0.245	0.161	0.0503
192	0.442	0.245	0.161	0.0504
193	0.443	0.245	0.161	0.0504
194	0.442	0.245	0.161	0.0504
195	0.442	0.245	0.161	0.0505
196	0.443	0.245	0.161	0.0505
197	0.442	0.245	0.161	0.0505
198	0.443	0.245	0.161	0.0503
199	0.443	0.245	0.161	0.0504
200	0.442	0.245	0.161	0.0504
201	0.443	0.245	0.161	0.0505
202	0.444	0.245	0.161	0.0505
203	0.442	0.245	0.161	0.0505
204	0.442	0.245	0.161	0.0504
205	0.443	0.245	0.161	0.0505
206	0.442	0.245	0.161	0.0503
207	0.442	0.245	0.161	0.0504
208	0.443	0.245	0.161	0.0503
209	0.442	0.245	0.161	0.0504
210	0.443	0.245	0.161	0.0503
211	0.443	0.245	0.161	0.0503
212	0.442	0.245	0.16	0.0504
213	0.443	0.245	0.161	0.0504
214	0.443	0.245	0.161	0.0503
215	0.442	0.245	0.161	0.0503
216	0.442	0.245	0.161	0.0503
217	0.444	0.245	0.161	0.0504
218	0.442	0.245	0.16	0.0503
219	0.442	0.245	0.16	0.0503
220	0.444	0.245	0.16	0.0502
221	0.443	0.244	0.16	0.0502
222	0.443	0.245	0.161	0.0502
223	0.444	0.245	0.16	0.0503
224	0.443	0.245	0.16	0.0502
225	0.443	0.245	0.16	0.0502
226	0.444	0.245	0.16	0.0502
227	0.443	0.245	0.16	0.0503
228	0.443	0.245	0.161	0.0502
229	0.444	0.245	0.161	0.0501
230	0.443	0.245	0.16	0.0502
231	0.443	0.245	0.161	0.0502
232	0.444	0.245	0.16	0.0502
233	0.443	0.245	0.16	0.0503
234	0.443	0.245	0.16	0.0503
235	0.444	0.245	0.16	0.0502
236	0.443	0.245	0.16	0.0502
237	0.443	0.245	0.16	0.0502
238	0.444	0.245	0.16	0.0503
239	0.443	0.245	0.16	0.0503
240	0.444	0.245	0.16	0.0503
241	0.444	0.245	0.16	0.0502
242	0.443	0.245	0.16	0.0501
243	0.443	0.245	0.16	0.0502
244	0.444	0.245	0.16	0.0501
245	0.444	0.245	0.16	0.0501
246	0.444	0.245	0.16	0.0501
247	0.445	0.245	0.16	0.0501
248	0.444	0.245	0.16	0.0502
249	0.444	0.245	0.16	0.0501
250	0.445	0.245	0.16	0.0502
251	0.443	0.245	0.16	0.0502
252	0.444	0.246	0.16	0.0502
253	0.445	0.245	0.16	0.0501
254	0.444	0.245	0.16	0.0502
255	0.443	0.245	0.16	0.0502
256	0.444	0.245	0.16	0.0501
257	0.443	0.245	0.16	0.0501
258	0.444	0.245	0.16	0.05
259	0.444	0.245	0.16	0.05
260	0.444	0.245	0.16	0.05
261	0.444	0.245	0.16	0.05
262	0.445	0.245	0.16	0.05
263	0.444	0.245	0.16	0.0501
264	0.444	0.245	0.16	0.0501
265	0.445	0.245	0.16	0.05
266	0.443	0.245	0.16	0.05
267	0.444	0.245	0.16	0.0499
268	0.445	0.245	0.16	0.0499
269	0.444	0.245	0.16	0.0499
270	0.444	0.245	0.16	0.0499
271	0.445	0.245	0.16	0.0499
272	0.444	0.245	0.16	0.0499
273	0.444	0.245	0.16	0.0498
274	0.445	0.245	0.16	0.0498
275	0.443	0.245	0.16	0.0498
276	0.443	0.245	0.16	0.0498
277	0.444	0.245	0.16	0.0498
278	0.443	0.245	0.16	0.0499
279	0.443	0.245	0.16	0.0499
280	0.444	0.245	0.16	0.0498
281	0.444	0.245	0.16	0.0499
282	0.444	0.245	0.16	0.0499
283	0.445	0.245	0.16	0.0498
284	0.444	0.245	0.16	0.0498
285	0.444	0.245	0.16	0.0498
286	0.445	0.245	0.16	0.0497
