Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
3	0.00963	0.677	0.487	0.291
4	0.0216	0.688	0.462	0.274
5	0.0251	0.661	0.459	0.248
6	0.0222	0.635	0.47	0.235
7	0.0187	0.62	0.47	0.222
8	0.0184	0.616	0.472	0.215
9	0.0188	0.613	0.471	0.209
10	0.0184	0.609	0.47	0.203
11	0.02	0.608	0.468	0.198
12	0.0214	0.606	0.465	0.194
13	0.0225	0.605	0.463	0.191
14	0.0237	0.602	0.461	0.189
15	0.0252	0.603	0.458	0.186
16	0.0245	0.602	0.456	0.184
17	0.0234	0.601	0.453	0.182
18	0.0252	0.6	0.452	0.181
19	0.0261	0.599	0.45	0.18
20	0.0261	0.599	0.448	0.179
21	0.0255	0.599	0.445	0.178
22	0.0254	0.598	0.443	0.177
23	0.0249	0.599	0.44	0.177
24	0.0252	0.598	0.439	0.176
25	0.0246	0.597	0.437	0.174
26	0.0244	0.598	0.436	0.175
27	0.0242	0.598	0.434	0.174
28	0.0245	0.599	0.431	0.174
29	0.0244	0.598	0.43	0.173
30	0.0248	0.598	0.428	0.173
31	0.0254	0.599	0.426	0.173
32	0.026	0.599	0.425	0.172
33	0.026	0.599	0.424	0.172
34	0.0253	0.6	0.422	0.172
35	0.0254	0.6	0.42	0.172
36	0.0263	0.6	0.42	0.171
37	0.0261	0.6	0.418	0.17
38	0.0252	0.6	0.417	0.17
39	0.025	0.6	0.416	0.17
40	0.0242	0.6	0.414	0.17
41	0.0249	0.6	0.413	0.17
42	0.025	0.6	0.412	0.17
43	0.025	0.6	0.412	0.17
44	0.0254	0.602	0.41	0.17
45	0.0261	0.601	0.409	0.17
46	0.0262	0.601	0.408	0.169
47	0.0253	0.602	0.407	0.169
48	0.0253	0.602	0.405	0.168
49	0.0254	0.601	0.404	0.168
50	0.025	0.601	0.404	0.168
51	0.0241	0.6	0.404	0.167
52	0.0244	0.601	0.403	0.167
53	0.0246	0.602	0.402	0.168
54	0.0247	0.602	0.401	0.168
55	0.0251	0.602	0.4	0.168
56	0.0253	0.602	0.399	0.168
57	0.0251	0.603	0.398	0.168
58	0.0248	0.603	0.397	0.168
59	0.0243	0.603	0.397	0.167
60	0.0242	0.603	0.397	0.168
61	0.024	0.603	0.396	0.168
