Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
172	0.0139	0.483	0.665	0.243
173	0.0138	0.482	0.666	0.243
174	0.0139	0.482	0.665	0.243
175	0.0138	0.482	0.665	0.243
176	0.0138	0.482	0.666	0.243
177	0.0136	0.482	0.666	0.243
178	0.0137	0.482	0.666	0.243
179	0.014	0.481	0.666	0.243
180	0.0132	0.482	0.666	0.243
181	0.0131	0.482	0.667	0.243
182	0.0129	0.481	0.667	0.243
183	0.0135	0.481	0.667	0.243
184	0.014	0.481	0.667	0.243
185	0.0146	0.481	0.668	0.243
186	0.0145	0.481	0.667	0.243
187	0.0146	0.481	0.667	0.243
188	0.0146	0.481	0.667	0.243
189	0.0149	0.481	0.667	0.243
190	0.0145	0.481	0.668	0.243
191	0.0141	0.481	0.668	0.243
192	0.0143	0.48	0.668	0.243
193	0.0148	0.48	0.668	0.243
194	0.0152	0.48	0.669	0.243
195	0.0152	0.479	0.669	0.243
196	0.0154	0.48	0.669	0.243
197	0.0155	0.48	0.669	0.243
198	0.0155	0.479	0.67	0.243
199	0.0156	0.479	0.669	0.243
200	0.0156	0.479	0.669	0.243
201	0.0156	0.479	0.669	0.243
202	0.0162	0.48	0.669	0.243
203	0.0159	0.479	0.669	0.243
204	0.0158	0.479	0.67	0.243
205	0.0157	0.48	0.67	0.243
206	0.0158	0.479	0.67	0.243
207	0.0156	0.478	0.671	0.243
208	0.0157	0.478	0.671	0.243
209	0.0159	0.478	0.671	0.243
210	0.0158	0.478	0.671	0.242
211	0.0156	0.478	0.671	0.243
212	0.0158	0.478	0.671	0.243
213	0.0155	0.477	0.672	0.243
214	0.0157	0.478	0.672	0.243
215	0.0158	0.478	0.672	0.243
216	0.0154	0.477	0.672	0.243
217	0.016	0.477	0.672	0.243
218	0.016	0.477	0.673	0.243
219	0.0158	0.477	0.673	0.243
220	0.0162	0.477	0.672	0.243
221	0.0158	0.477	0.673	0.243
222	0.0157	0.477	0.673	0.242
223	0.0162	0.477	0.673	0.243
224	0.0159	0.477	0.673	0.243
225	0.0153	0.476	0.674	0.242
226	0.0151	0.477	0.674	0.243
227	0.0156	0.476	0.674	0.243
228	0.0154	0.476	0.675	0.242
229	0.0156	0.475	0.675	0.242
230	0.0156	0.476	0.675	0.242
231	0.0161	0.476	0.675	0.242
232	0.0159	0.476	0.675	0.243
233	0.0158	0.475	0.675	0.242
234	0.0157	0.475	0.675	0.242
235	0.0162	0.475	0.675	0.243
236	0.0159	0.475	0.675	0.243
237	0.0159	0.475	0.675	0.243
238	0.0158	0.475	0.675	0.243
239	0.0161	0.475	0.675	0.243
240	0.016	0.474	0.676	0.242
241	0.0158	0.474	0.676	0.242
242	0.0163	0.474	0.676	0.242
