키,업종,상호,주소,도로명주소,행정 시,행정 구,행정 동,객실수,비고
BE_LiST20-0013,외국인관광도시민박업,와이 게스트 하우스(Y Guest House),,서울특별시 종로구 창덕궁3길 47-5 (원서동),서울특별시,종로구,가회동,2,
BE_LiST20-0014,외국인관광도시민박업,리리하우스(LI LI HOUSE),,서울특별시 종로구 율곡로13가길 18-4 (연건동),서울특별시,종로구,이화동,3,
BE_LiST20-0015,외국인관광도시민박업,삼청동 코리아 게스트하우스,,"서울특별시 종로구 삼청로4길 12-1, 4층 (화동)",서울특별시,종로구,삼청동,3,
BE_LiST20-0016,외국인관광도시민박업,아하 하우스(AHA HOUSE),,서울특별시 종로구 진흥로22나길 28-7 (구기동),서울특별시,종로구,평창동,2,
BE_LiST20-0017,외국인관광도시민박업,누이 게스트하우스(Nuit Guesthouse),,"서울특별시 종로구 옥인길 32-3, 101호 (옥인동)",서울특별시,종로구,청운효자동,1,
BE_LiST20-0018,외국인관광도시민박업,카사 자밀라(Casa Jamila),,서울특별시 종로구 사직로9길 6 (필운동),서울특별시,종로구,사직동,2,
BE_LiST20-0019,외국인관광도시민박업,서촌비앤비(Seochon B&B SRAN),,"서울특별시 종로구 옥인길 32-2, 2층 (옥인동)",서울특별시,종로구,청운효자동,2,
BE_LiST20-0020,외국인관광도시민박업,프리미엄 게스트하우스,,서울특별시 종로구 자하문로13길 4 (통인동),서울특별시,종로구,청운효자동,9,
BE_LiST20-0021,외국인관광도시민박업,에이 하우스(A☆House),,"서울특별시 종로구 팔판길 32 (팔판동, 2층, 3층)",서울특별시,종로구,삼청동,4,
BE_LiST20-0022,외국인관광도시민박업,예하도예 게스트하우스(YEHADOYE guesthouse),,"서울특별시 종로구 인사동12길 10, 4.5층 (관훈동)",서울특별시,종로구,종로1.2.3.4가동,7,
BE_LiST20-0023,외국인관광도시민박업,비하우스(B-House),,서울특별시 종로구 창신길 80-5 (창신동),서울특별시,종로구,창신2동,1,
BE_LiST20-0024,외국인관광도시민박업,숨바꼭질(Hide & Seek),,서울특별시 종로구 자하문로6길 14 (통의동),서울특별시,종로구,사직동,5,
BE_LiST20-0025,외국인관광도시민박업,예인하우스(Yein House),,서울특별시 종로구 자하문로 97-13 (신교동),서울특별시,종로구,청운효자동,8,
BE_LiST20-0026,외국인관광도시민박업,서울 게스트하우스,,서울특별시 종로구 종로16길 31-8 (관수동),서울특별시,종로구,종로1.2.3.4가동,4,
BE_LiST20-0027,외국인관광도시민박업,윈드로드 앤 플라워 게스트하우스(Windroad & Flower Guesthouse,,"서울특별시 종로구 창경궁로27길 66-12, 201호 (명륜3가)",서울특별시,종로구,혜화동,1,
BE_LiST20-0028,외국인관광도시민박업,하얀 토끼 게스트하우스(White Rabbit Guesthouse),,서울특별시 종로구 혜화로6가길 14 (혜화동),서울특별시,종로구,혜화동,3,
BE_LiST20-0029,외국인관광도시민박업,봉 백팩커스(Bong Backpackers),,서울특별시 종로구 창경궁로 243-3 (명륜2가),서울특별시,종로구,혜화동,5,
BE_LiST20-0030,외국인관광도시민박업,더 프레젠트 게스트하우스(The Present Guesthouse),,서울특별시 종로구 대학로14길 24 (혜화동),서울특별시,종로구,혜화동,3,
BE_LiST20-0031,외국인관광도시민박업,루디아 공예 게스트하우스(Lydia craft Guesthouse),,서울특별시 종로구 사직로9가길 25-6 (필운동),서울특별시,종로구,사직동,2,
BE_LiST20-0032,외국인관광도시민박업,뿡갈로(BBUNGALOW),,"서울특별시 종로구 경희궁길 47-1, 2층 (신문로2가)",서울특별시,종로구,사직동,1,
BE_LiST20-0033,외국인관광도시민박업,광화문게스트하우스 궁,,"서울특별시 종로구 경희궁1길 27, 2.3층 (신문로2가)",서울특별시,종로구,사직동,5,
BE_LiST20-0034,외국인관광도시민박업,부엉이 게스트하우스(OWL Guesthouse),,"서울특별시 종로구 종로65길 20-6, 202호 (숭인동)",서울특별시,종로구,숭인2동,1,
BE_LiST20-0035,외국인관광도시민박업,봄 하우스(Pom House),,"서울특별시 종로구 자하문로5가길 37, 2층 (체부동)",서울특별시,종로구,사직동,3,
BE_LiST20-0036,외국인관광도시민박업,제이하우스(J House),,"서울특별시 종로구 자하문로10길 28-4, 301호 (통의동)",서울특별시,종로구,사직동,2,
BE_LiST20-0037,외국인관광도시민박업,우 게스트하우스(Woo Guesthouse),,"서울특별시 종로구 삼청로 22, 5층 (사간동)",서울특별시,종로구,삼청동,2,
BE_LiST20-0038,외국인관광도시민박업,서촌 168 B&B(CHANG YEUN HO),,"서울특별시 종로구 자하문로23길 6, 101호 (신교동)",서울특별시,종로구,청운효자동,2,
BE_LiST20-0039,외국인관광도시민박업,88 게스트하우스(Eighty Eight Guest House),,서울특별시 종로구 삼청로 75-9 (팔판동),서울특별시,종로구,삼청동,5,
BE_LiST20-0040,외국인관광도시민박업,게스트하우스 더 김스(Guesthouse The Kims),,서울특별시 종로구 백석동1길 13 (부암동),서울특별시,종로구,부암동,2,
BE_LiST20-0041,외국인관광도시민박업,게스트 제이 하우스(Guest J House),,서울특별시 종로구 창경궁로35길 42-10 (혜화동),서울특별시,종로구,혜화동,6,
BE_LiST20-0042,외국인관광도시민박업,한스하우스(Hans house),,서울특별시 종로구 자하문로1다길 20 (체부동),서울특별시,종로구,사직동,3,
BE_LiST20-0043,외국인관광도시민박업,프랜드인서울(Friend in Seoul),,"서울특별시 종로구 자하문로7길 28-5, 1층 (통인동)",서울특별시,종로구,청운효자동,1,
BE_LiST20-0044,외국인관광도시민박업,물댄동산(A well watered garden),,"서울특별시 종로구 평창25길 27, 1층 (평창동)",서울특별시,종로구,평창동,4,
BE_LiST20-0351,외국인관광도시민박업,디에이치게스트하우스,,서울특별시 마포구 고산길 63 (노고산동),서울특별시,마포구,대흥동,2,
BE_LiST20-0352,외국인관광도시민박업,하늘자전거 게스트 하우스,,서울특별시 마포구 백범로15길 7 (대흥동),서울특별시,마포구,대흥동,3,
BE_LiST20-0353,외국인관광도시민박업,Local Stitch,,"서울특별시 마포구 잔다리로 70, 3층 (서교동)",서울특별시,마포구,서교동,3,
BE_LiST20-0354,외국인관광도시민박업,우와 게스트하우스,,"서울특별시 마포구 월드컵북로6길 96, 2층 (동교동)",서울특별시,마포구,서교동,5,
BE_LiST20-0355,외국인관광도시민박업,HaTo,,서울특별시 마포구 연희로1길 63 (연남동),서울특별시,마포구,연남동,5,
BE_LiST20-0356,외국인관광도시민박업,RO&JO HOUSE,,서울특별시 마포구 성미산로29길 35-13 (연남동),서울특별시,마포구,연남동,4,
BE_LiST20-0357,외국인관광도시민박업,나누 게스트하우스,,"서울특별시 마포구 와우산로 156, 5층 (서교동)",서울특별시,마포구,서교동,3,
BE_LiST20-0358,외국인관광도시민박업,AVO,,"서울특별시 마포구 와우산로15길 14, 2,3층 (서교동)",서울특별시,마포구,서교동,7,
BE_LiST20-0359,외국인관광도시민박업,G.O.D 게스트하우스,,서울특별시 마포구 성미산로1길 14 (성산동),서울특별시,마포구,성산1동,8,
BE_LiST20-0360,외국인관광도시민박업,Happy tree guesthouse,,"서울특별시 마포구 와우산로29다길 15, 201호 (서교동)",서울특별시,마포구,서교동,3,
BE_LiST20-0361,외국인관광도시민박업,파티오59,,"서울특별시 마포구 동교로 125, 3층 (서교동)",서울특별시,마포구,서교동,4,
BE_LiST20-0362,외국인관광도시민박업,서울아이 게스트하우스(Seoul i Guesthouse),,서울특별시 마포구 양화로23길 10-14 (동교동),서울특별시,마포구,서교동,10,
BE_LiST20-0363,외국인관광도시민박업,워니즈 디자인 게스트하우스,,"서울특별시 마포구 동교로27길 44-11, 1층,지층 (연남동)",서울특별시,마포구,연남동,5,
BE_LiST20-0364,외국인관광도시민박업,유자 게스트하우스,,"서울특별시 마포구 독막로3길 52, 2층 (서교동)",서울특별시,마포구,서교동,4,
BE_LiST20-0365,외국인관광도시민박업,문 게스트하우스,,"서울특별시 마포구 동교로30길 9, 3층 (동교동)",서울특별시,마포구,서교동,3,
BE_LiST20-0366,외국인관광도시민박업,Dream Comfort,,서울특별시 마포구 동교로27길 3-16 (동교동),서울특별시,마포구,서교동,6,
BE_LiST20-0367,외국인관광도시민박업,어반우드,,"서울특별시 마포구 와우산로29마길 5, 3층 (서교동)",서울특별시,마포구,서교동,3,
