,300,,,,,,,,,,,,,,500,,,,,,,,,,,,,,1000,,,,,,,,,,,,,
,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
독립문,12732,4703,441,403,4,4,5,22,17,0,0,7,0,3,22475,8757,7804,886,5,13,11,48,42,3,0,9,0,5,,,,,,,,,,,,,,
무악재,11680,4398,3985,410,3,0,1,20,11,0,0,3,0,0,19661,7517,6730,671,4,1,4,39,16,0,0,4,0,0,,,,,,,,,,,,,,
홍제,12678,5314,3603,1477,5,4,18,90,15,1,0,8,0,0,28857,11505,8376,2281,9,5,23,132,35,1,0,13,0,0,,,,,,,,,,,,,,
녹번,8760,3712,2933,567,2,1,7,25,7,1,0,5,0,1,18899,7499,6025,823,6,4,7,45,19,2,0,7,0,1,,,,,,,,,,,,,,
불광,12153,5824,4440,1824,1,6,34,110,21,2,1,11,2,0,30854,13502,10240,2409,3,8,38,138,29,2,1,16,3,0,,,,,,,,,,,,,,
연신내,13019,6249,3863,2158,3,3,55,123,18,1,0,22,2,0,35275,15280,10112,3065,11,5,59,165,37,1,0,33,2,1,,,,,,,,,,,,,,
구파발,3941,1701,1718,153,8,4,2,19,22,2,0,3,0,0,12261,4261,4279,257,9,4,4,28,25,2,0,5,0,0,,,,,,,,,,,,,,
지축,244,114,69,34,0,1,0,0,10,0,0,0,0,0,2352,796,690,116,1,1,0,4,20,0,0,0,0,0,,,,,,,,,,,,,,
삼송,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원흥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원당,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마두,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정발산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주엽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
