호선,역,인구_100,가구_100,주택_100,사업체수_100,교육시설_100,공공기관_100,금융시설_100,의료시설_100,대중교통_100,방범.방재_100,백화점.중대형마트_100,편의점_100,극장.영화관_100,도서관.박물관_100,인구_300,가구_300,주택_300,사업체수_300,교육시설_300,공공기관_300,금융시설_300,의료시설_300,대중교통_300,방범.방재_300,백화점.중대형마트_300,편의점_300,극장.영화관_300,도서관.박물관_300,인구_500,가구_500,주택_500,사업체수_500,교육시설_500,공공기관_500,금융시설_500,의료시설_500,대중교통_500,방범.방재_500,백화점.중대형마트_500,편의점_500,극장.영화관_500,도서관.박물관_500
2,잠실나루,2674,881,883,200,2,0,4,22,2,0,0,3,0,0,14913,5016,5052,784,5,2,11,58,7,0,0,7,0,0,28917,9522,9593,1629,7,3,102,95,21,0,0,14,0,0
2,강변,87,41,26,1321,0,1,17,24,15,0,1,7,1,0,7592,2716,2515,1589,1,1,19,37,16,0,1,12,1,0,22192,7918,7512,2203,7,6,30,63,27,0,1,14,1,1
2,구의,1915,933,374,645,0,3,11,19,5,0,0,6,0,0,11308,5714,3205,1627,0,5,24,71,10,0,0,15,0,1,30451,14253,7915,2870,12,7,37,107,18,0,0,29,0,1
2,건대입구,3154,2043,690,989,0,1,7,50,7,0,0,14,0,0,12199,6210,1946,2059,15,3,23,78,9,0,2,27,2,2,33265,16623,6989,3106,18,3,29,107,20,0,7,38,3,2
2,성수,1448,666,355,1128,0,2,9,16,4,0,0,10,0,0,8760,3880,2687,4633,2,8,32,41,28,3,1,27,0,0,14622,6338,4437,5658,5,9,37,51,36,3,1,34,0,0
2,뚝섬,2855,1298,650,938,1,0,9,16,6,0,0,6,0,0,13384,5734,3693,2867,3,3,22,49,18,1,0,21,0,0,23701,10335,6524,4294,7,5,27,69,26,1,0,33,0,1
2,한양대,1851,451,101,212,16,1,3,3,5,0,0,6,0,0,4650,1985,942,619,16,2,5,6,10,1,0,13,1,0,10440,5252,2672,1826,21,7,12,20,23,3,1,26,2,0
2,왕십리,1099,577,509,488,0,5,3,6,7,2,1,7,1,0,11829,6219,3350,2071,2,8,37,77,15,3,1,23,1,2,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3
2,상왕십리,2424,1262,860,305,1,0,2,3,9,0,0,3,0,0,12224,5682,3249,1415,2,4,28,60,17,2,0,8,0,1,31343,13087,9193,2389,8,8,35,107,27,3,0,20,0,2
2,신당,2799,1374,766,1138,0,4,11,31,3,2,0,5,0,1,11836,5779,3764,14447,8,11,47,86,15,8,0,30,2,2,23071,10663,7466,15356,9,14,53,106,26,8,0,34,2,4
2,동대문역사문화공원,924,486,421,5447,0,3,66,26,13,0,0,12,2,0,4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,1,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1
2,을지로4가,1803,1227,852,10188,1,3,62,31,15,1,0,16,2,0,1899,1294,912,14138,1,3,75,4,24,1,0,17,2,1,5224,3037,2343,27738,3,11,207,113,48,6,0,56,3,1
2,을지로3가,202,148,92,2921,2,2,59,20,3,1,0,17,0,0,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4,4843,2798,1991,25600,4,25,560,258,64,10,0,105,14,10
2,을지로입구,919,349,250,7938,0,22,573,177,47,4,4,58,9,3,919,349,250,7938,2,22,573,177,47,4,4,58,9,3,3386,1921,1650,23387,10,46,854,332,94,29,6,124,13,29
2,시청,796,422,398,4964,7,19,334,78,40,4,5,37,5,5,804,428,410,5732,7,20,423,103,44,4,5,43,5,5,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13
3,오금,2170,818,527,318,3,4,1,8,6,2,0,2,0,1,7408,2807,2152,794,4,5,6,22,11,2,0,7,0,1,21904,7976,6257,1769,10,7,8,52,21,4,0,16,0,1
3,경찰병원,2161,869,658,210,0,1,4,4,2,1,0,5,0,0,17772,6856,5709,2129,0,5,40,47,12,1,0,14,0,0,31394,11834,9614,3702,9,7,51,103,28,2,0,25,0,1
3,가락시장,2243,1026,870,4495,0,2,43,57,11,1,1,8,0,0,6137,2451,2222,4706,0,2,45,61,12,1,1,9,0,0,21445,8033,7295,7435,2,7,72,89,29,2,3,28,2,1
3,수서,899,507,483,1226,1,3,14,34,15,1,0,7,0,0,9354,4341,4239,1363,6,3,14,44,17,1,0,9,0,1,14632,6881,6703,1485,7,3,19,48,22,1,0,11,0,1
3,일원,2286,702,702,37,0,0,1,1,5,0,0,1,0,0,13122,4282,4188,287,7,3,5,24,19,1,0,4,0,1,19616,6432,6080,337,8,3,5,31,20,1,0,5,0,1
3,대청,2087,871,783,345,3,3,4,27,7,1,0,4,0,1,10385,3792,3256,795,5,3,7,57,9,1,0,6,0,1,25371,10030,8321,1134,8,3,9,71,12,1,0,9,0,1
3,학여울,3227,1031,1034,47,0,0,0,2,2,0,0,2,0,0,10829,3419,3420,184,0,0,3,8,7,0,0,6,0,0,27717,9669,9700,763,5,6,13,48,15,1,0,12,1,1
3,대치,1571,474,471,1013,1,5,22,80,7,1,0,5,1,1,13370,4050,4051,1211,2,5,24,88,10,1,0,7,1,1,33711,10295,10269,1716,7,7,34,122,14,2,0,12,1,2
3,도곡,3233,1039,1042,106,4,0,5,6,7,0,0,3,0,0,13739,4503,4522,700,5,4,38,58,14,1,0,8,0,0,33503,10870,10804,1446,15,5,62,102,22,1,0,16,0,2
3,매봉,3734,1393,1264,375,1,1,3,10,5,1,0,6,0,0,9277,3513,3170,981,4,3,11,25,12,1,0,12,0,0,19475,7017,6631,1915,9,5,53,62,16,2,0,19,0,1
3,양재,2426,1154,951,1237,2,3,25,77,21,0,0,11,0,0,7286,3550,2342,2473,6,6,49,125,29,0,0,22,0,0,14329,6372,4527,3892,6,7,78,150,38,0,0,32,1,0
3,남부터미널,2997,1650,1404,2282,1,3,45,50,13,1,0,15,0,1,11243,4982,4458,3724,3,3,76,67,24,1,0,28,2,2,18848,7904,6545,5405,11,6,109,100,34,2,0,43,6,3
3,교대,1937,1081,678,3718,0,8,90,144,21,1,0,17,0,0,6129,2589,1760,4561,3,9,112,173,22,1,0,24,1,0,18301,6875,5678,5948,4,10,158,197,30,1,0,35,1,0
3,고속터미널,0,0,3,1901,0,2,4,3,11,1,1,12,1,0,7106,2378,2341,3146,3,5,36,106,22,1,2,19,1,0,22334,7271,7206,3504,5,7,57,130,29,1,2,27,1,1
3,잠원,2410,896,882,203,0,2,3,12,4,1,0,1,0,0,13590,4981,4960,277,4,2,3,26,8,1,0,1,0,0,28617,10585,9875,1756,7,3,19,126,18,1,1,10,0,0
3,신사,2205,1242,638,1994,0,1,42,153,8,0,0,19,3,1,6854,3602,2256,3566,0,2,65,196,16,0,0,32,3,1,17893,8425,5438,6089,1,3,75,242,22,0,1,46,4,1
3,압구정,2396,935,835,2140,0,2,56,374,9,0,0,19,3,0,6593,2418,2329,2204,1,2,57,374,9,0,1,19,3,1,15954,6126,5422,3973,8,4,82,508,17,0,1,37,3,2
3,옥수,3011,1161,890,394,3,0,4,19,8,0,0,3,0,0,10796,4120,3862,432,4,0,4,24,9,0,0,4,0,0,24637,9743,9276,851,10,3,10,48,32,1,0,5,0,0
3,금호,3697,1498,1093,265,0,0,2,20,8,0,0,4,0,0,12808,5041,4264,454,3,2,3,30,24,1,0,5,0,0,35246,14124,11942,1812,11,6,16,118,46,3,0,17,0,0
3,약수,2645,1249,848,994,1,3,8,53,12,1,0,11,0,1,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,1,30645,12924,10171,2522,13,7,22,105,26,2,1,20,1,3
3,동대입구,1450,757,611,455,0,2,8,7,9,1,1,4,2,1,5811,2540,1755,988,12,3,11,9,12,1,1,10,2,1,15735,7211,5023,2716,15,5,24,70,18,1,1,23,2,3
3,충무로,1636,1001,577,4379,1,6,61,33,8,2,0,16,3,1,3343,1927,1259,9077,3,9,122,60,13,4,0,37,5,1,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,2
3,을지로3가,202,148,92,2921,2,2,59,20,3,1,0,17,0,0,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4,4843,2798,1991,25600,6,25,560,258,64,10,0,105,14,10
3,종로3가,739,474,413,4059,0,8,109,82,29,5,0,32,4,5,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25
3,안국,1928,942,725,1006,9,5,14,22,16,2,0,6,2,10,3854,1920,1479,3610,12,12,81,60,31,3,0,27,2,31,7003,3633,2930,9378,14,25,164,120,48,7,0,46,6,37
3,경복궁,2578,1201,1000,2604,1,19,92,77,22,4,1,19,2,8,5097,2319,2021,5087,1,24,160,120,37,4,1,34,2,23,10491,4699,4158,7173,6,39,228,166,46,8,1,51,3,27
3,독립문,2676,1120,1013,306,2,4,4,16,13,0,0,5,0,3,12732,4703,441,403,4,4,5,22,17,0,0,7,0,3,22475,8757,7804,886,5,13,11,48,42,3,0,9,0,5
3,무악재,4099,1469,1358,235,0,0,1,12,3,0,0,2,0,0,11680,4398,3985,410,3,0,1,20,11,0,0,3,0,0,19661,7517,6730,671,4,1,4,39,16,0,0,4,0,0
3,홍제,3055,1405,797,505,3,2,8,36,8,1,0,5,0,0,12678,5314,3603,1477,5,4,18,90,15,1,0,8,0,0,28857,11505,8376,2281,9,5,23,132,35,1,0,13,0,0
3,녹번,2593,1108,782,213,2,1,2,9,4,1,0,2,0,1,8760,3712,2933,567,2,1,7,25,7,1,0,5,0,1,18899,7499,6025,823,6,4,7,45,19,2,0,7,0,1
3,불광,1843,979,692,893,0,0,9,41,9,0,1,5,2,0,12153,5824,4440,1824,1,6,34,110,21,2,1,11,2,0,30854,13502,10240,2409,3,8,38,138,29,2,1,16,3,0
3,연신내,2618,1379,953,1074,1,1,36,66,8,1,0,10,0,0,13019,6249,3863,2158,3,3,55,123,18,1,0,22,2,0,35275,15280,10112,3065,11,5,59,165,37,1,0,33,2,1
3,구파발,642,14,11,79,7,4,1,10,16,2,0,2,0,0,3941,1701,1718,153,8,4,2,19,22,2,0,3,0,0,12261,4261,4279,257,9,4,4,28,25,2,0,5,0,0
4,당고개,3750,1515,1057,232,2,0,0,9,2,0,0,4,0,0,13718,5715,4308,645,5,1,2,28,6,1,0,6,0,0,23299,9372,7544,994,6,3,3,41,11,1,0,8,0,0
4,상계,3767,1521,1387,543,0,0,5,22,4,0,0,5,0,0,19085,7202,5615,1412,3,1,13,80,10,0,0,12,0,2,44273,17244,12960,2419,7,6,17,114,20,2,0,20,0,2
4,노원,1553,640,474,1352,0,0,12,57,10,0,1,10,1,0,12095,4864,4271,2461,0,5,90,193,24,0,0,23,0,0,29133,11729,10191,3236,10,11,131,251,35,0,0,32,0,0
4,창동,2706,1173,1084,1035,2,4,31,62,9,0,1,15,0,0,10960,2067,3882,1418,3,7,39,84,16,0,2,17,0,0,31842,11137,10889,1721,6,9,41,117,19,2,2,18,0,0
4,쌍문,3435,1716,1030,551,1,0,8,40,5,0,0,6,0,0,15442,7117,4070,1313,3,0,10,73,19,0,0,14,0,0,40154,16610,11460,2134,14,6,16,114,37,2,0,26,0,1
4,수유,1611,909,708,927,0,2,80,69,13,1,0,12,0,0,13359,6887,3589,2377,0,7,122,113,28,1,0,39,0,0,33224,16069,9146,3956,3,9,135,159,37,3,0,51,1,0
4,미아,2021,852,463,355,2,3,13,22,8,1,0,5,0,1,12852,5407,3009,1413,6,9,28,59,21,3,0,12,0,2,31354,13095,8241,2588,8,11,32,113,28,4,0,19,0,4
4,미아사거리,1492,805,269,676,3,1,10,38,10,1,1,4,1,0,10155,4862,2257,1442,3,3,15,66,20,2,2,11,1,0,26917,11698,6789,2907,14,10,25,129,42,4,3,21,1,2
4,길음,3574,1362,1231,467,0,2,3,29,12,1,0,1,0,0,13457,5246,2796,942,2,2,10,50,18,1,0,4,0,0,39753,15127,13287,2106,6,10,17,116,40,5,2,15,0,1
4,성신여대입구,3619,2143,1338,1024,2,6,14,72,12,2,0,7,2,0,9741,5122,3211,2083,2,6,26,109,18,2,0,15,2,0,31939,14862,9632,3146,15,8,38,152,30,2,0,36,2,0
4,한성대입구,2350,1270,697,466,0,1,6,33,11,0,0,7,0,0,11852,5499,2980,1188,9,4,12,60,29,2,0,16,3,2,26147,11631,7292,2097,14,7,16,100,44,2,0,26,23,7
4,혜화,2676,1035,556,1231,9,3,14,26,20,0,0,12,48,5,7011,3434,1898,1664,9,7,16,41,23,1,0,15,55,8,15785,7485,4863,2347,12,12,20,64,39,3,0,25,62,10
4,동대문,1488,752,453,964,0,0,11,10,6,0,0,6,0,0,7802,3836,2467,23756,6,14,86,138,33,6,0,34,4,1,18314,8526,5923,25707,12,16,96,171,45,8,0,46,4,2
4,동대문역사문화공원,924,486,421,5447,0,3,66,26,13,0,0,12,2,0,4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,0,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1
4,충무로,1636,1001,577,4379,1,6,61,33,8,2,0,16,3,1,3343,1927,1259,9077,3,9,122,60,13,4,0,37,5,0,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,2
4,명동,1105,420,267,4020,3,7,266,119,18,0,0,33,6,0,2795,1308,827,7186,11,14,319,145,23,5,0,53,10,0,5093,2455,1779,17360,11,19,463,201,45,8,5,72,11,2
4,회현,523,284,211,8051,0,3,61,32,8,1,1,5,0,0,8153,2056,1600,11434,0,8,229,79,34,3,5,31,1,0,8153,3997,3008,16896,4,18,632,238,63,5,5,76,7,3
4,서울역,915,603,358,848,0,1,25,36,11,0,0,18,0,0,5119,2980,2147,1582,0,4,93,50,24,2,0,27,1,0,17824,8943,6175,3850,2,12,205,102,37,3,0,47,0,2
4,숙대입구 ,1821,1144,618,1277,0,2,29,41,14,0,0,21,0,1,7355,3851,2068,1786,5,4,33,50,23,1,0,24,0,1,16371,8106,4583,2432,10,6,61,67,32,2,0,39,0,1
4,삼각지,2051,1089,879,826,1,6,15,15,11,1,0,6,0,1,5967,3178,2833,3804,1,13,44,43,27,1,1,18,1,2,11084,5320,5031,4179,3,13,45,52,32,1,1,24,1,2
4,신용산,1200,616,497,2923,0,10,27,25,22,2,3,11,2,0,3456,1866,1607,3594,1,14,41,39,26,3,3,16,2,1,7538,3871,3565,4471,3,17,53,45,32,4,3,23,2,1
4,이촌,2741,1073,1065,450,3,5,8,17,6,0,0,5,0,0,9194,3435,3495,792,4,9,15,34,20,1,0,10,0,2,20575,7575,7880,1142,9,10,34,62,25,2,0,15,0,2
4,동작,1353,424,419,13,0,0,0,0,6,0,0,2,0,0,2831,897,889,94,0,0,0,1,6,0,0,2,0,0,3883,1276,1196,109,2,0,0,1,9,0,0,2,0,0
4,총신대입구,3537,1550,1046,1185,0,0,26,96,15,0,1,13,0,0,13862,6018,4108,2116,2,2,59,158,19,0,1,21,2,2,36068,14953,9818,3448,5,5,72,213,42,0,1,32,2,3
4,사당,2128,1095,742,1060,1,1,42,43,15,0,0,19,0,0,9542,4754,3028,2065,3,4,79,73,21,0,0,30,0,0,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1
4,남태령,979,400,274,13,0,0,0,0,3,0,0,1,0,0,2737,1088,681,142,1,0,0,8,9,0,0,3,0,0,4124,1644,1115,339,2,1,1,10,15,0,1,3,0,0
5,방화,3787,1953,1940,346,0,0,4,15,6,0,0,7,0,0,16573,6845,6377,654,7,5,5,44,17,2,0,11,0,2,25404,10156,9356,1233,12,6,9,79,27,2,0,12,0,3
