,300,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관,,,,,,,,,,,,,,
용두(동대문구청),9719,4464,3010,2026,0,9,19,36,11,3,1,8,0,3,22997,10222,6768,5617,8,13,60,134,34,3,1,15,1,3,,,,,,,,,,,,,,
신정네거리,14994,6609,3501,1166,0,3,10,68,10,1,0,9,0,0,36618,15170,9507,2001,9,5,12,107,24,1,0,17,0,1,,,,,,,,,,,,,,
양천구청,13416,4608,4488,437,3,1,2,30,9,1,0,3,0,0,30001,10558,10418,1181,7,7,12,75,21,2,0,12,0,0,,,,,,,,,,,,,,
도림천,6164,2284,2209,810,3,0,6,7,12,0,0,3,0,1,20317,6896,6787,1304,5,1,9,38,25,0,0,8,0,2,,,,,,,,,,,,,,
신설동,7792,4168,2991,3249,5,7,95,39,18,2,0,28,0,1,19542,9501,6463,5286,5,9,112,66,32,3,1,40,1,1,,,,,,,,,,,,,,
신답,10153,3948,3127,1312,3,1,16,24,19,0,0,8,0,0,24272,10105,7422,3035,6,4,26,53,28,0,0,15,0,2,,,,,,,,,,,,,,
용답,11777,5276,2042,555,5,2,4,23,5,1,0,8,0,0,2312,10209,4482,1585,22,6,26,57,17,2,0,18,0,1,,,,,,,,,,,,,,
충정로(경기대입구),12499,5577,4794,1862,6,11,84,44,27,6,0,19,1,1,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1,,,,,,,,,,,,,,
아현,9919,4371,3158,1137,7,3,16,50,25,0,0,5,0,1,27294,11391,8870,1798,15,4,25,75,34,1,0,10,0,1,,,,,,,,,,,,,,
이대,13865,8207,5040,2403,27,8,34,78,29,1,0,24,3,0,27448,14214,9397,3001,51,9,38,102,43,2,0,30,4,0,,,,,,,,,,,,,,
신촌,8798,5407,2984,2868,17,4,59,138,29,1,2,39,4,1,18591,11285,6704,3957,18,5,62,176,54,1,2,57,6,2,,,,,,,,,,,,,,
홍대입구,6982,3993,2187,4651,1,2,90,95,25,1,0,38,11,7,20503,11194,6291,6702,9,5,100,122,42,3,0,62,15,9,,,,,,,,,,,,,,
합정,8835,4185,3191,2574,2,4,47,56,13,3,1,29,5,0,19525,9115,6513,4544,3,5,73,79,27,4,1,51,9,1,,,,,,,,,,,,,,
당산,8936,24632,3864,1076,1,4,49,52,11,2,0,13,0,0,19053,8579,7260,2005,10,6,81,87,31,2,0,21,0,2,,,,,,,,,,,,,,
영등포구청,13052,5738,4127,2634,6,6,82,59,17,1,0,19,0,2,24757,10533,7789,4078,6,8,101,78,34,1,1,24,0,2,,,,,,,,,,,,,,
문래,14024,5258,4729,3728,5,5,74,65,28,1,1,19,1,2,21597,8748,7171,6109,5,7,92,79,39,1,1,27,1,2,,,,,,,,,,,,,,
신도림,9803,2096,3847,2956,2,2,76,54,13,0,3,21,2,0,28319,11272,10223,3915,3,3,85,5,26,0,3,38,2,0,,,,,,,,,,,,,,
대림(구로구청),11115,5140,3532,1414,3,3,27,51,10,1,0,14,0,0,31864,14728,10890,4628,9,10,79,138,29,3,0,31,0,2,,,,,,,,,,,,,,
구로디지털단지,11199,6057,3947,2950,3,5,86,56,28,1,1,23,0,0,22986,11838,7597,4570,3,6,109,84,37,1,2,36,0,0,,,,,,,,,,,,,,
신대방,11848,6092,2561,953,4,5,8,37,13,2,0,12,0,0,32218,15176,7565,2020,8,8,15,87,24,2,0,22,0,0,,,,,,,,,,,,,,
신림,13866,9184,4100,2370,0,2,26,95,16,1,1,32,1,0,37433,22352,9835,3404,3,9,31,128,29,3,1,48,1,1,,,,,,,,,,,,,,
봉천,16822,7945,4540,1387,4,4,16,71,8,1,0,11,1,2,36099,17434,10578,2486,8,6,28,124,20,1,0,23,1,2,,,,,,,,,,,,,,
서울대입구(관악구청),15499,9721,6324,2309,2,4,34,121,16,0,0,28,1,1,38830,22596,12628,3355,12,11,42,163,26,5,0,41,1,2,,,,,,,,,,,,,,
낙성대,18136,11331,3628,1192,6,3,14,65,13,1,0,20,0,0,33991,18956,7484,1893,8,8,16,104,30,4,0,26,0,3,,,,,,,,,,,,,,
사당,9542,4754,3028,2065,3,4,79,73,21,0,1,30,0,1,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1,,,,,,,,,,,,,,
방배,8571,3345,2706,1396,3,4,19,67,19,0,0,9,0,0,21825,8320,6618,2253,6,4,34,101,33,0,0,16,0,0,,,,,,,,,,,,,,
서초,3150,1322,994,2852,1,12,60,45,18,2,0,13,0,1,8904,3785,2890,4587,1,15,110,76,26,2,0,25,2,1,,,,,,,,,,,,,,
교대(법원.검찰청),6129,2589,1760,4561,3,9,112,173,22,1,0,24,1,0,18391,6875,5678,5948,4,10,158,197,30,1,0,35,1,0,,,,,,,,,,,,,,
강남,6984,3808,3380,4706,1,4,169,335,39,0,0,49,5,2,14520,7350,6211,7872,4,11,314,419,53,0,0,78,5,2,,,,,,,,,,,,,,
역삼,5841,3345,1906,4114,0,3,236,96,12,0,0,40,0,1,14329,8144,4879,6522,0,4,306,131,16,0,0,58,0,2,,,,,,,,,,,,,,
선릉,8905,4590,3713,4612,4,2,269,145,12,0,0,47,0,0,18675,9190,7333,6271,4,5,320,176,19,0,0,65,1,0,,,,,,,,,,,,,,
삼성(무역센터),1905,878,691,3696,3,6,165,95,28,3,2,28,3,1,4593,2130,1684,4761,5,7,206,113,33,4,2,45,4,1,,,,,,,,,,,,,,
종합운동장,2171,729,734,246,2,2,4,1,4,1,0,10,1,0,10966,3888,3857,1912,3,8,68,36,19,3,0,32,2,1,,,,,,,,,,,,,,
잠실새내,17816,6253,5448,1793,0,3,47,155,10,1,0,16,0,1,43532,15720,1373,2394,13,6,52,185,15,2,0,26,0,1,,,,,,,,,,,,,,
잠실(송파구청),5472,1883,1901,1456,0,2,99,45,19,0,6,17,1,0,13965,4833,4882,2446,5,7,112,88,24,1,6,20,1,0,,,,,,,,,,,,,,
잠실나루,14913,5016,5052,784,5,2,11,58,7,0,0,7,0,0,28917,9522,9593,1629,7,3,102,95,21,0,0,14,0,0,,,,,,,,,,,,,,
강변(동서울터미널),7592,2716,2515,1589,1,1,19,37,16,0,1,12,1,0,22192,7918,7512,2203,7,6,30,63,27,0,1,14,1,1,,,,,,,,,,,,,,
구의(광진구청),11308,5714,3205,1627,0,5,24,71,10,0,0,15,0,1,30451,14253,7915,2870,12,7,37,107,18,0,0,29,0,1,,,,,,,,,,,,,,
건대입구,12199,6210,1946,2059,15,3,23,78,9,0,2,27,2,2,33265,16623,6989,3106,18,3,29,107,20,0,7,38,3,2,,,,,,,,,,,,,,
성수,8760,3880,2687,4633,2,8,32,41,28,3,1,27,0,0,14622,6338,4437,5658,5,9,37,51,36,3,1,34,0,0,,,,,,,,,,,,,,
뚝섬,13384,5734,3693,2867,3,3,22,49,18,1,0,21,0,0,23701,10335,6524,4294,7,5,27,69,26,1,0,33,0,1,,,,,,,,,,,,,,
한양대,4650,1985,942,619,16,2,5,6,10,1,0,13,1,0,10440,5252,2672,1826,21,7,12,20,23,3,1,26,2,0,,,,,,,,,,,,,,
왕십리(성동구청),11829,6219,3350,2071,2,8,37,77,15,3,1,23,1,2,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3,,,,,,,,,,,,,,
상왕십리,12224,5682,3249,1415,2,4,28,60,17,2,0,8,0,1,31343,13087,9193,2389,8,8,35,107,27,3,0,20,0,2,,,,,,,,,,,,,,
신당,11836,5779,3764,14447,8,11,47,86,15,8,0,30,2,2,23071,10663,7466,15356,9,14,53,106,26,8,0,34,2,4,,,,,,,,,,,,,,
동대문역사문화공원,4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,1,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1,,,,,,,,,,,,,,
을지로4가,1899,1294,912,14138,1,3,75,4,24,1,0,17,2,1,5224,3037,2343,27738,3,11,207,113,48,6,0,56,3,1,,,,,,,,,,,,,,
을지로3가,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4,4843,2798,1991,25600,4,25,560,258,64,10,0,105,14,10,,,,,,,,,,,,,,
을지로입구,919,349,250,7938,2,22,573,177,47,4,4,58,9,3,3386,1921,1650,23387,10,46,854,332,94,29,6,124,13,29,,,,,,,,,,,,,,
시청,804,428,410,5732,7,20,423,103,44,4,5,43,5,5,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13,,,,,,,,,,,,,,
