호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
3,오금,7408,2807,2152,794,4,5,6,22,11,2,0,7,0,1
3,경찰병원,17772,6856,5709,2129,0,5,40,47,12,1,0,14,0,0
3,가락시장,6137,2451,2222,4706,0,2,45,61,12,1,1,9,0,0
3,수서,9354,4341,4239,1363,6,3,14,44,17,1,0,9,0,1
3,일원,13122,4282,4188,287,7,3,5,24,19,1,0,4,0,1
3,대청,10385,3792,3256,795,5,3,7,57,9,1,0,6,0,1
3,학여울,10829,3419,3420,184,0,0,3,8,7,0,0,6,0,0
3,대치,13370,4050,4051,1211,2,5,24,88,10,1,0,7,1,1
3,도곡,13739,4503,4522,700,5,4,38,58,14,1,0,8,0,0
3,매봉,9277,3513,3170,981,4,3,11,25,12,1,0,12,0,0
3,양재,7286,3550,2342,2473,6,6,49,125,29,0,0,22,0,0
3,남부터미널,11243,4982,4458,3724,3,3,76,67,24,1,0,28,2,2
3,교대,6129,2589,1760,4561,3,9,112,173,22,1,0,24,1,0
3,고속터미널,7106,2378,2341,3146,3,5,36,106,22,1,2,19,1,0
3,잠원,13590,4981,4960,277,4,2,3,26,8,1,0,1,0,0
3,신사,6854,3602,2256,3566,0,2,65,196,16,0,0,32,3,1
3,압구정,6593,2418,2329,2204,1,2,57,374,9,0,1,19,3,1
3,옥수,10796,4120,3862,432,4,0,4,24,9,0,0,4,0,0
3,금호,12808,5041,4264,454,3,2,3,30,24,1,0,5,0,0
3,약수,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,1
3,동대입구,5811,2540,1755,988,12,3,11,9,12,1,1,10,2,1
3,충무로,3343,1927,1259,9077,3,9,122,60,13,4,0,37,5,1
3,을지로3가,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4
3,종로3가,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9
3,안국,3854,1920,1479,3610,12,12,81,60,31,3,0,27,2,31
3,경복궁,5097,2319,2021,5087,1,24,160,120,37,4,1,34,2,23
3,독립문,12732,4703,441,403,4,4,5,22,17,0,0,7,0,3
3,무악재,11680,4398,3985,410,3,0,1,20,11,0,0,3,0,0
3,홍제,12678,5314,3603,1477,5,4,18,90,15,1,0,8,0,0
3,녹번,8760,3712,2933,567,2,1,7,25,7,1,0,5,0,1
3,불광,12153,5824,4440,1824,1,6,34,110,21,2,1,11,2,0
3,연신내,13019,6249,3863,2158,3,3,55,123,18,1,0,22,2,0
3,구파발,3941,1701,1718,153,8,4,2,19,22,2,0,3,0,0
3,지축,244,114,69,34,0,1,0,0,10,0,0,0,0,0
