호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
9,종합운동장(2),2171,729,734,246,2,2,4,1,4,1,0,10,1,0
9,신논현,7128,4123,2207,3402,1,4,44,196,35,0,0,34,2,0
9,사평,13355,4311,4164,262,5,2,3,21,14,0,0,3,0,1
9,"고속터미널(3, 7)",7106,2378,2341,3146,3,5,36,106,22,1,2,19,1,0
9,신반포,10581,3347,3349,644,11,6,7,30,16,2,0,5,0,0
9,구반포,9500,3099,3011,869,8,2,11,26,13,0,0,6,0,0
9,동작(4),2831,897,889,94,0,0,0,1,6,0,0,2,0,0
9,흑석,7221,3689,1999,1083,6,1,10,49,16,0,0,11,0,0
9,노들,7776,3568,2226,1531,2,5,4,13,22,2,0,8,0,1
9,노량진,5845,4103,1416,2225,1,6,13,21,16,2,0,20,0,0
9,샛강,5313,2067,1916,4007,0,5,447,98,30,1,1,21,1,1
9,여의도(5),5716,2047,2091,4197,4,4,481,109,23,0,0,22,1,1
9,국회의사당,845,554,558,2774,0,14,116,38,17,2,0,23,1,1
9,당산(2),12487,5772,4928,1357,4,4,65,67,16,2,0,17,0,0
9,선유도,9452,4116,3376,1977,14,4,30,59,29,0,0,24,0,3
9,신목동,7339,2641,2346,354,3,1,4,8,18,1,0,6,0,0
9,염창,16071,6390,5315,1261,2,2,15,72,25,0,0,11,0,0
9,등촌,14734,6302,5057,1611,8,2,19,84,21,1,0,12,0,0
9,증미,15110,6625,5851,1636,10,7,13,39,18,2,1,13,0,2
9,가양,18639,8591,8363,1369,9,3,13,88,34,0,3,11,0,0
9,양천향교,8563,4196,3892,1456,4,4,32,33,46,0,0,14,0,2
9,마곡나루,3189,1170,1164,127,0,1,2,7,21,0,0,5,0,0
9,신방화,14015,5426,4249,354,2,0,0,8,11,0,0,7,0,0
9,공항시장,12149,5627,3295,1205,3,3,8,45,15,1,0,13,0,1
9,김포공항,16,5,7,601,1,10,5,2,63,4,2,7,1,0
9,개화,1090,461,256,401,0,2,0,0,29,2,2,6,1,0
