6호선,300,,,,,,,,,,,,,,500,,,,,,,,,,,,,
,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
봉화산,9119,3253,2980,540,7,7,4,32,26,2,1,6,0,0,18391,6276,5947,718,8,7,5,46,35,2,1,7,0,1
화랑대,10304,3526,2914,399,6,2,3,31,13,1,0,8,0,1,31961,11371,9768,968,8,3,6,69,39,2,0,11,0,2
태릉입구,10865,4756,3471,1108,3,2,13,38,22,1,0,14,0,0,29127,11829,8718,2061,5,7,19,99,37,3,1,23,0,0
석계,14551,5810,4270,1048,1,3,5,55,19,0,0,8,1,1,34952,13270,10409,1524,5,5,9,79,31,1,0,11,1,1
돌곶이,13904,5533,3418,1175,4,4,8,42,9,1,0,11,0,0,29781,12208,7130,2409,7,7,13,73,22,2,0,19,0,0
상월곡,12105,5036,3140,671,1,3,3,23,10,1,0,9,0,1,22155,8757,5603,1285,13,6,5,42,16,3,0,14,0,1
월곡,11864,4923,3427,931,3,3,6,52,12,1,1,7,0,0,26071,10198,7553,1551,13,4,9,80,20,0,0,14,0,0
고려대,12114,4959,3200,638,17,3,2,14,19,1,0,17,0,0,20846,9239,5399,1511,22,5,7,35,28,1,0,20,0,1
안암,7908,3787,1374,940,20,1,8,29,14,0,0,24,0,0,17400,8442,3972,1492,25,2,11,45,21,0,0,36,0,0
보문,12877,6289,3267,772,7,2,5,31,9,1,0,6,0,0,31520,15065,8061,2312,19,11,25,88,27,4,0,27,0,0
창신,13906,5358,4011,567,9,4,3,29,17,0,0,7,0,1,32749,12991,9072,1298,20,5,10,48,22,1,0,12,0,2
동묘앞,10625,5274,3634,3437,6,4,36,67,16,1,0,19,0,1,25957,12241,8879,16704,12,14,99,114,34,6,0,44,3,3
신당,11836,5779,3764,14447,8,11,47,86,15,8,0,30,2,2,23071,10663,7466,15356,9,14,53,106,26,8,0,34,2,4
청구,11508,4996,2937,1767,4,2,7,48,5,0,0,13,0,2,28973,12418,8415,3967,9,8,25,102,19,2,0,27,0,5
약수,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,0,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,9
버티고개,12092,4834,4480,437,5,0,4,17,11,0,0,3,0,1,22451,9114,8316,1101,10,4,9,56,25,2,1,9,1,1
한강진,3226,1671,1267,712,3,1,17,23,16,0,0,9,1,3,5180,2623,2006,836,3,2,17,25,21,0,0,10,1,4
이태원,5819,3059,1834,1766,1,3,29,25,18,2,0,17,0,2,14946,7480,4735,2396,3,7,33,35,31,2,0,22,0,3
녹사평,4042,1969,1409,1172,1,5,21,16,13,0,0,9,0,0,7292,3461,2450,1557,2,6,27,24,28,0,0,13,0,2
삼각지,5967,3178,2833,3804,1,13,44,43,27,1,1,18,1,2,11084,5320,5031,4179,3,13,45,52,31,1,1,24,1,2
효창공원,12980,5318,3642,1237,3,2,7,57,19,1,0,10,0,1,29483,12185,9035,2923,11,8,14,94,51,3,0,25,0,0
공덕,8759,3984,3741,3076,5,13,101,136,28,3,1,22,0,0,33206,13699,12255,4396,14,16,127,180,45,3,1,33,0,3
대흥,13366,5533,3700,1351,21,6,13,35,20,2,0,14,1,0,29140,11725,8511,1880,31,8,16,45,32,2,0,21,1,0
광흥창,12766,5360,4282,839,1,5,10,46,20,2,0,11,0,1,30433,12468,9928,1464,12,7,3,64,43,3,0,22,1,1
상수,10728,53070,3728,2550,7,1,9,31,19,0,0,33,6,3,18227,8789,6449,3934,8,5,25,55,36,3,0,43,10,3
합정,8835,4185,3191,2574,2,4,47,56,13,3,1,29,5,0,19525,9115,6513,4544,3,5,73,79,27,4,0,51,9,1
망원,16747,7738,5450,1714,1,4,18,88,18,1,0,21,0,0,34718,15755,11235,3066,6,4,23,122,32,1,0,37,0,0
마포구청,13916,6252,5486,1136,2,6,2,34,15,1,1,14,2,2,29145,11913,10053,1927,7,7,7,63,26,1,1,22,2,2
월드컵경기장,6597,2503,2512,352,1,2,3,17,12,0,1,4,1,1,16040,6477,6070,1012,4,4,7,49,24,1,1,12,1,1
디지털미디어시티,7745,2964,2434,1183,0,6,19,32,25,1,0,23,2,1,21867,8344,6798,2117,4,10,27,79,40,2,2,34,3,2
증신,14287,5583,4343,800,2,5,6,46,12,2,0,12,0,1,30231,11812,8957,1530,4,5,10,69,17,2,0,18,0,1
새절,11526,4939,3144,937,4,2,4,48,17,0,0,9,0,0,31517,12938,8847,1980,11,5,9,105,27,1,0,17,0,0
응암,18256,7534,6086,948,5,3,7,45,12,1,1,13,1,1,45366,18162,14453,2304,13,3,16,125,25,1,1,28,0,0
역촌,15871,6436,4720,779,1,1,2,49,15,1,0,10,0,0,39590,16267,11809,2162,4,5,16,107,31,2,0,23,1,0
불광,12153,5824,4440,1824,1,6,34,110,21,2,1,11,2,0,30854,13502,10240,2409,3,8,38,138,29,2,1,16,3,0
독바위,11554,4461,3953,237,5,1,0,15,6,1,0,4,0,2,23910,9331,7810,556,9,2,16,27,13,2,0,6,0,3
연신내,13019,6249,3863,21258,3,3,55,123,18,1,0,22,2,0,35275,15280,10112,3065,11,5,59,165,37,1,0,33,2,1
구산,17147,6876,5088,1062,7,0,10,64,15,0,0,10,0,1,42081,16534,12510,1982,11,2,16,104,30,0,0,21,0,0
