호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
5,방화,16573,6845,6377,654,7,5,5,44,17,2,0,11,0,2
5,개화산,11965,4871,4521,943,7,6,4,40,40,3,2,14,1,2
5,김포공항(5),16,5,7,601,1,10,5,2,63,4,2,7,1,0
5,송정,9729,4711,2740,984,4,3,7,31,24,1,0,12,0,1
5,마곡,4661,1832,1601,318,4,2,3,13,38,1,0,3,0,0
5,발산,5335,2019,1908,1308,4,2,30,58,42,1,1,12,0,1
5,우장산,20996,6846,6126,1119,8,0,18,86,11,0,0,9,0,0
5,화곡,15206,6792,4767,1419,2,2,30,109,16,0,0,14,0,0
5,까치산(5),18312,8191,6226,1362,2,3,12,92,14,0,0,18,0,2
5,신정,19600,8248,5270,1102,3,1,3,40,7,0,0,12,0,0
5,목동,13245,4977,3846,1374,6,0,20,88,10,0,0,14,0,0
5,오목교,14428,4855,4486,2452,3,2,51,100,16,0,3,19,2,2
5,양평,9828,4438,3581,2825,4,4,32,56,17,1,3,18,2,0
5,영등포구청(5),13052,5738,4127,2634,6,6,82,59,17,0,0,19,0,2
5,영등포시장,8317,4283,2664,2310,3,1,56,69,14,0,0,9,1,1
5,신길(5),8103,4578,3662,2710,4,4,66,37,16,3,1,26,2,0
5,여의도(5),5716,2047,2091,4197,0,0,481,109,23,0,0,22,0,0
5,여의나루,5059,1837,1904,3941,0,0,440,94,23,0,0,21,0,0
5,마포,12058,5372,4803,3489,4,7,110,106,20,0,0,24,0,0
5,공덕(5),8759,3984,3741,3076,5,13,101,136,28,3,1,22,0,0
5,에오개,12875,5160,4807,1132,5,2,27,47,17,1,0,6,0,0
5,충정로(5),12499,5577,5794,1862,6,11,84,44,27,6,0,19,0,0
5,서대문,3991,2005,1579,2275,10,11,127,40,37,5,0,26,2,4
5,광화문,3910,2125,2057,10590,9,50,504,212,61,9,2,87,9,29
5,종로3가(5),2786,1836,1209,14115,0,10,150,103,35,5,0,44,4,9
5,을지로4가(5),1899,1294,912,14138,0,3,75,40,24,1,0,17,2,0
5,동대문역사 문화공원(5),4704,2559,1784,9052,0,6,87,47,26,0,0,24,2,0
5,청구(5),11508,4996,2937,1767,4,2,7,48,5,0,0,13,0,2
5,신금호,8175,3152,2164,527,2,5,6,30,29,2,0,5,0,0
5,행당,19936,6998,5953,653,6,2,6,49,14,1,1,5,0,0
5,왕십리,11829,6219,3350,2071,2,8,37,77,15,3,0,23,0,2
5,마장,10750,4497,3298,905,4,1,6,22,12,0,0,7,0,0
5,답십리,14677,6961,3686,1635,2,3,29,51,18,2,0,12,0,1
5,장한평,6213,2667,2187,2850,0,0,174,46,11,0,0,12,0,0
5,군자,12591,6259,2682,1634,1,5,27,59,17,1,0,18,2,0
5,아차산,12722,5405,3122,1065,7,3,12,56,18,3,0,16,2,1
5,광나루,14514,4864,4217,694,7,3,18,33,20,1,0,10,1,0
5,천호,13907,6938,3983,2734,0,0,64,150,20,0,0,22,0,0
5,강동,19168,8905,6471,1526,1,2,42,58,13,1,0,18,0,0
5,길동,16640,6935,5237,1673,5,3,46,78,13,0,0,18,0,0
5,굽은다리,17706,6887,4672,1324,3,1,9,71,8,0,1,17,0,0
5,명일,11754,4352,3098,1142,6,3,11,89,19,0,0,10,0,0
5,고덕,10696,3392,3280,1143,13,4,11,73,25,3,1,10,1,1
5,상일동,6725,2562,2228,445,6,1,5,38,21,0,0,4,1,2
5,둔촌동,13947,5203,3728,1726,5,3,21,84,16,0,0,15,0,0
5,올림픽공원,7881,2121,2123,443,11,4,9,18,13,1,0,7,0,3
5,방이,15336,5251,4619,1248,3,4,15,48,7,2,0,12,0,0
5,오금,7408,2807,2152,794,4,5,6,22,11,2,0,7,0,1
5,개롱,16029,5446,4964,858,7,0,7,51,14,0,0,5,0,1
5,거여,15188,5595,4178,877,3,3,5,70,11,1,0,9,0,1
5,마천,18976,7621,4211,1100,1,4,2,43,11,2,0,8,0,0
