호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범.방재,백화점.중대형마트,편의점,극장.영화관,도서관.박물관
1,도봉산,429,179,92,121,0,0,0,5,4,0,0,2,0,0
1,창동,2706,1173,1084,1035,2,4,31,62,9,0,1,15,0,0
1,석계,2146,1016,595,526,1,2,4,31,16,0,0,6,0,1
1,청량리,1346,684,465,1002,0,1,19,53,14,0,0,7,1,0
1,제기동,4453,2394,1999,1049,1,3,12,69,7,0,0,7,0,1
1,신설동,1969,1138,686,1748,2,3,52,13,8,1,0,14,0,1
1,동묘앞,3713,1963,1606,1334,5,3,15,43,11,1,0,10,0,0
1,동대문,1488,752,453,964,0,0,11,10,6,0,0,6,0,0
1,종로5가,1204,726,510,7102,2,4,39,91,13,1,0,14,1,0
1,종로3가,739,474,413,4059,0,8,109,82,29,5,0,32,4,5
1,종각,739,474,413,4059,1,8,113,69,26,2,0,33,2,18
1,시청,796,422,398,4964,7,19,334,78,40,4,5,37,5,5
1,서울역,915,603,358,848,0,1,25,36,11,0,0,18,0,0
1,노량진,1758,1150,699,1590,0,3,9,15,13,2,0,7,0,0
1,신길,2212,1493,1301,113,1,0,0,0,2,0,0,3,0,0
1,신도림,1272,667,669,998,2,0,37,20,6,0,1,11,2,0
1,가산디지털단지,900,597,504,6646,0,4,66,51,33,1,0,31,0,0
1,온수,2339,1012,964,179,0,0,2,4,10,0,0,6,0,0
2,까치산,4351,2055,1646,578,0,0,10,55,7,0,0,7,0,0
2,신정네거리,3155,1500,560,717,0,2,8,51,7,1,0,5,0,0
2,양천구청,1513,488,488,27,2,1,0,1,5,1,0,1,0,0
2,도림천,1275,688,635,584,2,0,4,3,6,0,0,2,0,1
2,신설동,1969,1138,686,1748,2,3,52,13,8,1,0,14,0,1
2,용두,2286,1269,997,478,0,4,9,20,8,1,1,3,0,1
2,신답,1376,521,372,103,0,0,0,2,9,0,0,0,0,0
2,용답,4054,1775,824,168,4,0,3,8,4,0,0,6,0,0
2,충정로,2482,1233,1008,933,0,3,35,24,15,0,0,10,0,0
2,아현,2316,1222,548,871,7,1,13,37,18,0,0,5,0,0
2,이대,3186,2237,1649,1032,4,2,8,42,11,0,0,11,0,0
2,신촌,2816,1869,1125,1587,4,2,29,107,21,1,2,18,0,0
2,홍대입구,1496,845,487,1541,0,1,47,45,8,1,0,9,5,1
