8호선,300,,,,,,,,,,,,,,500,,,,,,,,,,,,,
,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
암사,20711,8503,6164,1471,3,2,10,89,8,0,0,14,0,2,40589,16224,11257,2098,7,4,11,112,11,1,0,24,0,2
천호(8),13907,6938,3983,2734,0,2,64,150,20,0,2,22,1,0,34895,15964,8538,4201,0,7,69,184,26,2,3,33,1,1
강동구청,11791,4197,3001,1639,10,9,18,49,27,3,0,20,0,2,32474,12331,8723,2681,15,13,23,106,34,5,0,29,1,3
몽촌토성,8889,3490,3193,1577,10,4,40,37,20,1,0,20,0,3,28447,10762,9682,2307,10,5,46,81,25,1,0,29,0,3
잠실,5472,1883,1901,1456,0,2,99,45,19,0,6,17,1,0,13965,4883,4882,2446,5,7,112,88,24,1,6,20,1,0
석촌,16435,7249,5600,1335,4,6,26,70,8,2,0,17,0,0,36180,15671,11829,3073,5,8,38,145,24,2,3,38,0,1
송파,7142,2950,2052,4322,7,6,15,90,19,3,0,11,0,0,20185,7970,5839,5285,8,8,28,118,23,3,0,22,0,0
가락시장,6137,2451,2222,4706,0,2,45,61,12,1,1,9,0,0,21445,8033,7295,7435,2,7,72,89,29,2,3,28,2,1
문정,6251,2545,1911,2440,0,2,18,19,16,1,2,15,2,0,22585,9788,8342,3328,4,6,22,37,26,2,2,21,2,1
장지,10547,5146,5004,2118,5,2,18,36,22,1,2,11,2,0,21118,8712,8203,2690,6,4,21,66,44,2,2,15,2,0
복정,1324,504,200,305,2,1,3,27,27,1,0,4,0,0,3864,1924,528,509,3,3,4,31,65,2,0,6,0,0
산성,7849,3344,1739,408,7,1,2,21,46,1,0,5,0,1,20702,8295,5353,625,12,2,2,37,47,1,0,7,0,2
남한산성입구,16178,6002,4378,668,7,3,9,37,9,1,0,7,0,0,33594,12668,9076,1393,14,7,14,85,19,0,0,17,0,3
단대오거리,11485,5066,2997,1523,1,3,11,70,13,0,1,8,1,1,34859,14532,8558,2569,4,7,11,122,24,0,1,17,1,0
신흥,14832,7301,3064,2229,2,4,16,79,15,2,0,20,0,0,35533,16173,7756,3483,11,5,30,136,23,2,0,31,0,0
수진,16583,7603,3515,1368,7,4,15,48,13,2,0,15,0,0,35450,16588,7464,2482,12,7,21,93,24,4,0,27,0,0
모란,11878,5571,2939,1723,7,3,45,62,16,2,1,26,1,0,29885,13495,7105,2989,7,8,61,108,26,2,1,38,1,0
