항목,집계구번호,순위,값,비율(%)
수유2동_1,1109064020310,1,710,3.4
수유2동_2,1109064020304,2,643,3
수유2동_3,1109064020005,3,592,2.8
수유2동_4,1109064010021,4,590,2.8
수유2동_5,1109064010004,5,589,2.8
수유2동_6,1109064010020,6,585,2.8
수유2동_7,1109064010016,7,574,2.7
수유2동_8,1109064020006,8,572,2.7
수유2동_9,1109064020002,9,568,2.7
수유2동_10,1109064020003,10,545,2.6
수유2동_11,1109064020901,11,539,2.5
수유2동_12,1109064020004,12,529,2.5
수유2동_13,1109064010019,13,529,2.5
수유2동_14,1109064010002,14,524,2.5
수유2동_15,1109064020902,15,522,2.5
수유2동_16,1109064010003,16,522,2.5
수유2동_17,1109064020008,17,513,2.4
수유2동_18,1109064020306,18,493,2.3
수유2동_19,1109064010007,19,490,2.3
수유2동_20,1109064010008,20,486,2.3
수유2동_21,1109064010018,21,480,2.3
수유2동_22,1109064010006,22,478,2.3
수유2동_23,1109064010009,23,469,2.2
수유2동_24,1109064010017,24,454,2.1
수유2동_25,1109064020303,25,450,2.1
수유2동_26,1109064010010,26,450,2.1
수유2동_27,1109064020302,27,443,2.1
수유2동_28,1109064010012,28,442,2.1
수유2동_29,1109064020301,29,437,2.1
수유2동_30,1109064010001,30,434,2.1
수유2동_31,1109064020001,31,432,2
수유2동_32,1109064020308,32,427,2
수유2동_33,1109064010005,33,423,2
수유2동_34,1109064020007,34,422,2
수유2동_35,1109064010014,35,415,2
수유2동_36,1109064010015,36,407,1.9
수유2동_37,1109064010011,37,404,1.9
수유2동_38,1109064010013,38,403,1.9
수유2동_39,1109064020305,39,396,1.9
수유2동_40,1109064020903,40,396,1.9
수유2동_41,1109064020309,41,373,1.8
수유2동_42,1109064020904,42,372,1.8
수유2동_43,1109064020307,43,330,1.6
수유2동_44,1109064020201,44,303,1.4
