Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª4µ¿_1,1108065020102,1,278,2.8
Á¤¸ª4µ¿_2,1108065020009,2,270,2.8
Á¤¸ª4µ¿_3,1108065010201,3,262,2.7
Á¤¸ª4µ¿_4,1108065010501,4,243,2.5
Á¤¸ª4µ¿_5,1108065020012,5,231,2.4
Á¤¸ª4µ¿_6,1108065020005,6,226,2.3
Á¤¸ª4µ¿_7,1108065010404,7,214,2.2
Á¤¸ª4µ¿_8,1108065020017,8,213,2.2
Á¤¸ª4µ¿_9,1108065010403,9,208,2.1
Á¤¸ª4µ¿_10,1108065010003,10,207,2.1
Á¤¸ª4µ¿_11,1108065010009,11,204,2.1
Á¤¸ª4µ¿_12,1108065010911,12,200,2
Á¤¸ª4µ¿_13,1108065010103,13,200,2
Á¤¸ª4µ¿_14,1108065020201,14,199,2
Á¤¸ª4µ¿_15,1108065020203,15,197,2
Á¤¸ª4µ¿_16,1108065020018,16,191,2
Á¤¸ª4µ¿_17,1108065020004,17,190,1.9
Á¤¸ª4µ¿_18,1108065020204,18,190,1.9
Á¤¸ª4µ¿_19,1108065010401,19,188,1.9
Á¤¸ª4µ¿_20,1108065010906,20,188,1.9
Á¤¸ª4µ¿_21,1108065020016,21,181,1.9
Á¤¸ª4µ¿_22,1108065010402,22,180,1.8
Á¤¸ª4µ¿_23,1108065020006,23,179,1.8
Á¤¸ª4µ¿_24,1108065010004,24,179,1.8
Á¤¸ª4µ¿_25,1108065010008,25,178,1.8
Á¤¸ª4µ¿_26,1108065020011,26,177,1.8
Á¤¸ª4µ¿_27,1108065020103,27,176,1.8
Á¤¸ª4µ¿_28,1108065010901,28,175,1.8
Á¤¸ª4µ¿_29,1108065010909,29,170,1.7
Á¤¸ª4µ¿_30,1108065020008,30,170,1.7
Á¤¸ª4µ¿_31,1108065020014,31,168,1.7
Á¤¸ª4µ¿_32,1108065020001,32,167,1.7
Á¤¸ª4µ¿_33,1108065010001,33,167,1.7
Á¤¸ª4µ¿_34,1108065010101,34,166,1.7
Á¤¸ª4µ¿_35,1108065010006,35,166,1.7
Á¤¸ª4µ¿_36,1108065020010,36,165,1.7
Á¤¸ª4µ¿_37,1108065010005,37,158,1.6
Á¤¸ª4µ¿_38,1108065010102,38,156,1.6
Á¤¸ª4µ¿_39,1108065020007,39,156,1.6
Á¤¸ª4µ¿_40,1108065010007,40,155,1.6
Á¤¸ª4µ¿_41,1108065010903,41,153,1.6
Á¤¸ª4µ¿_42,1108065010002,42,150,1.5
Á¤¸ª4µ¿_43,1108065020202,43,149,1.5
Á¤¸ª4µ¿_44,1108065010910,44,149,1.5
Á¤¸ª4µ¿_45,1108065020101,45,146,1.5
Á¤¸ª4µ¿_46,1108065010907,46,145,1.5
Á¤¸ª4µ¿_47,1108065020013,47,145,1.5
Á¤¸ª4µ¿_48,1108065020002,48,144,1.5
Á¤¸ª4µ¿_49,1108065010908,49,140,1.4
Á¤¸ª4µ¿_50,1108065020003,50,138,1.4
Á¤¸ª4µ¿_51,1108065010905,51,136,1.4
Á¤¸ª4µ¿_52,1108065020015,52,133,1.4
Á¤¸ª4µ¿_53,1108065010301,53,127,1.3
Á¤¸ª4µ¿_54,1108065010902,54,120,1.2
Á¤¸ª4µ¿_55,1108065010904,55,118,1.2
