Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª1µ¿_1,1108062020101,1,266,3.9
Á¤¸ª1µ¿_2,1108062010003,2,241,3.6
Á¤¸ª1µ¿_3,1108062010301,3,236,3.5
Á¤¸ª1µ¿_4,1108062020301,4,235,3.5
Á¤¸ª1µ¿_5,1108062010205,5,228,3.4
Á¤¸ª1µ¿_6,1108062010001,6,223,3.3
Á¤¸ª1µ¿_7,1108062020102,7,222,3.3
Á¤¸ª1µ¿_8,1108062020008,8,222,3.3
Á¤¸ª1µ¿_9,1108062020005,9,199,3
Á¤¸ª1µ¿_10,1108062020010,10,194,2.9
Á¤¸ª1µ¿_11,1108062020401,11,193,2.9
Á¤¸ª1µ¿_12,1108062020009,12,191,2.8
Á¤¸ª1µ¿_13,1108062020104,13,186,2.8
Á¤¸ª1µ¿_14,1108062020601,14,185,2.7
Á¤¸ª1µ¿_15,1108062010204,15,184,2.7
Á¤¸ª1µ¿_16,1108062010101,16,181,2.7
Á¤¸ª1µ¿_17,1108062020006,17,180,2.7
Á¤¸ª1µ¿_18,1108062010103,18,180,2.7
Á¤¸ª1µ¿_19,1108062020004,19,176,2.6
Á¤¸ª1µ¿_20,1108062010005,20,176,2.6
Á¤¸ª1µ¿_21,1108062010002,21,175,2.6
Á¤¸ª1µ¿_22,1108062020003,22,173,2.6
Á¤¸ª1µ¿_23,1108062020602,23,169,2.5
Á¤¸ª1µ¿_24,1108062010202,24,169,2.5
Á¤¸ª1µ¿_25,1108062020201,25,161,2.4
Á¤¸ª1µ¿_26,1108062010102,26,156,2.3
Á¤¸ª1µ¿_27,1108062020012,27,155,2.3
Á¤¸ª1µ¿_28,1108062020103,28,150,2.2
Á¤¸ª1µ¿_29,1108062010203,29,150,2.2
Á¤¸ª1µ¿_30,1108062020203,30,146,2.2
Á¤¸ª1µ¿_31,1108062020002,31,146,2.2
Á¤¸ª1µ¿_32,1108062020501,32,145,2.2
Á¤¸ª1µ¿_33,1108062020502,33,139,2.1
Á¤¸ª1µ¿_34,1108062010201,34,126,1.9
Á¤¸ª1µ¿_35,1108062020503,35,121,1.8
Á¤¸ª1µ¿_36,1108062020504,36,121,1.8
Á¤¸ª1µ¿_37,1108062020202,37,116,1.7
Á¤¸ª1µ¿_38,1108062010004,38,113,1.7
Á¤¸ª1µ¿_39,1108062020001,39,14,0.2
