Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
µ·¾Ï2µ¿_1,1108059020221,1,120,44.1
µ·¾Ï2µ¿_2,1108059020214,2,39,14.3
µ·¾Ï2µ¿_3,1108059020219,3,34,12.5
µ·¾Ï2µ¿_4,1108059010107,4,22,8.1
µ·¾Ï2µ¿_5,1108059020002,5,11,4
µ·¾Ï2µ¿_6,1108059010201,6,10,3.7
µ·¾Ï2µ¿_7,1108059020102,7,10,3.7
µ·¾Ï2µ¿_8,1108059010001,8,8,2.9
µ·¾Ï2µ¿_9,1108059010002,9,6,2.2
µ·¾Ï2µ¿_10,1108059020001,10,6,2.2
µ·¾Ï2µ¿_11,1108059020501,11,6,2.2
