Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª1µ¿_1,1108062020008,1,70,11.5
Á¤¸ª1µ¿_2,1108062020003,2,69,11.4
Á¤¸ª1µ¿_3,1108062010001,3,46,7.6
Á¤¸ª1µ¿_4,1108062020012,4,46,7.6
Á¤¸ª1µ¿_5,1108062020006,5,44,7.2
Á¤¸ª1µ¿_6,1108062020005,6,40,6.6
Á¤¸ª1µ¿_7,1108062010003,7,35,5.8
Á¤¸ª1µ¿_8,1108062010301,8,35,5.8
Á¤¸ª1µ¿_9,1108062020010,9,25,4.1
Á¤¸ª1µ¿_10,1108062020009,10,22,3.6
Á¤¸ª1µ¿_11,1108062010201,11,18,3
Á¤¸ª1µ¿_12,1108062020502,12,17,2.8
Á¤¸ª1µ¿_13,1108062020103,13,17,2.8
Á¤¸ª1µ¿_14,1108062010002,14,17,2.8
Á¤¸ª1µ¿_15,1108062010102,15,15,2.5
Á¤¸ª1µ¿_16,1108062020004,16,14,2.3
Á¤¸ª1µ¿_17,1108062020001,17,13,2.1
Á¤¸ª1µ¿_18,1108062020201,18,12,2
Á¤¸ª1µ¿_19,1108062020602,19,10,1.6
Á¤¸ª1µ¿_20,1108062010005,20,9,1.5
Á¤¸ª1µ¿_21,1108062020203,21,8,1.3
Á¤¸ª1µ¿_22,1108062020104,22,8,1.3
Á¤¸ª1µ¿_23,1108062020301,23,7,1.2
Á¤¸ª1µ¿_24,1108062020002,24,5,0.8
Á¤¸ª1µ¿_25,1108062020401,25,5,0.8
