Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª2µ¿_1,1108063020008,1,220,3
Á¤¸ª2µ¿_2,1108063020201,2,212,2.9
Á¤¸ª2µ¿_3,1108063010101,3,207,2.8
Á¤¸ª2µ¿_4,1108063020401,4,207,2.8
Á¤¸ª2µ¿_5,1108063020301,5,198,2.7
Á¤¸ª2µ¿_6,1108063010102,6,196,2.7
Á¤¸ª2µ¿_7,1108063010005,7,191,2.6
Á¤¸ª2µ¿_8,1108063010203,8,187,2.5
Á¤¸ª2µ¿_9,1108063020704,9,185,2.5
Á¤¸ª2µ¿_10,1108063020001,10,184,2.5
Á¤¸ª2µ¿_11,1108063020004,11,179,2.4
Á¤¸ª2µ¿_12,1108063020009,12,178,2.4
Á¤¸ª2µ¿_13,1108063010202,13,173,2.4
Á¤¸ª2µ¿_14,1108063020601,14,169,2.3
Á¤¸ª2µ¿_15,1108063010201,15,168,2.3
Á¤¸ª2µ¿_16,1108063010010,16,167,2.3
Á¤¸ª2µ¿_17,1108063020002,17,165,2.2
Á¤¸ª2µ¿_18,1108063020702,18,165,2.2
Á¤¸ª2µ¿_19,1108063020013,19,164,2.2
Á¤¸ª2µ¿_20,1108063010001,20,163,2.2
Á¤¸ª2µ¿_21,1108063020503,21,161,2.2
Á¤¸ª2µ¿_22,1108063010003,22,157,2.1
Á¤¸ª2µ¿_23,1108063020005,23,153,2.1
Á¤¸ª2µ¿_24,1108063020701,24,150,2
Á¤¸ª2µ¿_25,1108063010013,25,149,2
Á¤¸ª2µ¿_26,1108063010015,26,148,2
Á¤¸ª2µ¿_27,1108063010017,27,148,2
Á¤¸ª2µ¿_28,1108063010014,28,146,2
Á¤¸ª2µ¿_29,1108063020010,29,145,2
Á¤¸ª2µ¿_30,1108063010006,30,144,2
Á¤¸ª2µ¿_31,1108063020402,31,143,1.9
Á¤¸ª2µ¿_32,1108063020703,32,142,1.9
Á¤¸ª2µ¿_33,1108063020502,33,140,1.9
Á¤¸ª2µ¿_34,1108063010002,34,140,1.9
Á¤¸ª2µ¿_35,1108063020011,35,136,1.9
Á¤¸ª2µ¿_36,1108063020007,36,132,1.8
Á¤¸ª2µ¿_37,1108063010007,37,132,1.8
Á¤¸ª2µ¿_38,1108063020501,38,131,1.8
Á¤¸ª2µ¿_39,1108063010011,39,126,1.7
Á¤¸ª2µ¿_40,1108063010008,40,125,1.7
Á¤¸ª2µ¿_41,1108063020003,41,121,1.6
Á¤¸ª2µ¿_42,1108063010004,42,117,1.6
Á¤¸ª2µ¿_43,1108063010016,43,116,1.6
Á¤¸ª2µ¿_44,1108063020006,44,103,1.4
Á¤¸ª2µ¿_45,1108063020705,45,103,1.4
Á¤¸ª2µ¿_46,1108063010012,46,101,1.4
Á¤¸ª2µ¿_47,1108063020012,47,99,1.3
Á¤¸ª2µ¿_48,1108063010009,48,58,0.8
