항목,집계구번호,순위,값,비율(%)
수유2동_1,1109064020005,1,146,12.8
수유2동_2,1109064010010,2,97,8.5
수유2동_3,1109064010006,3,86,7.5
수유2동_4,1109064010012,4,62,5.4
수유2동_5,1109064020007,5,57,5
수유2동_6,1109064020001,6,55,4.8
수유2동_7,1109064010002,7,54,4.7
수유2동_8,1109064020002,8,51,4.5
수유2동_9,1109064010005,9,51,4.5
수유2동_10,1109064020004,10,44,3.8
수유2동_11,1109064020201,11,39,3.4
수유2동_12,1109064010021,12,39,3.4
수유2동_13,1109064010001,13,39,3.4
수유2동_14,1109064020307,14,37,3.2
수유2동_15,1109064020003,15,33,2.9
수유2동_16,1109064010019,16,31,2.7
수유2동_17,1109064010017,17,26,2.3
수유2동_18,1109064010007,18,26,2.3
수유2동_19,1109064020309,19,20,1.7
수유2동_20,1109064020008,20,19,1.7
수유2동_21,1109064010009,21,19,1.7
수유2동_22,1109064010020,22,18,1.6
수유2동_23,1109064010004,23,16,1.4
수유2동_24,1109064020006,24,15,1.3
수유2동_25,1109064010013,25,14,1.2
수유2동_26,1109064010016,26,14,1.2
수유2동_27,1109064010008,27,13,1.1
수유2동_28,1109064010018,28,8,0.7
수유2동_29,1109064020301,29,8,0.7
수유2동_30,1109064010011,30,6,0.5
