Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª2µ¿_1,1108063020008,1,677,2.9
Á¤¸ª2µ¿_2,1108063020201,2,668,2.9
Á¤¸ª2µ¿_3,1108063020001,3,647,2.8
Á¤¸ª2µ¿_4,1108063010102,4,608,2.6
Á¤¸ª2µ¿_5,1108063010101,5,602,2.6
Á¤¸ª2µ¿_6,1108063010005,6,599,2.6
Á¤¸ª2µ¿_7,1108063010001,7,596,2.6
Á¤¸ª2µ¿_8,1108063020004,8,596,2.6
Á¤¸ª2µ¿_9,1108063020704,9,592,2.5
Á¤¸ª2µ¿_10,1108063020301,10,577,2.5
Á¤¸ª2µ¿_11,1108063020002,11,567,2.4
Á¤¸ª2µ¿_12,1108063010010,12,567,2.4
Á¤¸ª2µ¿_13,1108063020401,13,564,2.4
Á¤¸ª2µ¿_14,1108063010203,14,562,2.4
Á¤¸ª2µ¿_15,1108063010017,15,561,2.4
Á¤¸ª2µ¿_16,1108063020702,16,545,2.3
Á¤¸ª2µ¿_17,1108063010202,17,537,2.3
Á¤¸ª2µ¿_18,1108063010015,18,534,2.3
Á¤¸ª2µ¿_19,1108063020009,19,509,2.2
Á¤¸ª2µ¿_20,1108063010002,20,508,2.2
Á¤¸ª2µ¿_21,1108063020601,21,497,2.1
Á¤¸ª2µ¿_22,1108063020503,22,497,2.1
Á¤¸ª2µ¿_23,1108063010201,23,496,2.1
Á¤¸ª2µ¿_24,1108063010014,24,469,2
Á¤¸ª2µ¿_25,1108063020005,25,466,2
Á¤¸ª2µ¿_26,1108063020701,26,461,2
Á¤¸ª2µ¿_27,1108063020011,27,459,2
Á¤¸ª2µ¿_28,1108063020007,28,456,2
Á¤¸ª2µ¿_29,1108063010003,29,455,2
Á¤¸ª2µ¿_30,1108063010008,30,453,1.9
Á¤¸ª2µ¿_31,1108063010011,31,445,1.9
Á¤¸ª2µ¿_32,1108063010016,32,440,1.9
Á¤¸ª2µ¿_33,1108063010004,33,436,1.9
Á¤¸ª2µ¿_34,1108063020013,34,433,1.9
Á¤¸ª2µ¿_35,1108063010006,35,431,1.9
Á¤¸ª2µ¿_36,1108063010013,36,424,1.8
Á¤¸ª2µ¿_37,1108063020010,37,422,1.8
Á¤¸ª2µ¿_38,1108063010007,38,412,1.8
Á¤¸ª2µ¿_39,1108063020502,39,411,1.8
Á¤¸ª2µ¿_40,1108063020703,40,411,1.8
Á¤¸ª2µ¿_41,1108063020501,41,410,1.8
Á¤¸ª2µ¿_42,1108063020402,42,401,1.7
Á¤¸ª2µ¿_43,1108063010012,43,375,1.6
Á¤¸ª2µ¿_44,1108063020003,44,359,1.5
Á¤¸ª2µ¿_45,1108063020006,45,354,1.5
Á¤¸ª2µ¿_46,1108063020705,46,323,1.4
Á¤¸ª2µ¿_47,1108063020012,47,309,1.3
Á¤¸ª2µ¿_48,1108063010009,48,135,0.6
