Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª3µ¿_1,1108064010010,1,61,10.8
Á¤¸ª3µ¿_2,1108064030007,2,49,8.7
Á¤¸ª3µ¿_3,1108064020005,3,49,8.7
Á¤¸ª3µ¿_4,1108064030003,4,49,8.7
Á¤¸ª3µ¿_5,1108064020001,5,42,7.5
Á¤¸ª3µ¿_6,1108064010011,6,33,5.9
Á¤¸ª3µ¿_7,1108064020008,7,33,5.9
Á¤¸ª3µ¿_8,1108064030001,8,27,4.8
Á¤¸ª3µ¿_9,1108064010009,9,27,4.8
Á¤¸ª3µ¿_10,1108064020004,10,26,4.6
Á¤¸ª3µ¿_11,1108064020007,11,20,3.6
Á¤¸ª3µ¿_12,1108064020010,12,16,2.8
Á¤¸ª3µ¿_13,1108064020003,13,16,2.8
Á¤¸ª3µ¿_14,1108064020002,14,15,2.7
Á¤¸ª3µ¿_15,1108064010006,15,14,2.5
Á¤¸ª3µ¿_16,1108064010008,16,13,2.3
Á¤¸ª3µ¿_17,1108064020011,17,11,2
Á¤¸ª3µ¿_18,1108064010005,18,10,1.8
Á¤¸ª3µ¿_19,1108064010013,19,9,1.6
Á¤¸ª3µ¿_20,1108064030002,20,8,1.4
Á¤¸ª3µ¿_21,1108064010012,21,7,1.2
Á¤¸ª3µ¿_22,1108064030004,22,7,1.2
Á¤¸ª3µ¿_23,1108064030005,23,6,1.1
Á¤¸ª3µ¿_24,1108064020012,24,5,0.9
Á¤¸ª3µ¿_25,1108064030006,25,5,0.9
Á¤¸ª3µ¿_26,1108064020006,26,5,0.9
