항목,집계구번호,순위,값,비율(%)
수유1동_1,1109063020017,1,378,4.3
수유1동_2,1109063010014,2,317,3.6
수유1동_3,1109063010015,3,313,3.6
수유1동_4,1109063030002,4,289,3.3
수유1동_5,1109063020003,5,288,3.3
수유1동_6,1109063020011,6,271,3.1
수유1동_7,1109063020002,7,267,3.1
수유1동_8,1109063020006,8,264,3
수유1동_9,1109063010010,9,260,3
수유1동_10,1109063020009,10,234,2.7
수유1동_11,1109063020014,11,233,2.7
수유1동_12,1109063020001,12,230,2.6
수유1동_13,1109063030001,13,224,2.6
수유1동_14,1109063020007,14,219,2.5
수유1동_15,1109063010016,15,218,2.5
수유1동_16,1109063010004,16,210,2.4
수유1동_17,1109063010001,17,202,2.3
수유1동_18,1109063010012,18,201,2.3
수유1동_19,1109063030003,19,196,2.2
수유1동_20,1109063010007,20,196,2.2
수유1동_21,1109063030004,21,193,2.2
수유1동_22,1109063010002,22,193,2.2
수유1동_23,1109063020012,23,187,2.1
수유1동_24,1109063020008,24,184,2.1
수유1동_25,1109063010013,25,183,2.1
수유1동_26,1109063010008,26,182,2.1
수유1동_27,1109063020015,27,179,2.1
수유1동_28,1109063010011,28,174,2
수유1동_29,1109063020016,29,173,2
수유1동_30,1109063010003,30,169,1.9
수유1동_31,1109063010005,31,167,1.9
수유1동_32,1109063010006,32,164,1.9
수유1동_33,1109063010009,33,162,1.9
수유1동_34,1109063030005,34,162,1.9
수유1동_35,1109063020010,35,159,1.8
수유1동_36,1109063020018,36,153,1.8
수유1동_37,1109063030006,37,146,1.7
수유1동_38,1109063020013,38,140,1.6
수유1동_39,1109063020019,39,136,1.6
수유1동_40,1109063020004,40,128,1.5
수유1동_41,1109063020021,41,125,1.4
수유1동_42,1109063020005,42,124,1.4
수유1동_43,1109063020020,43,119,1.4
