Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª3µ¿_1,1108064010010,1,1174,6.7
Á¤¸ª3µ¿_2,1108064030004,2,700,4
Á¤¸ª3µ¿_3,1108064010011,3,652,3.7
Á¤¸ª3µ¿_4,1108064030002,4,591,3.4
Á¤¸ª3µ¿_5,1108064020008,5,589,3.4
Á¤¸ª3µ¿_6,1108064010001,6,583,3.3
Á¤¸ª3µ¿_7,1108064020009,7,579,3.3
Á¤¸ª3µ¿_8,1108064010012,8,561,3.2
Á¤¸ª3µ¿_9,1108064030007,9,549,3.2
Á¤¸ª3µ¿_10,1108064020010,10,545,3.1
Á¤¸ª3µ¿_11,1108064030003,11,540,3.1
Á¤¸ª3µ¿_12,1108064010005,12,528,3
Á¤¸ª3µ¿_13,1108064030301,13,517,3
Á¤¸ª3µ¿_14,1108064020011,14,504,2.9
Á¤¸ª3µ¿_15,1108064030005,15,500,2.9
Á¤¸ª3µ¿_16,1108064020004,16,500,2.9
Á¤¸ª3µ¿_17,1108064020012,17,496,2.9
Á¤¸ª3µ¿_18,1108064020006,18,486,2.8
Á¤¸ª3µ¿_19,1108064030001,19,477,2.7
Á¤¸ª3µ¿_20,1108064020301,20,460,2.6
Á¤¸ª3µ¿_21,1108064010013,21,451,2.6
Á¤¸ª3µ¿_22,1108064010002,22,439,2.5
Á¤¸ª3µ¿_23,1108064020005,23,429,2.5
Á¤¸ª3µ¿_24,1108064020002,24,424,2.4
Á¤¸ª3µ¿_25,1108064010009,25,422,2.4
Á¤¸ª3µ¿_26,1108064030006,26,408,2.3
Á¤¸ª3µ¿_27,1108064020001,27,403,2.3
Á¤¸ª3µ¿_28,1108064010007,28,402,2.3
Á¤¸ª3µ¿_29,1108064020003,29,401,2.3
Á¤¸ª3µ¿_30,1108064020007,30,396,2.3
Á¤¸ª3µ¿_31,1108064010006,31,365,2.1
Á¤¸ª3µ¿_32,1108064020302,32,341,2
Á¤¸ª3µ¿_33,1108064010008,33,336,1.9
Á¤¸ª3µ¿_34,1108064010004,34,334,1.9
Á¤¸ª3µ¿_35,1108064010003,35,321,1.8
