Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª1µ¿_1,1108062020101,1,266,4.9
Á¤¸ª1µ¿_2,1108062010301,2,236,4.3
Á¤¸ª1µ¿_3,1108062010205,3,229,4.2
Á¤¸ª1µ¿_4,1108062020301,4,227,4.2
Á¤¸ª1µ¿_5,1108062020102,5,223,4.1
Á¤¸ª1µ¿_6,1108062020401,6,193,3.5
Á¤¸ª1µ¿_7,1108062020104,7,186,3.4
Á¤¸ª1µ¿_8,1108062020601,8,186,3.4
Á¤¸ª1µ¿_9,1108062010204,9,185,3.4
Á¤¸ª1µ¿_10,1108062010101,10,180,3.3
Á¤¸ª1µ¿_11,1108062010103,11,178,3.3
Á¤¸ª1µ¿_12,1108062010202,12,170,3.1
Á¤¸ª1µ¿_13,1108062020602,13,169,3.1
Á¤¸ª1µ¿_14,1108062020201,14,161,3
Á¤¸ª1µ¿_15,1108062010102,15,156,2.9
Á¤¸ª1µ¿_16,1108062010203,16,150,2.8
Á¤¸ª1µ¿_17,1108062010001,17,148,2.7
Á¤¸ª1µ¿_18,1108062020103,18,148,2.7
Á¤¸ª1µ¿_19,1108062020501,19,145,2.7
Á¤¸ª1µ¿_20,1108062020502,20,140,2.6
Á¤¸ª1µ¿_21,1108062020203,21,134,2.5
Á¤¸ª1µ¿_22,1108062010003,22,129,2.4
Á¤¸ª1µ¿_23,1108062010201,23,126,2.3
Á¤¸ª1µ¿_24,1108062010005,24,125,2.3
Á¤¸ª1µ¿_25,1108062020504,25,121,2.2
Á¤¸ª1µ¿_26,1108062020503,26,121,2.2
Á¤¸ª1µ¿_27,1108062020202,27,116,2.1
Á¤¸ª1µ¿_28,1108062010002,28,113,2.1
Á¤¸ª1µ¿_29,1108062020004,29,101,1.9
Á¤¸ª1µ¿_30,1108062020010,30,90,1.7
Á¤¸ª1µ¿_31,1108062020012,31,87,1.6
Á¤¸ª1µ¿_32,1108062020008,32,86,1.6
Á¤¸ª1µ¿_33,1108062010004,33,85,1.6
Á¤¸ª1µ¿_34,1108062020005,34,78,1.4
Á¤¸ª1µ¿_35,1108062020006,35,69,1.3
Á¤¸ª1µ¿_36,1108062020003,36,67,1.2
Á¤¸ª1µ¿_37,1108062020002,37,61,1.1
Á¤¸ª1µ¿_38,1108062020009,38,60,1.1
Á¤¸ª1µ¿_39,1108062020001,39,6,0.1
