Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª2µ¿_1,1108063010001,1,257,3
Á¤¸ª2µ¿_2,1108063020001,2,253,2.9
Á¤¸ª2µ¿_3,1108063020008,3,253,2.9
Á¤¸ª2µ¿_4,1108063020002,4,253,2.9
Á¤¸ª2µ¿_5,1108063010017,5,244,2.8
Á¤¸ª2µ¿_6,1108063020004,6,234,2.7
Á¤¸ª2µ¿_7,1108063010005,7,224,2.6
Á¤¸ª2µ¿_8,1108063010010,8,214,2.5
Á¤¸ª2µ¿_9,1108063010002,9,212,2.4
Á¤¸ª2µ¿_10,1108063020201,10,212,2.4
Á¤¸ª2µ¿_11,1108063010004,11,208,2.4
Á¤¸ª2µ¿_12,1108063020401,12,207,2.4
Á¤¸ª2µ¿_13,1108063010101,13,206,2.4
Á¤¸ª2µ¿_14,1108063010003,14,203,2.3
Á¤¸ª2µ¿_15,1108063010011,15,200,2.3
Á¤¸ª2µ¿_16,1108063020301,16,198,2.3
Á¤¸ª2µ¿_17,1108063010015,17,197,2.3
Á¤¸ª2µ¿_18,1108063010102,18,196,2.3
Á¤¸ª2µ¿_19,1108063020007,19,192,2.2
Á¤¸ª2µ¿_20,1108063010203,20,186,2.1
Á¤¸ª2µ¿_21,1108063010006,21,185,2.1
Á¤¸ª2µ¿_22,1108063020704,22,185,2.1
Á¤¸ª2µ¿_23,1108063020009,23,182,2.1
Á¤¸ª2µ¿_24,1108063010008,24,180,2.1
Á¤¸ª2µ¿_25,1108063020013,25,179,2.1
Á¤¸ª2µ¿_26,1108063010016,26,175,2
Á¤¸ª2µ¿_27,1108063010202,27,173,2
Á¤¸ª2µ¿_28,1108063010013,28,173,2
Á¤¸ª2µ¿_29,1108063010014,29,171,2
Á¤¸ª2µ¿_30,1108063020601,30,169,1.9
Á¤¸ª2µ¿_31,1108063020010,31,169,1.9
Á¤¸ª2µ¿_32,1108063010201,32,168,1.9
Á¤¸ª2µ¿_33,1108063020011,33,167,1.9
Á¤¸ª2µ¿_34,1108063020702,34,165,1.9
Á¤¸ª2µ¿_35,1108063020005,35,161,1.9
Á¤¸ª2µ¿_36,1108063020503,36,161,1.9
Á¤¸ª2µ¿_37,1108063020006,37,159,1.8
Á¤¸ª2µ¿_38,1108063010012,38,157,1.8
Á¤¸ª2µ¿_39,1108063010007,39,152,1.7
Á¤¸ª2µ¿_40,1108063020701,40,150,1.7
Á¤¸ª2µ¿_41,1108063020402,41,142,1.6
Á¤¸ª2µ¿_42,1108063020703,42,142,1.6
Á¤¸ª2µ¿_43,1108063020502,43,140,1.6
Á¤¸ª2µ¿_44,1108063020003,44,135,1.6
Á¤¸ª2µ¿_45,1108063020501,45,131,1.5
Á¤¸ª2µ¿_46,1108063020012,46,110,1.3
Á¤¸ª2µ¿_47,1108063020705,47,103,1.2
Á¤¸ª2µ¿_48,1108063010009,48,69,0.8
