Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª2µ¿_1,1108063020002,1,152,21.9
Á¤¸ª2µ¿_2,1108063010016,2,78,11.2
Á¤¸ª2µ¿_3,1108063010017,3,74,10.6
Á¤¸ª2µ¿_4,1108063010001,4,57,8.2
Á¤¸ª2µ¿_5,1108063010004,5,47,6.8
Á¤¸ª2µ¿_6,1108063020004,6,46,6.6
Á¤¸ª2µ¿_7,1108063010003,7,37,5.3
Á¤¸ª2µ¿_8,1108063010009,8,31,4.5
Á¤¸ª2µ¿_9,1108063020006,9,26,3.7
Á¤¸ª2µ¿_10,1108063010011,10,16,2.3
Á¤¸ª2µ¿_11,1108063020008,11,16,2.3
Á¤¸ª2µ¿_12,1108063010101,12,14,2
Á¤¸ª2µ¿_13,1108063010006,13,13,1.9
Á¤¸ª2µ¿_14,1108063010010,14,13,1.9
Á¤¸ª2µ¿_15,1108063010002,15,13,1.9
Á¤¸ª2µ¿_16,1108063020702,16,11,1.6
Á¤¸ª2µ¿_17,1108063020502,17,10,1.4
Á¤¸ª2µ¿_18,1108063010005,18,9,1.3
Á¤¸ª2µ¿_19,1108063010012,19,8,1.2
Á¤¸ª2µ¿_20,1108063010201,20,8,1.2
Á¤¸ª2µ¿_21,1108063020005,21,6,0.9
Á¤¸ª2µ¿_22,1108063020007,22,5,0.7
Á¤¸ª2µ¿_23,1108063020013,23,5,0.7
