항목,집계구번호,순위,값,비율(%)
수유2동_1,1109064020310,1,236,3.8
수유2동_2,1109064020304,2,214,3.4
수유2동_3,1109064020006,3,199,3.2
수유2동_4,1109064020901,4,190,3
수유2동_5,1109064020902,5,188,3
수유2동_6,1109064010016,6,185,2.9
수유2동_7,1109064010008,7,181,2.9
수유2동_8,1109064020904,8,179,2.9
수유2동_9,1109064010021,9,165,2.6
수유2동_10,1109064020003,10,165,2.6
수유2동_11,1109064020306,11,164,2.6
수유2동_12,1109064020303,12,160,2.5
수유2동_13,1109064010019,13,157,2.5
수유2동_14,1109064020004,14,153,2.4
수유2동_15,1109064010004,15,150,2.4
수유2동_16,1109064020308,16,149,2.4
수유2동_17,1109064010003,17,149,2.4
수유2동_18,1109064020301,18,146,2.3
수유2동_19,1109064020005,19,146,2.3
수유2동_20,1109064020002,20,145,2.3
수유2동_21,1109064010020,21,141,2.2
수유2동_22,1109064020302,22,136,2.2
수유2동_23,1109064020305,23,136,2.2
수유2동_24,1109064020008,24,136,2.2
수유2동_25,1109064020903,25,132,2.1
수유2동_26,1109064010017,26,128,2
수유2동_27,1109064020309,27,128,2
수유2동_28,1109064010007,28,127,2
수유2동_29,1109064010009,29,127,2
수유2동_30,1109064010013,30,125,2
수유2동_31,1109064010011,31,125,2
수유2동_32,1109064020001,32,122,1.9
수유2동_33,1109064010014,33,117,1.9
수유2동_34,1109064010018,34,117,1.9
수유2동_35,1109064010002,35,116,1.8
수유2동_36,1109064010010,36,115,1.8
수유2동_37,1109064010006,37,114,1.8
수유2동_38,1109064010005,38,111,1.8
수유2동_39,1109064020307,39,110,1.8
수유2동_40,1109064020201,40,109,1.7
수유2동_41,1109064010012,41,104,1.7
수유2동_42,1109064010015,42,100,1.6
수유2동_43,1109064010001,43,92,1.5
수유2동_44,1109064020007,44,90,1.4
